"Wishlist Management","Wishlist Management"
"Customer Wishlist","Customer Wishlist"
"Wishlist item ID is required.","Wishlist item ID is required."
"Removed from wishlist.","Removed from wishlist."
"Failed to remove from wishlist.","Failed to remove from wishlist."
"Please log in to continue.","Please log in to continue."
"Product ID is required.","Product ID is required."
"Added to wishlist.","Added to wishlist."
"You are not allowed to remove this wishlist item.","You are not allowed to remove this wishlist item."
Wishlist,Wishlist
"Resume with %1 saved item(s).","Resume with %1 saved item(s)."
"店铺 > 收藏管理","Store > Favorites Management"
系统配置,"System Configuration"
店铺,Store
收藏,Favorite
总收藏数,"Total Favorites"
收藏客户数,"Number of Favorited Customers"
当前筛选,"Current filter"
客户ID:,"Customer ID:"
搜索:,Search:
全部,All
收藏列表,"Favorites List"
管理店铺客户收藏商品,"Manage Customer Favorites for the Store"
重置筛选,"Reset Filter"
ID,ID
客户ID,"Customer ID"
客户名称,"Customer Name"
产品ID,"Product ID"
收藏时间,"Favorite Time"
操作,Operation
未知客户,"Unknown customer"
查看客户收藏,"View customer favorites"
你确定要删除该收藏记录么？,"Are you sure you want to delete this bookmark?"
删除,Delete
请输入客户ID或产品ID回车搜索,"Enter customer ID or product ID and press Enter to search"
我的心愿单,"My Wishlist"
稍后想买的商品,"Products you've saved for later"
心愿单为空,"Your wishlist is empty"
浏览商品，把喜欢的加入心愿单。,"Browse our products and add items you love to your wishlist."
去逛逛,"Start Shopping"
有货,"In Stock"
缺货,"Out of Stock"
加入购物车,"Add to Cart"
移除,Remove
心愿单,Wishlist
继续浏览已保存的 %{1} 件商品,"Resume with %{1} saved item(s)"
请先登录。,"Please log in to continue."
缺少商品 ID。,"Product ID is required."
已加入心愿单。,"Added to wishlist."
缺少心愿单条目 ID。,"Wishlist item ID is required."
已从心愿单移除。,"Removed from wishlist."
您无权移除此心愿单条目。,"You are not allowed to remove this wishlist item."
心愿单查询,Wishlist Query
通过 Worker API 提供前台心愿单操作。,"Provides frontend wishlist operations through the worker API."
心愿单查询器不支持的操作：%{1},"Unsupported wishlist provider operation: %{1}"
缺少购物车条目 ID。,"Cart item ID is required."
未找到对应购物车条目。,"Cart item could not be found."
已移至稍后购买。,"Saved for later."
无法移除该心愿单条目。,"Wishlist item could not be removed."
心愿单数量已加载。,"Wishlist count loaded."
心愿单管理,"Wishlist Management"
客户心愿单,"Customer Wishlist"
从心愿单移除失败。,"Failed to remove from wishlist."
