"请指定模块名称: --module=ModuleName","请指定模块名称: --module=ModuleName"
"开始回滚最近 %{1} 个迁移: %{2}","开始回滚最近 %{1} 个迁移: %{2}"
(预演模式),(预演模式)
"回滚完成，共 %{1} 个迁移","回滚完成，共 %{1} 个迁移"
"开始跨版本回滚: %{1} -> %{2}","开始跨版本回滚: %{1} -> %{2}"
"跨版本回滚完成: %{1} -> %{2}","跨版本回滚完成: %{1} -> %{2}"
"请指定版本号: --version=1.0.0，或使用 --to-version/--steps 参数","请指定版本号: --version=1.0.0，或使用 --to-version/--steps 参数"
"开始回滚迁移: %{1} -> 版本 %{2}","开始回滚迁移: %{1} -> 版本 %{2}"
"-> 文件 %{1}","-> 文件 %{1}"
迁移回滚完成,迁移回滚完成
迁移回滚失败,迁移回滚失败
数据库迁移回滚命令,数据库迁移回滚命令
"模块名称 (必需)","模块名称 (必需)"
回滚指定版本的迁移,回滚指定版本的迁移
"指定迁移文件名 (可选)","指定迁移文件名 (可选)"
跨版本回滚：从当前版本回滚到目标版本,跨版本回滚：从当前版本回滚到目标版本
"回滚最近 N 个迁移","回滚最近 N 个迁移"
预演模式，只显示将执行的操作,预演模式，只显示将执行的操作
显示帮助信息,显示帮助信息
"请指定版本号: --version=1.0.0","请指定版本号: --version=1.0.0"
"开始升级迁移: %{1} -> 版本 %{2}","开始升级迁移: %{1} -> 版本 %{2}"
迁移升级完成,迁移升级完成
迁移升级失败,迁移升级失败
数据库迁移升级命令,数据库迁移升级命令
"版本号 (必需)","版本号 (必需)"
"迁移文件名 (可选)","迁移文件名 (可选)"
"请指定 --backup-id=N 或 --migration-id=N","请指定 --backup-id=N 或 --migration-id=N"
"正在恢复备份 (backup_id: %{1})...","正在恢复备份 (backup_id: %{1})..."
"备份恢复完成 (backup_id: %{1})","备份恢复完成 (backup_id: %{1})"
"备份恢复失败 (backup_id: %{1})","备份恢复失败 (backup_id: %{1})"
"未找到迁移 %{1} 关联的备份记录","未找到迁移 %{1} 关联的备份记录"
"正在恢复迁移 %{1} 的 %{2} 条备份...","正在恢复迁移 %{1} 的 %{2} 条备份..."
"恢复完成: 成功 %{1}，失败 %{2}","恢复完成: 成功 %{1}，失败 %{2}"
数据库迁移备份恢复命令,数据库迁移备份恢复命令
"备份记录 ID（恢复单条备份）","备份记录 ID（恢复单条备份）"
"迁移记录 ID（恢复该迁移的所有备份）","迁移记录 ID（恢复该迁移的所有备份）"
"开始卸载迁移: %{1} -> 版本 %{2}","开始卸载迁移: %{1} -> 版本 %{2}"
迁移卸载完成,迁移卸载完成
迁移卸载失败,迁移卸载失败
数据库迁移卸载命令,数据库迁移卸载命令
"请指定 --module=ModuleName 或 --tables=table1,table2","请指定 --module=ModuleName 或 --tables=table1,table2"
"手动表备份: %{1}","手动表备份: %{1}"
创建备份记录失败,创建备份记录失败
"备份表 %{1} 失败: %{2}","备份表 %{1} 失败: %{2}"
"手动备份完成 (migration_id: %{1})，已备份表: %{2}","手动备份完成 (migration_id: %{1})，已备份表: %{2}"
"未找到迁移文件: %{1}","未找到迁移文件: %{1}"
"迁移文件不存在: %{1}","迁移文件不存在: %{1}"
"迁移类不存在: %{1}","迁移类不存在: %{1}"
"迁移类未实现 MigrationInterface","迁移类未实现 MigrationInterface"
"迁移脚本 %{1} 未要求备份 (requiresBackup=false)","迁移脚本 %{1} 未要求备份 (requiresBackup=false)"
"预备份: %{1}","预备份: %{1}"
"迁移文件备份完成 (migration_id: %{1})","迁移文件备份完成 (migration_id: %{1})"
"模块 %{1} 没有待执行的迁移","模块 %{1} 没有待执行的迁移"
"已备份: %{1} (migration_id: %{2})","已备份: %{1} (migration_id: %{2})"
