AI监控告警,"AI Monitoring Alerts"
在AI模型监控触发告警时触发，允许其他模块监听并处理告警通知。事件数据包含告警信息、监控数据、模型代码、租户ID等。,"Triggered when an AI model monitoring alert is activated, allowing other modules to listen for and process alarm notifications. The event data includes alert information, monitoring data, model code, tenant ID, etc."
AI翻译调用,"AI translation call"
其他模块可以通过触发此事件调用AI进行翻译。支持批量翻译和增量翻译。事件数据包含待翻译词列表、目标语言、源语言等。,"Other modules can trigger this event to call AI for translation. Supports batch translation and incremental translation. The event data includes the list of words to be translated, target language, source language, etc."
"Ai 查询器不支持的操作：%{1}","Operation not supported by Ai Queryer: %{1}"
"generateStreamBatch task[%{1}] 必须是数组","generateStreamBatch task[%{1}] must be an array"
"参数 %{1} 必须为非空字符串","Parameter %{1} must be a non-empty string"
"AI 模型查询","AI model query"
"后台 AI 模型、供应商账户与默认配置管理入口","Backend AI model, supplier account and default configuration management entrance"
"缺少 URL","Missing URL"
"不允许的 Ai admin 路径","Ai admin path not allowed"
"无法解析 Ai admin 路径","Unable to resolve Ai admin path"
控制器不存在：%{1},"Controller does not exist: %{1}"
默认模型设置成功,"Default model settings successfully applied"
默认模型设置失败,"Default model setup failed"
默认模型配置保存成功,"Default model configuration saved successfully"
没有可保存的默认模型配置,"There is no default model configuration to save"
默认模型缓存清除成功,"Default model cache cleared successfully."
默认配置初始化成功,"Default configuration initialized successfully"
默认配置已存在，无需初始化,"The default configuration already exists; no initialization is needed."
"模型 ID 无效","Invalid model ID"
模型不存在,"Model does not exist"
该模型受保护，只有复制模型或自定义模型可以删除,"This model is protected; only copied models or custom models can be deleted"
模型删除成功,"Model deleted successfully"
请选择要删除的模型,"Please select the model to delete."
"成功删除 %{1} 个模型","Successfully deleted %{1} models"
没有模型被删除,"No model has been deleted."
"跳过 %{1} 个受保护模型（仅复制/自定义模型可删除）","Skipped %{1} protected model(s) (only copy/custom models can be deleted)"
状态更新成功,"Status Update Successful"
"成功更新 %{1} 个模型","Successfully updated %{1} models"
无法识别模型供应商,"Unable to identify model supplier"
模型绑定的供应商账户无效,"The supplier account bound to the model is invalid"
模型绑定的供应商账户未启用,"The supplier account bound to the model is not enabled"
没有可用的供应商账户,"No vendor account available"
"该模型未配置独立 API Key，未执行自配置测试","This model is not configured with an independent API Key and no self-configuration test is performed."
当前模型没有可独立测试的自配置通道,"The current model does not have self-configuring channels that can be independently tested"
适配器不存在,"The adapter does not exist."
删除成功,"Deletion successful"
"成功删除 %{1} 个适配器","Successfully removed %{1} adapters"
"成功更新 %{1} 个适配器","Successfully updated %{1} adapters"
供应商、模型代码和模型名称不能为空,"Supplier, model code and model name cannot be empty"
所选供应商账户不存在或不属于当前供应商,"The selected supplier account does not exist or does not belong to the current supplier"
模型保存成功,"Model saved successfully"
"参数 %{1} 缺失","Parameter %{1} is missing"
"参数 %{1} 必须是 callable","Parameter %{1} must be callable"
id属性不能为空,"The id attribute cannot be empty"
搜索AI模型...,"Searching for AI models..."
全部供应商,"All suppliers"
使用默认模型,"Using the default model"
先选择供应商，再搜索并选择模型,"Select a supplier first, then search and select a model"
未找到匹配的模型,"No matching model found."
模型列表加载失败,"Model list loading failed"
正在加载模型...,"Loading model..."
供应商筛选,"Supplier screening"
"参数错误：words 必须是非空数组","Parameter error: words must be a non-empty array"
