购物车加购成功后,购物车加购成功后
"购物车加购成功后触发；追加 cart_type + type_payload（非破坏）。","购物车加购成功后触发；追加 cart_type + type_payload（非破坏）。"
购物车清空成功后,购物车清空成功后
"购物车清空成功后触发；追加 cart_type + type_payload（非破坏）。","购物车清空成功后触发；追加 cart_type + type_payload（非破坏）。"
游客车合并成功后,游客车合并成功后
"游客车合并进客户车成功后触发；追加 cart_type + type_payload（非破坏）。","游客车合并进客户车成功后触发；追加 cart_type + type_payload（非破坏）。"
购物车遗弃信号,购物车遗弃信号
"只读非空未过期购物车事实，供营销挽回使用（无遗弃 TTL、无触达）。","只读非空未过期购物车事实，供营销挽回使用（无遗弃 TTL、无触达）。"
列出未过期非空购物车供营销挽回（含无邮箱）,列出未过期非空购物车供营销挽回（含无邮箱）
发信前再验购物车是否仍未过期且可达,发信前再验购物车是否仍未过期且可达
"Cart 查询器不支持的 operation：%{1}","Cart 查询器不支持的 operation：%{1}"
登录后才能合并游客购物车。,登录后才能合并游客购物车。
缺少游客购物车凭证,缺少游客购物车凭证
预计优惠暂不可用,预计优惠暂不可用
预计优惠已计算,预计优惠已计算
优惠,优惠
预计优惠,预计优惠
"Frontend cart API","Frontend cart API"
"Storefront cart session operations exposed through Weline.Api.","Storefront cart session operations exposed through Weline.Api."
购物车布局槽默认部件迁移失败（%{1}）：%{2},购物车布局槽默认部件迁移失败（%{1}）：%{2}
请求方式不允许。,请求方式不允许。
已加入购物车。,已加入购物车。
加入购物车失败。,加入购物车失败。
加入购物车失败：%{1},加入购物车失败：%{1}
"Direct browser cart API is deprecated. Use the frontend worker API.","Direct browser cart API is deprecated. Use the frontend worker API."
购物车检查,购物车检查
购物车工作台,购物车工作台
search,search
"按 Scope / guest_token 检查真实 Cart 持久库","按 Scope / guest_token 检查真实 Cart 持久库"
当前货币暂不可用,当前货币暂不可用
加入购物车,加入购物车
暂不可售,暂不可售
正在加入购物车...,正在加入购物车...
已加入购物车,已加入购物车
加入购物车失败,加入购物车失败
前往购物车,前往购物车
仅询价,仅询价
已加入,已加入
迷你购物车,迷你购物车
商品行由购物车实时数据渲染，此处仅编辑底部扩展区。,商品行由购物车实时数据渲染，此处仅编辑底部扩展区。
小计,小计
税费与运费将在结算时计算,税费与运费将在结算时计算
去结算,去结算
查看购物车,查看购物车
购物车是空的,购物车是空的
您的购物车是空的,您的购物车是空的
继续购物,继续购物
正在加载购物车...,正在加载购物车...
浏览商品，把喜欢的加入购物车吧。,浏览商品，把喜欢的加入购物车吧。
购物车加载失败，请重试。,购物车加载失败，请重试。
商品,商品
价格,价格
数量,数量
更新,更新
删除,删除
减少数量,减少数量
增加数量,增加数量
购物车更新失败，请重试。,购物车更新失败，请重试。
无法创建游客购物车会话,无法创建游客购物车会话
"小计（%1 件商品）","小计（%1 件商品）"
单价,单价
"浏览%1 %2件商品","Ver %1 · %2 artículos"
购物车,购物车
浏览商品,浏览商品
暂时无法加载购物车,暂时无法加载购物车
重试,重试
订单摘要,订单摘要
优惠券,优惠券
自动优惠,自动优惠
叠加优惠,叠加优惠
优惠券与订单留言,优惠券与订单留言
购物车优惠券,购物车优惠券
