请先登录,"Please log in first"
发货地址已保存,"Shipping address saved."
发货地址ID不能为空,"Shipping address ID is required."
发货地址已删除,"Shipping address removed."
默认发货地址已更新,"Default shipping address updated."
收货地址已保存,"Delivery address saved."
收货地址ID不能为空,"Delivery address ID is required."
收货地址已删除,"Delivery address removed."
默认收货地址已更新,"Default delivery address updated."
%{1}不能为空,"%{1} cannot be empty"
收货地址已更新,"Delivery address updated."
收货地址已加载,"Delivery address loaded."
地址数据不能为空,"Address data cannot be empty."
收货地址已同步,"Delivery address synced."
国家代码不能为空,"Country code cannot be empty"
配送信息已加载,"Shipping info loaded."
运单已登记，等待承运商更新轨迹,"Waybill registered; waiting for carrier tracking updates"
已检测到发货地址记录。,"Ship-from address record detected."
"至少一条可用发货地址 + 承运商/费用模板，结账才能选配送。","At least one usable ship-from + carrier/fee template is required before checkout can offer shipping."
物流,Logistics
发货地址与承运商,"Ship-from address & carrier"
未指定配送方式,"Shipping method not specified"
"承运商 #%{1}","Carrier #%{1}"
自动定位地址,"Auto Locate Address"
地址不存在,"Address does not exist"
更新成功,"Updated successfully"
创建成功,"Created successfully"
参数错误,"Invalid parameter"
删除成功,"Deleted successfully"
设置成功,"Set successfully"
退换政策,"Returns & Exchanges"
配送说明,"Shipping Information"
配送服务ID不能为空,"Shipping service ID cannot be empty"
"Suggest regions success","Suggest regions success"
"Get country profile success","Get country profile success"
"Format suggestion success","Format suggestion success"
"Region not found","Region not found"
"Embargo evaluate success","Embargo evaluate success"
"Embargo countries success","Embargo countries success"
"Embargo regions success","Embargo regions success"
"Postal countries success","Postal countries success"
"Postal lookup success","Postal lookup success"
"Has streets success","Has streets success"
"List streets success","List streets success"
"Get regions success","Get regions success"
获取配送信息成功,"Successfully fetched shipping information"
物流单号不能为空,"Tracking number cannot be empty"
快递公司ID不能为空,"Carrier ID cannot be empty"
订单ID不能为空,"Order ID cannot be empty"
功能待实现,"Feature not yet implemented"
配送地址更新成功,"Shipping address updated successfully"
暂无配送地址,"No shipping address"
获取成功,"Successfully got"
用户未登录,"User not logged in"
同步成功,"Sync succeeded"
启用成功,"Enabled successfully"
禁用成功,"Disabled successfully"
发货地址管理,"Shipping Address Management"
pin,pin
查看发货地址,"View shipping address"
list,list
查看发货地址列表,"View a list of shipping addresses"
编辑发货地址,"Edit Shipping Address"
edit,edit
保存发货地址,"Save shipping address"
save,save
删除发货地址,"Delete shipping address"
trash,trash
设置默认发货地址,"Set default shipping address"
star,star
启用发货地址,"Enable shipping address"
check,check
禁用发货地址,"Disable shipping address"
close,close
请先用地址选择器选择国家/地区,"Select country/region with address picker first"
