无权限访问重定向前,"Sem permissão para acessar antes da redirecionamento."
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,"Antes de executar a ação de redirecionamento, este evento é disparado quando o usuário não tem permissão para acessar o recurso. Permite que outros módulos executem ações personalizadas antes do redirecionamento, como registrar logs ou enviar notificações."
角色检查,"Verificação de função"
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,"Ocorre durante a verificação de permissões de usuário e permite que outros módulos personalizem a lógica de verificação de funções."
"角色 ACL 条目加载后","Após o carregamento das entradas de controle de acesso (ACL)."
"角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。","Após a carga das regras de ACL (lista de controle de acesso) a partir do banco de dados, o componente responsável monitora e pode modificar as entradas (por exemplo, para aplicar permissões específicas a cada estação). O componente de ACL não tem conhecimento do Website."
"超管 ACL 旁路检查","Verificação de desvio de ACL de superadministrador."
"role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。","`role_id=1`: Dispara antes de permitir a ignoração (bypass). O observador pode definir `allow_bypass` como `false` para desativar a opção de ignoração."
角色权限保存前,"Antes de salvar as permissões do usuário."
"角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。","Atribuições de ACL (lista de controle de acesso) são aplicadas antes da gravação; observadores podem rejeitar `source_ids` que excedam as permissões (permitidos/mensagem)."
角色列表过滤,"Filtro de lista de personagens."
"角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。","Lista de funções/gatilho antes da criação; o observador pode restringir o conjunto de funções gerenciáveis pelo website_id."
"ACL 分配树行加载后","Após o carregamento da árvore de atribuição de ACL."
"权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。","A distribuição de permissões é acionada após o carregamento da árvore/tabela. O observador pode modificar a lista de linhas para restringir os recursos que podem ser alocados."
所有标签,"Todas as etiquetas."
搜索标签,"Rótulos de pesquisa."
id属性不能为空,"O atributo ""id"" não pode estar vazio."
未找到匹配标签,"Nenhuma etiqueta correspondente encontrada."
移除,移除
acl标签缺少source属性,"O atributo ""source"" está faltando na tag ACL."
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","Esta página utiliza configurações de permissão para alguns recursos, mas você não tem as permissões necessárias: não é possível acessar o recurso ""%{1}"". Se precisar, entre em contato com o administrador!"
使用示例：,"Exemplos de uso:"
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","O ID do recurso e o ID do recurso pai não podem ser iguais. Por favor, verifique! ID do recurso: %{1}, ID do recurso pai: %{2}."
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","Erro de configuração de framework: o ACL de nível de classe %{1} não está vinculado a um ACL de menu. Certifique-se de que o `source_id` corresponde a um nó em `menu.xml` ou de que o `parent_source` aponta para um nó de menu com o atributo `type=""menus""`. Atualmente, `parent_source` é: %{2}."
(空),(Vazio)
"【ACL 重复检测】模块: %{1}","【Detecção de Duplicatas ACL】Módulo: %{1}"
"发现以下重复的 source_id：","Foram encontrados os seguintes source_id duplicados:"
