添加成功！,"Add Success!"
添加商铺出现问题！,"Error Adding Store!"
参数错误！,"Parameter error!"
商铺不存在！,"Store does not exist!"
请求错误！,"Request error!"
编辑商铺成功！,"Store edited successfully!"
编辑商铺出现问题！,"Error editing store!"
删除成功！,"Deletion successful!"
店铺不存在！,"Store does not exist!"
店铺保存后,"After saving the store"
店铺保存后触发，可用于更新缓存、通知等。,"Triggered after saving the store, can be used to update cache, notifications, etc."
店铺删除后,"After deleting the store"
店铺删除后触发，可用于清理相关数据。,"Triggered after deleting the store, can be used to clean up related data."
店铺状态变更,"Store status change"
店铺状态变更时触发（启用/禁用）。,"Triggered when the store status changes (enabled/disabled)."
"Store query provider does not support operation: %{1}","Store query provider does not support operation: %{1}"
"Store Query","Store Query"
"Provides store lookup for storefront and API consumers.","Provides store lookup for storefront and API consumers."
"Load a store by id.","Load a store by id."
"List stores, optionally filtered by status.","List stores, optionally filtered by status."
"Resolve the best storefront store for the current website, locale, and currency context.","Resolve the best storefront store for the current website, locale, and currency context."
支持语言：%1,支持语言：%1
支持地区：%1,支持地区：%1
店铺,Store
value,value
商铺名,"Store Name"
填写正确！,"Correct entry!"
请正确填写商铺名！,"Please fill in the store name correctly!"
店铺编码,"Store Code"
父商铺必选！,"Parent store is required!"
默认货币,"Default Currency"
设置商铺默认货币成功,"Shop default currency set successfully"
请设置商铺默认货币,"Please set the store default currency"
Logo,Logo
设置商铺Logo成功,"Shop Logo Set Successfully"
请设置商铺Logo,"Please set the store logo"
默认地区码,"Default Region Code"
状态,Status
启用,Enable
禁用,Disable
地址,Address
设置商铺成功,"Shop Set Successfully"
请设置商铺地址,"Please set the store address"
手机,Phone
设置商铺手机成功,"Shop phone set successfully"
请设置商铺手机,"Please set the store phone number"
邮箱,Email
设置商铺邮箱成功,"Shop email set successfully"
请设置商铺邮箱,"Please set the store email"
所属网站,Website
--请选择--,"--Please select--"
选择网站成功,"Website Selected Successfully"
请选择所属网站,"Select the owning website"
开售时间,"Sale Start Time"
设置商铺开售时间成功,"Shop Opening Time Set Successfully"
请设置商铺开售时间,"Please set the store opening time"
关闭时间,"Close time"
设置商铺关闭时间成功,"Shop Closing Time Set Successfully"
请设置商铺关闭时间,"Please set the store closing time"
店铺详情,"Store Details"
设置商铺店铺详情成功,"Shop Details Set Successfully"
请设置商铺店铺详情,"Please set the store details"
纬度,Latitude
设置商铺纬度成功,"Shop latitude set successfully"
请设置商铺纬度,"Please set the store latitude"
经度,Longitude
设置商铺经度成功,"Shop longitude set successfully"
请设置商铺经度,"Please set the store longitude"
添加,Add
编辑,Edit
继续新增,"Continue Adding New"
商铺唯一标识码,"Store Unique Identifier Code"
请选择或搜索地区码...,"Select or search region code..."
店铺管理,"Store Management"
后台,Background
添加店铺,"Add Store"
暂无店铺，点击右上角添加店铺开始使用,"No stores. Click ""Add Store"" in the top right corner to get started."
编辑店铺,"Edit store"
刷新,Refresh
保存,Save
搜索店铺名称、代码、地址...,"Search Store Name, Code, Address..."
清除搜索,"Clear search"
搜索,Search
删除,Delete
关闭,Close
确认删除,"Confirm deletion"
确定要删除店铺,"Are you sure you want to delete the store"
取消,Cancel
成功,Success
删除成功,"Deletion successful"
确定,Confirm
错误,Error
删除失败,"Deletion failed"
网络错误，请稍后重试,"Network error, please try again later"
