缺少许可证密钥,缺少许可证密钥
许可证激活成功,许可证激活成功
激活失败：%{1},激活失败：%{1}
许可证有效,许可证有效
验证失败：%{1},验证失败：%{1}
许可证不存在,许可证不存在
获取成功,获取成功
检查失败：%{1},检查失败：%{1}
缺少客户ID,缺少客户ID
获取列表失败：%{1},获取列表失败：%{1}
续订成功,续订成功
续订失败：%{1},续订失败：%{1}
获取模块列表失败：%{1},获取模块列表失败：%{1}
缺少模块ID或模块名,缺少模块ID或模块名
模块不存在,模块不存在
获取模块详情失败：%{1},获取模块详情失败：%{1}
获取分类列表失败：%{1},获取分类列表失败：%{1}
参数格式错误,参数格式错误
检查完成,检查完成
检查更新失败：%{1},检查更新失败：%{1}
缺少模块ID,缺少模块ID
许可证与模块不匹配,许可证与模块不匹配
版本不存在,版本不存在
模块文件不存在,模块文件不存在
获取下载链接成功,获取下载链接成功
下载失败：%{1},下载失败：%{1}
"官方平台应用商店，提供模块仓库、版本管理、许可证服务、开发者中心，供子站 AppStore 调用","官方平台应用商店，提供模块仓库、版本管理、许可证服务、开发者中心，供子站 AppStore 调用"
许可证已被撤销,许可证已被撤销
许可证已绑定到其他域名：,许可证已绑定到其他域名：
许可证已过期,许可证已过期
许可证尚未激活,许可证尚未激活
域名不匹配，许可证绑定域名：,域名不匹配，许可证绑定域名：
