请先登录,请先登录
发货地址已保存,发货地址已保存
发货地址ID不能为空,发货地址ID不能为空
发货地址已删除,发货地址已删除
默认发货地址已更新,默认发货地址已更新
收货地址已保存,收货地址已保存
收货地址ID不能为空,收货地址ID不能为空
收货地址已删除,收货地址已删除
默认收货地址已更新,默认收货地址已更新
%{1}不能为空,%{1}不能为空
收货地址已更新,收货地址已更新
收货地址已加载,收货地址已加载
地址数据不能为空,地址数据不能为空
收货地址已同步,收货地址已同步
国家代码不能为空,国家代码不能为空
配送信息已加载,配送信息已加载
运单已登记，等待承运商更新轨迹,运单已登记，等待承运商更新轨迹
已检测到发货地址记录。,已检测到发货地址记录。
"至少一条可用发货地址 + 承运商/费用模板，结账才能选配送。","至少一条可用发货地址 + 承运商/费用模板，结账才能选配送。"
物流,物流
发货地址与承运商,发货地址与承运商
未指定配送方式,未指定配送方式
"承运商 #%{1}","承运商 #%{1}"
自动定位地址,自动定位地址
地址不存在,地址不存在
更新成功,更新成功
创建成功,创建成功
参数错误,参数错误
删除成功,删除成功
设置成功,设置成功
退换政策,退换政策
配送说明,配送说明
配送服务ID不能为空,配送服务ID不能为空
"Suggest regions success","Suggest regions success"
"Get country profile success","Get country profile success"
"Format suggestion success","Format suggestion success"
"Region not found","Region not found"
"Embargo evaluate success","Embargo evaluate success"
"Embargo countries success","Embargo countries success"
"Embargo regions success","Embargo regions success"
"Postal countries success","Postal countries success"
"Postal lookup success","Postal lookup success"
"Has streets success","Has streets success"
"List streets success","List streets success"
"Get regions success",取得地区成功
获取配送信息成功,获取配送信息成功
物流单号不能为空,物流单号不能为空
快递公司ID不能为空,快递公司ID不能为空
订单ID不能为空,订单ID不能为空
功能待实现,功能待实现
配送地址更新成功,配送地址更新成功
暂无配送地址,暂无配送地址
获取成功,获取成功
用户未登录,用户未登录
同步成功,同步成功
启用成功,启用成功
禁用成功,禁用成功
发货地址管理,发货地址管理
pin,别针
查看发货地址,查看发货地址
list,列表
查看发货地址列表,查看发货地址列表
编辑发货地址,编辑发货地址
edit,编辑
保存发货地址,保存发货地址
save,节省
删除发货地址,删除发货地址
trash,trash
设置默认发货地址,设置默认发货地址
star,星星
启用发货地址,启用发货地址
check,查看
禁用发货地址,禁用发货地址
close,关闭
请先用地址选择器选择国家/地区,请先用地址选择器选择国家/地区
该地区已在系统禁运中，无需重复新增：%{1},该地区已在系统禁运中，无需重复新增：%{1}
已重新启用系统禁运：%{1},已重新启用系统禁运：%{1}
已新增系统禁运：%{1},已新增系统禁运：%{1}
已保存禁运原因：%{1},已保存禁运原因：%{1}
"原因码须为小写字母开头，仅含 a-z、0-9、下划线","原因码须为小写字母开头，仅含 a-z、0-9、下划线"
请填写原因名称,请填写原因名称
已删除禁运原因,已删除禁运原因
系统种子原因不可删除,系统种子原因不可删除
已解禁（全站生效），条目仍保留,已解禁（全站生效），条目仍保留
已恢复系统禁运（全站生效）,已恢复系统禁运（全站生效）
已删除自建禁运条目,已删除自建禁运条目
系统禁运,系统禁运
alert-triangle,alert-triangle
系统默认禁运管理,系统默认禁运管理
查看系统禁运,查看系统禁运
查看系统默认禁运列表,查看系统默认禁运列表
新增系统禁运,新增系统禁运
plus,plus
新增系统禁运国家或省份,新增系统禁运国家或省份
保存禁运原因,保存禁运原因
新增或更新禁运原因字典,新增或更新禁运原因字典
删除禁运原因,删除禁运原因
删除自建禁运原因（种子不可删）,删除自建禁运原因（种子不可删）
解禁系统禁运,解禁系统禁运
unlock,unlock
解禁系统禁运（全站生效）,解禁系统禁运（全站生效）
恢复系统禁运,恢复系统禁运
lock,lock
再启用系统禁运,再启用系统禁运
删除自建系统禁运,删除自建系统禁运
删除后台自建的系统禁运行（种子不可删）,删除后台自建的系统禁运行（种子不可删）
"仅允许 POST 请求。","仅允许 POST 请求。"
配送航线创建成功。,配送航线创建成功。
贸易术语已更新。,贸易术语已更新。
仓与发货地址已绑定。,仓与发货地址已绑定。
"已复制 %{1} 条默认站航线到目标发货地址。","已复制 %{1} 条默认站航线到目标发货地址。"
配送服务管理,配送服务管理
truck,卡车
查看配送服务,查看配送服务
查看配送服务列表,查看配送服务列表
保存配送服务,保存配送服务
创建配送服务,创建配送服务
更新贸易术语,更新贸易术语
"更新配送航线 Incoterm","更新配送航线 Incoterm"
绑定仓发货地址,绑定仓发货地址
绑定仓库与发货地址,绑定仓库与发货地址
复制默认站航线,复制默认站航线
复制默认站航线到发货锚点,复制默认站航线到发货锚点
地区编辑功能暂未开放，请通过数据库或后续版本管理。,地区编辑功能暂未开放，请通过数据库或后续版本管理。
排序提交格式无效。,排序提交格式无效。
"已更新 %{1} 个国家的热门排序。","已更新 %{1} 个国家的热门排序。"
"已新增 %{1} 个地区。","已新增 %{1} 个地区。"
地区创建成功。,地区创建成功。
地区管理,地区管理
查看地区,查看地区
查看地区列表,查看地区列表
编辑地区,编辑地区
保存地区,保存地区
创建地区,创建地区
快递公司不存在,快递公司不存在
快递公司代码不能为空,快递公司代码不能为空
快递公司名称不能为空,快递公司名称不能为空
物流跟踪URL模板为必填项，所有快递公司必须支持追踪功能,物流跟踪URL模板为必填项，所有快递公司必须支持追踪功能
快递公司代码已存在,快递公司代码已存在
API配置JSON格式错误,API配置JSON格式错误
快递公司管理,快递公司管理
查看快递公司,查看快递公司
查看快递公司列表,查看快递公司列表
