"Analytics Management","Analytics Management"
"Analytics provider config saved.","Analytics provider config saved."
"Analytics provider config save failed.","Analytics provider config save failed."
"Analytics query provider does not support operation: %{1}","Analytics query provider does not support operation: %{1}"
"Analytics Query","Analytics Query"
"Provides storefront analytics snippets and provider readiness data.","Provides storefront analytics snippets and provider readiness data."
"Get enabled storefront analytics snippets.","Get enabled storefront analytics snippets."
"Get enabled storefront analytics snippets by hook slot.","Get enabled storefront analytics snippets by hook slot."
"Get analytics provider readiness and enablement states.","Get analytics provider readiness and enablement states."
"Missing required analytics fields: %{1}","Missing required analytics fields: %{1}"
"Failed to persist analytics provider config.","Failed to persist analytics provider config."
"Unsupported analytics provider: %{1}","Unsupported analytics provider: %{1}"
"Manage storefront analytics providers, verify readiness, and keep the default theme injection chain healthy.","Manage storefront analytics providers, verify readiness, and keep the default theme injection chain healthy."
Providers,Providers
Enabled,Enabled
Ready,Ready
"Rendered Snippets","Rendered Snippets"
Disabled,Disabled
"Needs Config","Needs Config"
"Tracked Events","Tracked Events"
"Provider Config","Provider Config"
"Integration Method","Integration Method"
"Manual Provider Config","Manual Provider Config"
"Missing Required Fields","Missing Required Fields"
"Provider Ready","Provider Ready"
"Required credentials are present and the storefront snippet can be rendered.","Required credentials are present and the storefront snippet can be rendered."
"Open Link","Open Link"
"Configuration Guide","Configuration Guide"
"Enable provider","Enable provider"
"Leave blank to keep existing value","Leave blank to keep existing value"
"Save Provider Config","Save Provider Config"
Reset,Reset
"Snippet Preview","Snippet Preview"
"Enable and configure a provider to preview the storefront snippet.","Enable and configure a provider to preview the storefront snippet."
