"HelpPay 购物车/结账/商品帮我付槽默认注入失败：%{1}","Échec d’injection des emplacements Payer pour moi panier/paiement/produit : %{1}"
分享链接无效,"Lien de partage invalide"
朋友帮你选好了,"Un ami a choisi des options pour vous"
帮我付链接无效,"Lien Payer pour moi invalide"
帮他人付款,"Payer pour quelqu’un d’autre"
暂无可用支付方式。,"Aucun moyen de paiement disponible."
付款账单地址,"Adresse de facturation"
选择账单地址,"Choisir l’adresse de facturation"
快捷购买链接已过期,"Lien Acheter maintenant expiré"
快捷购买链接无效,"Lien Acheter maintenant invalide"
链接已过期,"Lien expiré"
链接不可用,"Lien indisponible"
该快捷购买链接已过期。请回到商品页或订单重新生成链接。,"Ce lien Acheter maintenant a expiré. Revenez au produit ou à la commande pour en créer un nouveau."
该分享或代付链接已过期、撤销或无效。,"Ce lien de partage ou Payer pour moi a expiré, a été révoqué ou est invalide."
快捷购买,"Acheter maintenant"
跨设备支付,"Payer sur un autre appareil"
复制链接或二维码，在另一台设备上打开并完成支付。,"Copiez le lien ou le QR, ouvrez-le sur un autre appareil et terminez le paiement."
分享给朋友（帮选规格）,"Partager avec des amis (aider à choisir les options)"
这与「帮我付」不同：朋友打开分享链接后，规格会进入朋友自己的购物车，由朋友自己填写地址、自己下单付款，订单归朋友。,"Contrairement à Payer pour moi : à l’ouverture du lien, les options vont dans le panier de votre ami. Il saisit l’adresse, commande et en est propriétaire."
同样支持复制链接或复制二维码图片分享。,"Vous pouvez aussi copier le lien ou l’image QR pour partager."
帮我付隐私与地址,"Confidentialité et adresse de Payer pour moi"
为保护隐私，帮付订单在店面（含你自己的订单详情、待付页、成功页与代付页）均不展示收货地址详情。履约地址仅后台授权人员可见。,"Pour la confidentialité, les commandes Payer pour moi n’affichent pas l’adresse de livraison en boutique (détail, impayé, succès et page payeur inclus). L’adresse d’exécution n’est visible que du personnel autorisé."
卡支付时，代付人填写的是自己的「付款账单地址」，不会写回你的收货地址。,"Pour une carte, le payeur saisit sa propre adresse de facturation. Elle ne remplace pas votre adresse de livraison."
代付人如何付款,"Comment le payeur paie"
打开朋友发来的链接或扫描二维码。,"Ouvrez le lien de votre ami ou scannez le QR."
查看订单摘要，选择物流方式（不展示收货地址）。,"Consultez le résumé et choisissez la livraison (adresse masquée)."
选择支付方式；如需卡支付，填写自己的付款账单地址。,"Choisissez un moyen de paiement ; pour une carte, saisissez votre adresse de facturation."
完成支付后，提示为他人付款成功。,"Après paiement, un message confirmera que vous avez payé pour quelqu’un d’autre."
代付不可使用优惠券或积分。,"Les coupons et points ne peuvent pas être utilisés avec Payer pour moi."
帮我付是什么,"Qu’est-ce que Payer pour moi"
帮我付让你在购物车或结账页生成付款请求，请朋友代付。订单始终归你；朋友只负责付款，不会把订单变成他自己的。,"Payer pour moi crée une demande de paiement depuis le panier ou le paiement pour qu’un ami paie. La commande reste la vôtre ; l’ami paie seulement et n’en devient pas propriétaire."
如何出链,"Comment créer un lien"
填写并确认收货地址、勾选已阅读规则后，可复制链接地址或复制二维码图片发给对方。,"Après confirmation de l’adresse et acceptation des règles, copiez le lien ou l’image QR à envoyer."
不能做什么,"Ce que vous ne pouvez pas faire"
代付人不能使用优惠券/积分，不能修改收货地址，也不能把代付当成自己的购物车。,"Le payeur ne peut pas utiliser coupons/points, modifier l’adresse de livraison ni traiter cela comme son panier."
帮我付,"Payer pour moi"
付款说明,"Guide de paiement"
隐私说明,"Notes de confidentialité"
应付金额,"Montant dû"
收货地址已由发起人确认。,"L’adresse de livraison a été confirmée par le demandeur."
物流方式,"Mode de livraison"
请选择物流（仅影响运费，不展示收货地址）。,"Choisissez la livraison (n’affecte que les frais ; adresse masquée)."
配送方式,"Mode de livraison"
标准配送,"Livraison standard"
加急配送,"Livraison express"
支付方式,"Moyen de paiement"
请选择适合您的支付方式完成付款。,"Choisissez un moyen de paiement adapté pour finaliser."
选择支付方式,"Choisir le moyen de paiement"
暂无可用支付方式,"Aucun moyen de paiement disponible"
卡支付时填写付款人自己的账单地址，不会写回收货地址。,"Pour une carte, saisissez l’adresse de facturation du payeur. Elle ne remplace pas la livraison."
账单地址组件暂不可用，请稍后重试。,"Adresse de facturation temporairement indisponible. Réessayez plus tard."
确认付款,"Confirmer le paiement"
返回首页,"Retour à l’accueil"
本人快捷购买,"Acheter maintenant pour vous"
订单归属你本人。请在此页完成支付。,"Cette commande est à vous. Finalisez le paiement sur cette page."
"换设备支付（链接 / 二维码）","Payer sur un autre appareil (lien / QR)"
立即支付,"Payer maintenant"
付款链接,"Lien de paiement"
扫码付款,"Scanner pour payer"
快捷购买付款二维码,"QR de paiement Acheter maintenant"
复制后在浏览器打开，用你自己的账号完成支付,"Après copie, ouvrez dans le navigateur et payez avec votre compte"
已复制，请自行打开链接付款,"Copié. Ouvrez le lien vous-même pour payer"
扫码后在本机打开付款页，完成你自己的支付,"Scannez pour ouvrir la page de paiement sur cet appareil et payer vous-même"
已复制，可粘贴到本机浏览器打开付款,"Copié. Collez dans le navigateur de cet appareil pour payer"
分享给朋友,"Partager avec des amis"
分享给付款人,"Partager avec le payeur"
复制链接或扫码分享当前规格,"Copiez le lien ou scannez pour partager les options"
复制后，粘贴发给朋友即可打开这份规格,"Après copie, collez et envoyez à un ami pour ouvrir ces options"
已复制，可以分发给朋友,"Copié. Vous pouvez le partager avec des amis"
复制后，可直接把图片粘贴到聊天里发送,"Après copie, collez l’image dans le chat pour envoyer"
已复制，可直接粘贴图片到聊天里发送,"Copié. Collez l’image dans le chat pour envoyer"
链接分享,"Partager le lien"
扫码分享,"Partager par QR"
分享二维码,"Partager le QR"
链接地址,"URL du lien"
已复制,Copié
复制失败,"Échec de la copie"
复制链接,"Copier le lien"
复制没成功，请再点一次试试,"Échec de la copie. Réessayez"
复制二维码图片,"Copier l’image QR"
下载二维码,"Télécharger le QR"
复制没成功，请再点一次或改用下载,"Échec de la copie. Réessayez ou téléchargez"
找朋友代付,"Demander à un ami de payer"
纯分享,"Partage uniquement"
朋友帮你选好了规格,"Un ami a sélectionné des options pour vous"
了解分享给朋友,"À propos de Partager avec des amis"
将加入你自己的购物车并进入你的结账，订单归你。,"Les articles seront ajoutés à votre panier et paiement. La commande est à vous."
加入我的车并结账,"Ajouter à mon panier et payer"
分享链接不可用,"Lien de partage indisponible"
分享规格给朋友,"Partager les options avec des amis"
当前规格,"Options actuelles"
数量（规格）,Qté
当前环境不支持复制图片，请改用下方下载,"Ce navigateur ne peut pas copier d’images. Utilisez le téléchargement ci-dessous"
正在生成分享链接…,"Création du lien de partage…"
正在进入付款…,"Accès au paiement…"
地址已确认。正在进入付款页，可在本页完成支付。,"Adresse confirmée. Ouverture de la page de paiement pour payer maintenant."
打开支付窗口,"Ouvrir la fenêtre de paiement"
未返回付款入口，请稍后重试。,"Entrée de paiement non renvoyée. Réessayez plus tard."
可在支付窗口完成付款。若已支付，可关闭本弹窗。,"Terminez le paiement dans la fenêtre. Fermez ce dialogue si déjà payé."
已打开支付窗口，请在窗口内完成付款。,"Fenêtre de paiement ouverte. Terminez le paiement là-bas."
复制链接或扫码，在本机或其它设备打开即可完成付款,"Copiez le lien ou scannez le QR pour ouvrir et payer sur cet appareil ou un autre"
确认收货地址,"Confirmer l’adresse de livraison"
请填写、选择或更换收货地址；确认后选择物流。,"Ajoutez, sélectionnez ou changez une adresse de livraison, puis choisissez la livraison."
确认并付款,"Confirmer et payer"
下一步：选择物流,"Suivant : choisir la livraison"
请填写、选择或更换收货地址后再生成代付链接。,"Ajoutez, sélectionnez ou changez l’adresse avant de créer le lien Payer pour moi."
确认并生成代付链接,"Confirmer et créer le lien Payer pour moi"
正在生成代付链接…,"Création du lien Payer pour moi…"
请先完善收货地址后再生成代付链接。,"Complétez l’adresse de livraison avant de créer le lien Payer pour moi."
正在加载收货地址…,"Chargement de l’adresse de livraison…"
收货地址组件加载失败，请稍后重试。,"Échec du chargement de l’adresse. Réessayez plus tard."
收货地址组件暂不可用，请改用结账流程。,"Adresse de livraison indisponible. Utilisez le paiement à la place."
请先完善收货地址后再付款。,"Complétez l’adresse de livraison avant de payer."
无法完成操作,"Impossible de terminer"
关闭,Fermer
物流,Livraison
选择配送方式,"Choisir le mode de livraison"
运费按收货地址报价，仅用于本单快捷购买，不影响结账页。,"La livraison est cotée pour cette adresse et ne s’applique qu’à cet achat immédiat—pas à la page de paiement."
正在计算运费…,"Calcul de la livraison…"
返回地址,"Retour à l’adresse"
下一步：付款,"Suivant : payer"
运费报价失败，请稍后重试。,"Échec du devis de livraison. Réessayez plus tard."
该地址暂无可用配送方式，请更换地址后重试。,"Aucun mode de livraison pour cette adresse. Changez l’adresse et réessayez."
购物车商品缺少重量，无法计算运费。请联系客服协助处理后再试。,"Poids manquant dans le panier ; livraison impossible à calculer. Contactez le service client."
请选择配送方式。,"Veuillez choisir un mode de livraison."
确认支付,"Confirmer le paiement"
在弹窗内完成支付。支付商可能打开小窗，完成后回到此处。,"Terminez le paiement dans ce dialogue. Le prestataire peut ouvrir une petite fenêtre ; revenez ici ensuite."
返回物流,"Retour à la livraison"
换设备支付（链接）,"Payer sur un autre appareil (lien)"
商品,Articles
运费,Livraison
应付,Dû
收货,"Livrer à"
生成付款链接发给朋友。订单仍归你，朋友只负责付款。,"Créez un lien de paiement pour un ami. La commande reste la vôtre ; il paie seulement."
订单与收货信息归你，不会转给付款人,"La commande et la livraison restent à vous—pas transférées au payeur"
朋友打开链接后完成支付即可,"Votre ami ouvre le lien et termine le paiement"
代付不可用优惠券与积分,"Coupons et points non utilisables avec Payer pour moi"
查看完整规则,"Voir les règles complètes"
我已阅读并同意帮我付规则,"J’ai lu et j’accepte les règles de Payer pour moi"
下一步：确认收货地址,"Suivant : confirmer l’adresse de livraison"
出链前请完整核对。仅此弹窗可见，之后店面不再展示收货详情。,"Vérifiez entièrement avant de créer le lien. Les détails de livraison ne sont visibles que dans ce dialogue."
地址正确，可以生成代付链接,"Adresse correcte — créer le lien Payer pour moi"
生成代付链接,"Créer le lien Payer pour moi"
规则,Règles
地址,Adresse
分享,Partager
付款,Payer
与帮我付不同：朋友自己结账下单,"Contrairement à Payer pour moi : votre ami passe commande lui-même"
如何请人付款、订单归属与出链方式,"Comment demander un paiement, qui possède la commande et comment partager le lien"
店面不展示收货地址；账单地址说明,"Adresse de livraison masquée en boutique ; notes d’adresse de facturation"
