客服消息翻译,"Customer Service Message Translation"
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,"The customer service module requests translation service through this event. Event data includes text to be translated, source language, target language, etc. Translation modules can listen to this event and provide translation services."
客服邮箱绑定验证,"Agent email bind verification"
客户绑定邮箱时的验证邮件,"Email when customer binds mailbox"
验证链接,"Verification link"
待绑定邮箱,"Email pending bind"
"Unsupported customer service provider operation: %{1}","Unsupported customer service provider operation: %{1}"
"Missing URL","Missing URL"
"Unsupported customer service admin path","Unsupported customer service admin path"
"Controller missing: %{1}","Controller missing: %{1}"
"Session and message content are required.","Session and message content are required."
"Session ID is required.","Session ID is required."
上传成功,"Upload successful"
上传失败：%{1},"Upload failed: %{1}"
"Language code is required.","Language code is required."
"Language updated.","Language updated."
"Please enter a valid email address.","Please enter a valid email address."
"Session token is required.","Session token is required."
人机验证服务暂不可用，已切换为本地图码，请填写后重试,"Captcha service unavailable; switched to local code—fill it and try again"
人机验证未完成，请再试一次,"Captcha was not completed. Please try again."
人机验证失败或已过期，请重试,"Captcha verification failed or expired. Please try again."
"Unable to send verification email. Please try again later.","Unable to send verification email. Please try again later."
"Verification email has been sent.","Verification email has been sent."
"Customer Service Query","Customer Service Query"
"Provides frontend customer-service chat operations through the worker API.","Provides frontend customer-service chat operations through the worker API."
在线客服,"Online customer service"
默认已启用在线客服（当前范围无覆盖关闭）。,"Live chat enabled by default (no override-off in current scope)."
已继承上级范围启用在线客服。,"Inherited live chat enabled from parent scope."
已启用在线客服入口。,"Live chat entry enabled."
"启用前台客服与默认语言；可选 AI 模型。","Enable storefront support and default language; optional AI model."
服务,Services
在线客服入口,"Live chat entry"
客服聊天,"Customer Service Chat"
获取会话失败：%{1},"Failed to get session: %{1}"
消息内容不能为空,"Message content cannot be empty"
无效的会话ID,"Invalid session ID"
发送消息失败：%{1},"Failed to send message: %{1}"
获取消息失败：%{1},"Failed to get messages: %{1}"
语言代码不能为空,"Language code cannot be empty"
语言设置成功,"Language set successfully"
设置语言失败：%{1},"Failed to set language: %{1}"
人机验证加载失败，请稍后重试,"Captcha failed to load. Please try again later."
邮箱地址不能为空,"Email address cannot be empty"
