用户ID无效,用户ID无效
用户不存在,"User does not exist"
修改成功！,"Modified successfully!"
修改失败！,"Modification failed!"
添加成功！,"Added successfully!"
添加失败！,"Add failed!"
用户ID不能为空,"User ID cannot be empty"
删除成功！,"Deleted successfully!"
删除失败！,"Delete failed!"
激活成功！,"Activated successfully!"
激活失败！,"Activation failed!"
禁用成功！,"Disabled successfully!"
禁用失败！,"Disable failed!"
用户名不能为空,"Username cannot be empty"
邮箱不能为空,"Email cannot be empty"
邮箱格式不正确,"Email format is incorrect"
新增用户必须设置密码,"Password is required for new user"
新增,Add
修改,Edit
%{1}管理员成功,"%{1} administrator successfully"
保存失败,"Save failed"
超级管理员不能被删除,"Super administrator cannot be deleted"
删除成功,删除成功
删除失败,删除失败
超级管理员状态不能被修改,"Super administrator status cannot be modified"
无效的操作类型,"Invalid operation type"
用户已激活,"User has been activated"
用户已禁用,"User has been disabled"
操作失败,"Operation failed"
不能给自己分配权限！,"Cannot assign permissions to yourself!"
角色分配成功！,"Role assigned successfully!"
角色分配失败！,"Role assignment failed!"
不能修改自己的角色,"You cannot modify your own role"
已取消角色分配,"Role assignment has been removed"
角色分配成功,"Role assigned successfully"
角色分配失败,"Role assignment failed"
欢迎使用WelineFramework框架后台系统！,"Welcome to WelineFramework Backend System!"
WelineFramework,WelineFramework
你的账户因尝试多次登录，已被锁定！请联系其他管理员开通。,"Your account has been locked due to multiple login attempts! Please contact another administrator to unlock it."
未登录,未登录
访问后台需要先登录。,访问后台需要先登录。
账户异常,账户异常
该账户不存在或已被删除，请使用有效账户重新登录。,该账户不存在或已被删除，请使用有效账户重新登录。
无权限,无权限
用户没有分配角色，请联系管理员。,用户没有分配角色，请联系管理员。
您没有任何后台权限，请联系管理员。,您没有任何后台权限，请联系管理员。
您没有访问该页面的权限，请联系管理员。,您没有访问该页面的权限，请联系管理员。
当前没有可用的访问入口，请重新登录或联系管理员。,当前没有可用的访问入口，请重新登录或联系管理员。
您没有访问该页面的权限，请先登录或联系管理员。,您没有访问该页面的权限，请先登录或联系管理员。
异常的登录操作！,"Abnormal login operation!"
账户不存在！,"Account does not exist!"
账户被禁用！,"Account is disabled!"
登录异常！,"Login exception!"
"Please complete two-factor verification to finish sign in.","Please complete two-factor verification to finish sign in."
您的账户尚未分配角色，无法登录后台。请联系系统管理员为您分配角色。,您的账户尚未分配角色，无法登录后台。请联系系统管理员为您分配角色。
登录凭据错误！,"Invalid login credentials!"
验证码生成失败，请刷新重试。,验证码生成失败，请刷新重试。
关键参数ID不存在！,"Key parameter ID does not exist!"
菜单不存在！,菜单不存在！
该菜单下有子菜单，请先删除子菜单！,该菜单下有子菜单，请先删除子菜单！
参数错误：缺少排序数据,参数错误：缺少排序数据
排序更新成功,排序更新成功
参数错误：缺少菜单ID,参数错误：缺少菜单ID
菜单不存在,菜单不存在
后台首页顶部统计卡片,后台首页顶部统计卡片
在后台首页顶部区域渲染统计卡片，例如访客数、事件数、站点数等。,在后台首页顶部区域渲染统计卡片，例如访客数、事件数、站点数等。
后台首页主要概览,后台首页主要概览
在后台首页主要内容区域渲染核心数据概览，例如趋势、热门事件等。,在后台首页主要内容区域渲染核心数据概览，例如趋势、热门事件等。
后台首页标签页导航,后台首页标签页导航
在后台首页标签页导航区域动态追加标签页按钮，例如像素统计、数据分析等。,在后台首页标签页导航区域动态追加标签页按钮，例如像素统计、数据分析等。
后台首页标签页内容,后台首页标签页内容
在后台首页标签页内容区域动态追加标签页内容面板，例如像素统计面板、数据分析面板等。,在后台首页标签页内容区域动态追加标签页内容面板，例如像素统计面板、数据分析面板等。
"Backend login providers","Backend login providers"
"Inject third-party sign-in providers above the backend login form.","Inject third-party sign-in providers above the backend login form."
记住登录已过期，请重新登录！,"Remember login has expired, please login again!"
用户不存在！,"User does not exist!"
系统消息数据格式错误,"System message data format error"
"收到无效的系统消息数据。\n\n发送者：%{sender}\n数据类型：%{type}\n数据内容：%{content}\n\n请检查发送系统消息的代码，确保数据格式正确。","Invalid system message data received.\n\nSender: %{sender}\nData Type: %{type}\nData Content: %{content}\n\nPlease check the code that sends system messages to ensure the data format is correct."
title,title
content,content
系统消息缺少必需字段,"System message missing required fields"
"收到的系统消息缺少必需字段。\n\n发送者：%{sender}\n缺少字段：%{fields}\n\n请确保消息数据包含 'title' 和 'content' 字段。\n\n当前数据：%{data}","Received system message is missing required fields.\n\nSender: %{sender}\nMissing fields: %{fields}\n\nPlease ensure the message data contains 'title' and 'content' fields.\n\nCurrent data: %{data}"
系统消息保存失败,"System message save failed"
