"Recently Viewed Management","Recently Viewed Management"
"Successfully cleared %{1} records","Successfully cleared %{1} records"
"Failed to clear history: %{1}","Failed to clear history: %{1}"
"Invalid customer ID","Invalid customer ID"
"Successfully cleared %{1} records for customer %{2}","Successfully cleared %{1} records for customer %{2}"
"Successfully cleared %{1} records older than %{2} days","Successfully cleared %{1} records older than %{2} days"
"Failed to clear expired history: %{1}","Failed to clear expired history: %{1}"
"Please log in to continue.","Please log in to continue."
"Recently viewed item ID is required.","Recently viewed item ID is required."
"Removed from recently viewed.","Removed from recently viewed."
"You are not allowed to remove this recently viewed item.","You are not allowed to remove this recently viewed item."
"Browsing Memory","Browsing Memory"
"Recently Viewed","Recently Viewed"
"Open History","Open History"
"Products in your history","Products in your history"
"Keep the products you inspected most recently one click away so you can resume comparison, wishlist decisions, and checkout without searching again.","Keep the products you inspected most recently one click away so you can resume comparison, wishlist decisions, and checkout without searching again."
WeShop,WeShop
"Total Records","Total Records"
Today,Today
"This Week","This Week"
"Unique Customers","Unique Customers"
"Clear All","Clear All"
"Clear Expired","Clear Expired"
"Older than 7 days","Older than 7 days"
"Older than 30 days","Older than 30 days"
"Older than 90 days","Older than 90 days"
"No recently viewed records","No recently viewed records"
ID,ID
Product,Product
"Product Name","Product Name"
SKU,SKU
"Customer ID","Customer ID"
Price,Price
"Viewed At","Viewed At"
Actions,Actions
"Are you sure you want to clear all recently viewed records?","Are you sure you want to clear all recently viewed records?"
"Product ID","Product ID"
From,From
To,To
Search,Search
"Clear Filter","Clear Filter"
"Are you sure you want to delete this record?","Are you sure you want to delete this record?"
Delete,Delete
"Recently Viewed Products","Recently Viewed Products"
"No recently viewed products","No recently viewed products"
"Start browsing to see products here.","Start browsing to see products here."
"Start Shopping","Start Shopping"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Add to Cart","Add to Cart"
