"DataTable Registered Resource Query","DataTable Registered Resource Query"
"Registered DataTable demo resources through the Weline.Api worker channel.","通过 Weline.Api 工作通道访问已注册的数据表格演示资源。"
每页显示,每页显示
分页,分页
筛选,筛选
重置,重置
高级筛选,高级筛选
field标签必须指定name属性！,field标签必须指定name属性！
field标签的belong必须是t-header、t-filter或d-form。,field标签的belong必须是t-header、t-filter或d-form。
请输入%{1},请输入%{1}
按%{1}排序,按%{1}排序
全部,全部
请选择,请选择
选择图片,选择图片
选择文件,选择文件
d-form标签必须指定model属性，或放在d-table内部。,d-form标签必须指定model属性，或放在d-table内部。
编辑记录,编辑记录
新增记录,新增记录
新增,新增
正在加载字段…,正在加载字段…
取消,取消
保存,保存
关闭,关闭
当前上下文仅允许查看，不能提交数据。,当前上下文仅允许查看，不能提交数据。
确认写入计划,确认写入计划
请核对写入顺序、目标资源与事务范围。确认后计划只能使用一次。,请核对写入顺序、目标资源与事务范围。确认后计划只能使用一次。
确认并执行,确认并执行
d-table标签必须指定model属性！,d-table标签必须指定model属性！
d-table标签必须指定scope属性！,d-table标签必须指定scope属性！
自动生成,自动生成
刷新,刷新
导出,导出
总记录,总记录
当前显示,当前显示
字段配置,字段配置
显示字段,显示字段
筛选字段,筛选字段
搜索表格,搜索表格
"数据删除失败: %{1}","数据删除失败: %{1}"
记录不存在,记录不存在
记录已永久删除,记录已永久删除
记录已移至回收站,记录已移至回收站
数据删除成功,数据删除成功
"删除失败: %{1}","删除失败: %{1}"
"批量删除完成，成功: %{1}，失败: %{2}","批量删除完成，成功: %{1}，失败: %{2}"
"主模型类不存在: %{1}","主模型类不存在: %{1}"
"缺少必需参数: model 和 data","缺少必需参数: model 和 data"
"记录创建失败: %{1}","记录创建失败: %{1}"
记录创建失败,记录创建失败
"表 %{1} 的记录创建失败","表 %{1} 的记录创建失败"
"缺少必需参数: model、id 和 data","缺少必需参数: model、id 和 data"
记录更新成功,记录更新成功
记录更新失败,记录更新失败
"记录更新失败: %{1}","记录更新失败: %{1}"
"批量更新完成，成功: %{1}，失败: %{2}","批量更新完成，成功: %{1}，失败: %{2}"
"批量状态变更完成，成功: %{1}，失败: %{2}","批量状态变更完成，成功: %{1}，失败: %{2}"
"缺少必需参数: model 和 id/ids","缺少必需参数: model 和 id/ids"
"成功删除 %{1} 条记录","成功删除 %{1} 条记录"
删除失败,删除失败
"记录删除失败: %{1}","记录删除失败: %{1}"
"ID %{1} 删除失败: %{2}","ID %{1} 删除失败: %{2}"
"批量移至回收站完成，成功: %{1}，失败: %{2}","批量移至回收站完成，成功: %{1}，失败: %{2}"
"批量删除失败: %{1}","批量删除失败: %{1}"
图片删除成功,图片删除成功
图片删除失败,图片删除失败
"图片删除失败: %{1}","图片删除失败: %{1}"
"缺少必需参数: model 和 scope","缺少必需参数: model 和 scope"
"永久删除失败: %{1}","永久删除失败: %{1}"
永久删除失败,永久删除失败
未找到任何字段,未找到任何字段
"模型 %{1} 没有可用的字段，或者所有字段都被排除了","模型 %{1} 没有可用的字段，或者所有字段都被排除了"
获取字段成功,获取字段成功
启用,启用
禁用,禁用
类型1,类型1
类型2,类型2
"缺少必需参数: model 或 record_id","缺少必需参数: model 或 record_id"
获取记录成功,获取记录成功
"获取记录失败: %{1}","获取记录失败: %{1}"
"DataTable write plan token is invalid.",数据表格写入计划令牌无效。
"DataTable write plan expired or was already used.",数据表格写入计划已过期或已使用。
"DataTable write payload no longer matches the confirmed plan.",数据表格写入载荷与已确认计划不再匹配。
"DataTable write plan cannot proceed until all required fields are complete.",请补全全部必填字段后再执行数据表格写入计划。
"Demo form record loading only supports single-model records.",演示表单记录加载仅支持单模型记录。
"Record does not exist.",记录不存在。
"Joined demo tables do not support delete.",加入的演示表不支持删除。
"Demo export only supports single-model tables.",演示导出仅支持单模型表。
"Demo table model is required.",需要演示表模型。
"Invalid demo join condition: %{1}",无效的演示加入条件：%{1}
"Invalid DataTable dependency: %{1}.",无效的数据表格依赖：%{1}。
"DataTable dependency references an unknown model alias.",数据表格依赖引用了未知模型别名。
"Circular DataTable write dependency detected.",检测到数据表格循环写入依赖。
"DataTable write-order must contain every model alias exactly once.",数据表格写入顺序必须且只能包含每个模型别名一次。
