进店音乐,"স্টোর সঙ্গীত"
settings,সেটিংস
进店音乐与氛围播放配置,"স্টোর সঙ্গীত ও পরিবেশ প্লেব্যাক সেটিংস"
查看进店音乐配置,"স্টোর সঙ্গীত সেটিংস দেখুন"
查看进店音乐曲目与播放配置,"ট্র্যাক ও প্লেব্যাক সেটিংস দেখুন"
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,"একীভূত কনফিগ কেন্দ্রে খুলুন"
作用范围,স্কোপ
进店曲目,"প্রবেশ ট্র্যাক"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","mp3 / wav / ogg / m4a / aac / flac / opus / wma ইত্যাদি বহু-নির্বাচন। প্রতি ফাইল সর্বোচ্চ ≈20MB। সাজাতে টেনে আনুন; নিচে ভাষা অনুযায়ী পরিচিতি পূরণ করুন। বর্তমান স্কোপে স্বয়ংক্রিয় সংরক্ষণ।"
简介编辑语言,"পরিচিতি সম্পাদনার ভাষা"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"ভাষা বদলের পর প্রতিটি ট্র্যাকের পরিচিতি পূরণ করুন; স্টোর দর্শকের ভাষা দেখায়।"
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"এখনও কোনো ট্র্যাক নেই। উপরের মিডিয়া লাইব্রেরি থেকে প্রবেশ সঙ্গীত যোগ করুন।"
拖拽排序,"টেনে সাজান"
曲名,শিরোনাম
简介,পরিচিতি
选择进店音乐（可多选）,"প্রবেশ সঙ্গীত বেছে নিন (বহু)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"সেটিংস বর্তমান স্কোপে প্রযোজ্য। একাধিক ট্র্যাক বেছে নিন, টেনে সাজান এবং ভাষা অনুযায়ী পরিচিতি পূরণ করুন। সক্রিয় ও কমপক্ষে একটি ট্র্যাক থাকলে স্টোরের নিচের বামে সঙ্গীত উইজেট দেখা যায়।"
选择作用范围,"স্কোপ বেছে নিন"
搜索作用范围,"স্কোপ খুঁজুন"
折叠,সংকুচিত
展开,প্রসারিত
未找到匹配作用范围,"কোনো মিলে যাওয়া স্কোপ নেই"
播放控制,"প্লেব্যাক নিয়ন্ত্রণ"
上一首,পূর্ববর্তী
播放,চালাও
停止,থামান
停止播放,"প্লেব্যাক থামান"
下一首,পরবর্তী
"请先同意营销 Cookie 后再播放","চালানোর আগে মার্কেটিং কুকি গ্রহণ করুন"
点击开启音乐,"সঙ্গীত চালাতে ট্যাপ করুন"
点击开启声音,"আনমিউট করতে ট্যাপ করুন"
波形不可用,"ওয়েভফর্ম উপলব্ধ নয়"
开启波形,"ওয়েভফর্ম চালু করুন"
关闭波形,"ওয়েভফর্ম বন্ধ করুন"
播放中,বাজছে
当前浏览器暂不支持此音频格式,"এই ব্রাউজার এই অডিও ফরম্যাট সমর্থন করে না"
音频加载失败，请换一首曲目或格式,"অডিও লোড ব্যর্থ। অন্য ট্র্যাক বা ফরম্যাট চেষ্টা করুন।"
已关闭自动播放，点击播放可重新开启,"অটোপ্লে বন্ধ। আবার চালাতে প্লে চাপুন।"
已在其他页面播放,"অন্য পৃষ্ঠায় বাজছে"
播放列表,প্লেলিস্ট
"共 {n} 首","{n} টি ট্র্যাক"
展开简介,"পরিচিতি দেখুন"
收起简介,"পরিচিতি গুটিয়ে নিন"
点开选曲,"ট্র্যাক পিকার খুলুন"
选择曲目聆听,"শোনার জন্য একটি ট্র্যাক বেছে নিন"
音量,ভলিউম
进店氛围音乐,"স্টোর অ্যাম্বিয়েন্স সঙ্গীত"
关闭选曲,"ট্র্যাক পিকার বন্ধ করুন"
搜索歌曲…,"গান খুঁজুন…"
未找到匹配曲目,"কোনো মিল পাওয়া যায়নি"
搜索播放列表,"প্লেলিস্ট খুঁজুন"
