元数据路径扫描,"Metadata path scan"
用于触发元数据路径扫描事件，允许其他模块监听并处理扫描任务。扫描器会扫描指定路径下的文件，提取元数据信息并存储到数据库中。,"This triggers a metadata path scan event, allowing other modules to listen to and process the scan task. The scanner scans files within the specified path, extracts metadata information, and stores it in a database."
"按可信请求 Scope 解析 public.* 命名空间配置。","Parse the public.* namespace configuration based on the trusted request scope."
"前台 Meta 读取仅允许 public.* 命名空间","The frontend meta reads only namespaces that start with ""public.*""."
"Meta config_key 不能为空","The Meta config_key cannot be empty."
"当前请求没有可用的商城 Scope","No available store scopes for the current request."
关闭,Close
翻译窗口,"Translation window."
刷新,Refresh
提交,Submit
"MetaConfig 指纹%{1}失败：%{2}","MetaConfig fingerprint %{1} failed: %{2}"
"没有找到任何本地化数据！<a target=""_blank"" href=""%{url}"">前往I18n安装启用</a>搜索本地语言：%{search} 或者手动刷新页面：<a href=""%{refresh}"">刷新</a>","No localization data found! <a target=""_blank"" href=""%{url}"">Go to I18n installation and enable</a>. Search for a local language: %{search} or manually refresh the page: <a href=""%{refresh}"">Refresh</a>"
请设置meta标签key属性！,"Please set the `key` attribute for the meta tags!"
翻译完成!,"Translation complete!"
命名空间参数不能为空,"Namespace parameters cannot be empty."
参数不完整,"Incomplete parameters"
"找到的 Meta 配置类型不正确：%{meta_identify}，期望文件类型，实际为：%{type}","The identified Meta configuration type is incorrect: %{meta_identify}. Expected file type, but found: %{type}."
"未找到对应的 Meta 配置：%{meta_identify}。请确认该配置已正确扫描到数据库中。","No corresponding Meta configuration found: %{meta_identify}. Please ensure that this configuration has been correctly scanned into the database."
"Meta 配置缺少命名空间：","Meta configuration is missing the namespace."
"未找到对应的 Meta 配置：","Meta configuration not found:"
"保存参数 %{param} 失败：%{error}","Failed to save parameter %{param}: %{error}"
配置已保存,"Configuration saved"
配置已保存（已保存：%d，跳过：%d）,"Configuration saved (saved: %d, skipped: %d)"
保存失败：,"Save failed:"
未找到对应的字段配置：%{param},"No corresponding field configuration found: %{param}"
该字段未启用多语言：%{param},"This field does not support multilingual functionality: %{param}"
"未找到对应的 Meta 配置：%{meta_identify}","Meta configuration not found: %{meta_identify}"
未找到参数定义：%{param},"Parameter definition not found: %{param}"
获取翻译数据失败：,"Failed to retrieve translation data."
"翻译已保存（共 %{count} 条）","Translations saved (total: %{count} items)."
保存翻译失败：,"Failed to save translation:"
获取语言列表失败：,"Failed to retrieve the list of languages."
未找到对应的字段配置：%{field},"No corresponding field configuration found: %{field}"
该字段未启用多语言：%{field},"This field does not support multiple languages: %{field}"
保存成功,"Save successful"
请指定扫描路径,"Please specify the scan path."
扫描任务已提交，请查看扫描结果,"The scanning task has been submitted. Please check the scan results."
