"client_id 不能为空","client_id 不能为空"
应用不存在或已禁用,应用不存在或已禁用
回调地址不匹配,回调地址不匹配
授权信息获取成功,授权信息获取成功
请先登录后再授权,请先登录后再授权
授权成功,授权成功
授权码或客户端凭证无效,授权码或客户端凭证无效
"Token 发放成功","Token 发放成功"
"刷新 token 无效","刷新 token 无效"
"Token 刷新成功","Token 刷新成功"
"Token 不能为空","Token 不能为空"
"Token 不存在或已失效","Token 不存在或已失效"
"Token 已撤销","Token 已撤销"
"Token 无效或已过期","Token 无效或已过期"
用户资料获取成功,用户资料获取成功
账号绑定成功,账号绑定成功
缺少站点ID,缺少站点ID
缺少密钥,缺少密钥
用户名或邮箱至少需要提供一个,用户名或邮箱至少需要提供一个
站点配置不存在,站点配置不存在
密钥验证失败,密钥验证失败
站点已禁用,站点已禁用
Token生成成功,Token生成成功
Token生成失败：%{1},Token生成失败：%{1}
缺少token,缺少token
Token验证失败或已过期,Token验证失败或已过期
Token验证成功,Token验证成功
Token验证失败：%{1},Token验证失败：%{1}
Multipass账户管理,Multipass账户管理
系统管理,系统管理
"Multipass账户管理 - 前端账户","Multipass账户管理 - 前端账户"
"Multipass账户管理 - 后端账户","Multipass账户管理 - 后端账户"
获取成功,获取成功
获取失败：%{1},获取失败：%{1}
缺少用户ID,缺少用户ID
站点类型与用户类型不匹配,站点类型与用户类型不匹配
用户不存在,用户不存在
用户已被禁用,用户已被禁用
官网登录提供方,官网登录提供方
官网登录提供方已保存,官网登录提供方已保存
保存失败：%{1},保存失败：%{1}
官网登录提供方已删除,官网登录提供方已删除
官网登录提供方不存在,官网登录提供方不存在
"缺少 Multipass token","缺少 Multipass token"
该站点不支持后端登录,该站点不支持后端登录
该站点已禁用,该站点已禁用
"Token 验证失败或已过期","Token 验证失败或已过期"
用户数据不完整,用户数据不完整
用户不存在，请联系管理员,用户不存在，请联系管理员
登录成功,登录成功
登录失败：%{1},登录失败：%{1}
站点管理,站点管理
站点名称不能为空,站点名称不能为空
站点URL不能为空,站点URL不能为空
站点URL格式不正确,站点URL格式不正确
该站点URL已存在,该站点URL已存在
站点创建成功,站点创建成功
保存失败:,保存失败:
站点不存在,站点不存在
站点保存成功,站点保存成功
站点ID不能为空,站点ID不能为空
站点删除成功,站点删除成功
删除失败:,删除失败:
互通应用,互通应用
互通应用已保存,互通应用已保存
"互通应用已创建，请立即保存 client_secret","互通应用已创建，请立即保存 client_secret"
"应用 ID 不能为空","应用 ID 不能为空"
"client_secret 已轮换，请立即保存","client_secret 已轮换，请立即保存"
请先登录后再继续授权,请先登录后再继续授权
授权应用已撤销,授权应用已撤销
授权应用不存在或无权撤销,授权应用不存在或无权撤销
官网授权登录未配置,官网授权登录未配置
官网授权登录成功,官网授权登录成功
官网授权登录失败：%{1},官网授权登录失败：%{1}
"授权应用访问你的 Weline 账号","授权应用访问你的 Weline 账号"
该站点不支持前端登录,该站点不支持前端登录
用户不存在，请先在系统中注册,用户不存在，请先在系统中注册
应用名称不能为空,应用名称不能为空
回调地址格式不正确,回调地址格式不正确
可信域名不能为空,可信域名不能为空
应用不存在,应用不存在
用户未登录,用户未登录
当前授权不允许绑定外部账号,当前授权不允许绑定外部账号
外部账号标识不能为空,外部账号标识不能为空
低风险,低风险
高风险,高风险
中风险,中风险
以下授权范围不可用：%{1},以下授权范围不可用：%{1}
授权提供方不存在,授权提供方不存在
授权提供方名称不能为空,授权提供方名称不能为空
官网授权地址格式不正确,官网授权地址格式不正确
官网接口地址格式不正确,官网接口地址格式不正确
"Client ID 不能为空","Client ID 不能为空"
"Client Secret 不能为空","Client Secret 不能为空"
本站回调地址格式不正确,本站回调地址格式不正确
授权提供方不存在或已禁用,授权提供方不存在或已禁用
"官网未返回 Access Token","官网未返回 Access Token"
"授权码换 token 失败","授权码换 token 失败"
