"Notification Management","Notification Management"
通知ID不能为空。,"Notification ID is required."
通知已标记为已读。,"Notification marked as read."
通知标记已读失败。,"Notification could not be marked as read."
通知详情,"Notification Detail"
请先登录后再继续。,"Please log in to continue."
请先登录后再配置通知渠道。,"Please sign in before configuring notification channels."
通知渠道配置已保存。,"Notification channel settings saved."
不支持的通知接口操作：%{1},"Unsupported notification provider operation: %{1}"
通知接口,"Notification Query"
通过前端 worker API 提供通知操作。,"Provides frontend notification operations through the worker API."
将当前客户的通知标记为已读。,"Mark a notification owned by the current customer as read."
"订单 {1} 已提交","Order {1} submitted"
订单已提交,"Order submitted"
我们已收到您的订单，后续支付、发货和售后状态会按您选择的通知渠道同步。,"We have received your order. Payment, shipping, and after-sales status will be synced through your selected notification channels."
站内通知,"On-site Notifications"
通知渠道和联系方式不能为空。,"Notification channel and contact method cannot be empty."
该通知渠道暂不支持客户配置。,"This notification channel does not currently support customer configuration."
请输入有效的通知邮箱。,"Enter a valid notification email."
邮箱,Email
订单通知,"Order notifications"
您的订单已提交，我们会继续同步后续状态。,"Your order has been submitted. We will continue syncing future status updates."
Unread,Unread
Read,Read
"Notification not found.","Notification not found."
客户ID不能为空。,"Customer ID is required."
信息,Info
订单,Order
支付,Payment
会员,Membership
促销,Promotion
商品问答提及,"Product Q&A Mention"
商品评价回复,"Product Review Reply"
"Manage customer notifications, read status, and delivery visibility for support teams.","Manage customer notifications, read status, and delivery visibility for support teams."
"Total Notifications","Total Notifications"
"Unread Notifications","Unread Notifications"
"Read Notifications","Read Notifications"
"Customer ID","Customer ID"
Type,Type
"All types","All types"
Status,Status
"All statuses","All statuses"
Title,Title
"Search by title","Search by title"
"Apply Filters","Apply Filters"
Reset,Reset
ID,ID
Customer,Customer
"Read State","Read State"
"Created At","Created At"
Actions,Actions
View,View
"Mark as Read","Mark as Read"
"No notifications found.","No notifications found."
"Try adjusting filters or wait for new customer events.","Try adjusting filters or wait for new customer events."
"Back to Notifications","Back to Notifications"
"Review notification metadata and content before support follow-up.","Review notification metadata and content before support follow-up."
"Basic Information","Basic Information"
目标链接,"Target Link"
打开,Open
Content,Content
"Already marked as read.","Already marked as read."
消息通知,Notifications
订单进度、支付结果、售后提醒和账户消息都会出现在这里。,"Order updates, payment results, after-sales reminders, and account messages will appear here."
评价回复、订单进度、支付结果、售后提醒和账户消息都会出现在这里。,"Review replies, order updates, payment results, after-sales reminders, and account messages will appear here."
全部消息,"All Messages"
未读,Unread
标记已读,"Mark as Read"
查看,View
当前还没有消息。后续订单、支付、配送和售后事件产生后，会自动出现在这里。,"There are no messages yet. Future order, payment, delivery, and after-sales events will appear here automatically."
通知渠道设置,"Notification Channel Settings"
配置订单、支付、配送和售后通知的接收方式，结账页会优先使用这里保存的偏好。,"Configure how you receive order, payment, delivery, and after-sales notifications. Checkout will use the preferences saved here first."
已可用于订单通知。,"Available for order notifications."
请先在下方添加该渠道的联系方式。,"Add contact details for this channel below first."
添加通知联系方式,"Add Notification Contact"
外部渠道需要先绑定联系方式，才能参与提醒投递。,"External channels need contact details before they can receive reminders."
渠道,Channel
选择渠道,"Select Channel"
联系方式,"Contact Method"
邮箱、手机号或渠道地址,"Email, phone number, or channel address"
保存后，结账与订单相关流程会优先使用这里启用的通知渠道。,"After saving, checkout and order-related flows will use the notification channels enabled here first."
保存通知设置,"Save Notification Settings"
投递说明,"Delivery Notes"
先启用渠道，再补齐联系人，避免订单消息只能停留在站内。,"Enable channels and add contacts so order messages do not stay only in the on-site inbox."
推荐组合,"Recommended Setup"
站内通知适合保底留痕，建议默认开启。,"On-site notifications are useful as a reliable record and are recommended to stay enabled by default."
邮件适合订单确认、支付结果和售后进度提醒。,"Email is suitable for order confirmations, payment results, and after-sales progress reminders."
"Telegram、Webhook 等外部渠道需要先配置联系人才能启用。","External channels such as Telegram and Webhook require contacts before they can be enabled."
已保存联系人,"Saved Contacts"
通知设置,"Notification Settings"
管理订单、支付与售后消息提醒,"Manage order, payment, and after-sales notifications"
评价回复、订单与账户提醒,"Review replies, orders, and account alerts"
订单通知渠道,"Order notification channels"
已选通知渠道,"Selected notification channels"
未选择,"Not selected"
可用于本次订单通知。,"Available for this order notification."
请先在个人中心配置该渠道。,"Configure this channel in your account center first."
去个人中心管理通知渠道,"Manage notification channels in account center"
访客结账仅使用邮箱接收本次订单通知，登录后可以保存更多通知渠道。,"Guest checkout uses email for this order notification only. Sign in to save more notification channels."
消息集中在个人中心,"Messages in Account Center"
进入消息,"Open Messages"
提醒和更新集中在一处,"Alerts and updates in one place"
评价回复、订单状态和会员消息都在个人中心统一查看。,"Review replies, order status, and membership messages are all managed in the account center."
立即返回,"Open Now"
消息同步,"Stay In Sync"
通知中心,"Notification Center"
订单进度、账户提醒和重要商城事件会集中出现在这里。,"Track order progress, account reminders, and important storefront events in one timeline."
返回个人中心,"Back to Account"
继续购物,"Continue Shopping"
全部通知,"All Notifications"
当前时间线中的全部消息。,"Events currently available in your timeline."
仍待查看的新提醒。,"New updates still waiting for your review."
时间线,Timeline
最新动态,"Latest Updates"
创建时间,Created
标记为已读,"Mark as Read"
暂无通知,"No notifications yet"
账户产生事件后会自动显示在这里。,"Once events are generated for your account, they will appear here automatically."
