无权限访问重定向前,"Sin permisos para acceder a la página de redirección."
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,"Antes de realizar una redirección, se ejecuta esta acción cuando el usuario no tiene permisos para acceder. Permite que otros módulos ejecuten acciones personalizadas antes de la redirección, como registrar eventos o enviar notificaciones."
角色检查,"Verificación de roles."
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,"Se activa durante la verificación de permisos de roles de usuario y permite a otros módulos personalizar la lógica de verificación de roles."
"角色 ACL 条目加载后","Después de cargar las entradas de la lista de control de acceso (ACL)."
"角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。","Tras la carga de las reglas de ACL desde la base de datos, se activa la función de validación de roles. El observador puede modificar las entradas (por ejemplo, para realizar una intersección de paquetes de autorización por estación). El sistema de control de acceso (ACL) no es consciente del sitio web."
"超管 ACL 旁路检查","Verificación de bypass de ACL de superadministrador."
"role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。","`role_id=1`: Se activa antes de la derivación (bypass). El observador puede establecer `allow_bypass` en ""falso"" para desactivar la derivación."
角色权限保存前,"Antes de guardar los permisos de los roles."
"角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。","Asignación de permisos de control de acceso (ACL) que se activa antes de guardar; el observador puede rechazar identificadores de origen (source_ids) no autorizados (permitidos/mensajes)."
角色列表过滤,"Filtro de lista de personajes."
"角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。","Lista de roles/se activa antes de la creación; el observador puede restringir el conjunto de roles administrables mediante el identificador del sitio web (website_id)."
"ACL 分配树行加载后","Después de cargar la configuración de la estructura de árbol de asignación de ACL."
"权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。","La asignación de permisos se activa después de la carga del árbol/la fila de etiquetas; el observador puede modificar la fila (""rows"") para recortar los recursos asignables."
所有标签,"Todas las etiquetas."
搜索标签,"Etiquetas de búsqueda"
id属性不能为空,"El atributo ""id"" no puede estar vacío."
未找到匹配标签,"No se encontraron etiquetas coincidentes."
移除,移除
acl标签缺少source属性,"La etiqueta ""acl"" no tiene el atributo ""source""."
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","Esta página hace referencia a permisos para algunos recursos, pero actualmente no tiene los permisos necesarios: No se puede acceder al recurso %{1}. Si lo necesita, contacte al administrador."
使用示例：,"Ejemplos de uso:"
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","El ID del recurso y el ID del recurso padre no pueden ser iguales. Por favor, revise. ID del recurso: %{1}, ID del recurso padre: %{2}."
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","Error de configuración del framework: El ACL de nivel de clase %{1} no está asociado a un ACL de menú. Asegúrese de que source_id corresponde a un nodo en menu.xml, o que parent_source apunta a un nodo de menú con type=menus. Actualmente, parent_source es: %{2}."
(空),(Vacío)
"【ACL 重复检测】模块: %{1}","[Detección de duplicados ACL] Módulo: %{1}"
"发现以下重复的 source_id：","Se han encontrado los siguientes IDs de origen duplicados:"
"... 已省略更多重复（共 %{1} 个 source_id）","... Se han omitido más repeticiones (un total de %{1} source_id)."
"重复的 source_id: %{1}","ID de origen duplicado: %{1}"
首次出现:,"Primera aparición:"
"- 类: %{1}","Clase: %{1}"
"- 方法: %{1}","Método: %{1}"
"- 路由: %{1}","Ruta: %{1}"
"- 路由器: %{1}","- Router: %{1}"
"重复出现 (%{1} 次):","Repetición (%{1} veces):"
"- 索引 #%{1}:","Índice #%{1}:"
"类: %{1}","Clase: %{1}"
"方法: %{1}","Método: %{1}"
"路由: %{1}","Ruta: %{1}"
"路由器: %{1}","Router: %{1}"
"... 已省略 %{1} 条","... Se han omitido %{1} elementos."
"路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。","Es normal que el sistema de enrutamiento genere múltiples variaciones de URL para la misma acción; la lista de control de acceso (ACL) ya ha eliminado las duplicadas automáticamente."
"【ACL 重复检测】模块: %{1} (方法级别权限)","【Detección de duplicados ACL】 Módulo: %{1} (permisos a nivel de método)."
"ACL catalog: framework Query compile refreshed before resource collection.","ACL catalog: framework Query compile refreshed before resource collection."
请先登录,"Por favor, inicie sesión."
用户已被禁用,"El usuario ha sido desactivado."
"应用没有任何授权 scope","La aplicación no tiene permisos."
应用无权进行该操作,"La aplicación no tiene permiso para realizar esta acción."
用户不存在或已被删除,"El usuario no existe o ha sido eliminado."
用户没有分配角色,"El usuario no tiene asignado ningún rol."
你没有任何权限！请联系管理员！,"No tienes permisos. Por favor, contacta con el administrador."
"你无权进行该操作！你不具备：%{1} 操作权限！","No tiene permiso para realizar esta acción. No posee: %{1} permisos de operación."
你无权进行该操作,"No tiene permiso para realizar esta acción."
"你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！","¡No tiene permiso para realizar esta acción! No posee: %{1} Ruta: %{2} Permisos de operación. ¡Ha sido redirigido a una página a la que puede acceder!"
你无权进行该操作！已将你带到你可访问的后台页面：%{1},"No tiene permiso para realizar esta operación. Se le ha redirigido a la página de administración a la que tiene acceso: %{1}"
"超级管理员已拥有对象 Scope 授权，无需追加。","El superadministrador ya tiene la autorización de objeto Scope, no es necesario agregar más."
"已为超级管理员（role_id=1）追加 %{1} 条对象 Scope 授权。","Se han agregado %{1} autorizaciones de objeto Scope al superadministrador."
"为超级管理员授予对象 Scope 授权时出错：%{1}","Error al otorgar autorización de objeto Scope al superadministrador: %{1}"
"超级管理员已拥有全部 ACL 权限，无需追加。","El superadministrador ya posee todos los permisos de control de acceso (ACL) y no necesita permisos adicionales."
"已为超级管理员（role_id=1）授予 %{1} 条新权限。","Se han otorgado %{1} nuevos permisos al superadministrador (role_id=1)."
为超级管理员授予权限时出错：%{1},"Error al otorgar permisos al superadministrador: %{1}"
管理权限,"Permisos de administración."
shield,shield
模块资源,"Recursos del módulo."
puzzle,puzzle
标签资源,"Recursos etiquetados."
search,search
加载IP白名单失败：%{1},"Error al cargar la lista blanca de direcciones IP: %{1}"
IP地址不能为空,"La dirección IP no puede estar vacía."
IP地址格式不正确,"El formato de la dirección IP es incorrecto."
该IP地址已存在,"Esta dirección IP ya existe."
添加成功,"Agregado correctamente."
添加失败,"Fallo al agregar."
添加失败：%{1},"Error al añadir: %{1}"
记录不存在,"El registro no existe."
该IP地址已被其他记录使用,"Esta dirección IP ya está en uso por otra cuenta."
更新成功,"Actualización exitosa."
更新失败,"La actualización falló."
更新失败：%{1},"Error al actualizar: %{1}"
无效的请求方法,无效的请求方法
