前台账户订阅分区,"Frontend account subscription section"
在顾客账户首页注入周期性订阅列表与管理入口。,"Adds recurring subscription status and management links to the customer account home page."
"仅允许 POST 请求。","仅允许 POST 请求。"
操作失败，请稍后重试。参考编号：%{1},"The operation failed. Please try again later. Reference: %{1}"
数据暂时无法加载。参考编号：%{1},"Data is temporarily unavailable. Reference: %{1}"
状态暂时无法读取。参考编号：%{1},"Status is temporarily unavailable. Reference: %{1}"
订阅管理,订阅管理
订阅创建、周期与续费管理,订阅创建、周期与续费管理
订阅,订阅
查看订阅,查看订阅
订阅周期,订阅周期
查看订阅周期,查看订阅周期
续费调度,续费调度
查看续费调度租约,查看续费调度租约
续费尝试,续费尝试
查看续费尝试,查看续费尝试
失败水位,失败水位
查看订阅失败水位,查看订阅失败水位
迁移状态,迁移状态
只读查看订阅迁移状态,只读查看订阅迁移状态
创建订阅,创建订阅
创建订阅并开启首个周期,创建订阅并开启首个周期
执行续费,执行续费
通过订单与沙箱支付端口执行续费尝试,通过订单与沙箱支付端口执行续费尝试
"store_id 不能为负数：%{1}","store_id must not be negative: %{1}"
"Subscription 必填字段为空：%{1}","Subscription required field is empty: %{1}"
"Subscription version/CAS/hash 非法","Subscription version/CAS/hash is invalid"
"Subscription scheduler lease 非法","Subscription scheduler lease is invalid"
"非法 Subscription status：%{1}","Invalid Subscription status: %{1}"
"website_id 不能为负数：%{1}","website_id must not be negative: %{1}"
"非法 Subscription environment：%{1}","Invalid Subscription environment: %{1}"
"非法 SubscriptionPeriod status：%{1}","Invalid SubscriptionPeriod status: %{1}"
"SubscriptionPeriod identity/version/CAS 非法","SubscriptionPeriod identity/version/CAS is invalid"
"Subscription missed watermark 非法","Subscription missed watermark is invalid"
"Subscription Billing Attempt 非法","Subscription Billing Attempt is invalid"
"Subscription Billing Attempt active guard 非法","Subscription Billing Attempt active guard is invalid"
"Subscription Billing Attempt terminal guard 非法","Subscription Billing Attempt terminal guard is invalid"
我的订阅,"My subscriptions"
查看订阅周期与账单状态,"View subscription periods and billing status"
订阅周期订单由系统按期新建，可在此查看状态。,"Period orders are created by the system each cycle; view status here."
是,是
否,否
只读诊断,只读诊断
可管理,可管理
此页面显示订阅、周期与调度持久化事实；生产迁移不在后台触发。,此页面显示订阅、周期与调度持久化事实；生产迁移不在后台触发。
"创建与续费复用 Subscription 服务；续费只通过 Order 公共端口和 sandbox Payment 公共端口执行。","创建与续费复用 Subscription 服务；续费只通过 Order 公共端口和 sandbox Payment 公共端口执行。"
执行续费尝试,执行续费尝试
"订阅 ID","订阅 ID"
"客户 ID","客户 ID"
"网站 ID","网站 ID"
"店铺 ID","店铺 ID"
Provider,Provider
方案代码,方案代码
幂等键,幂等键
环境,环境
"Worker ID","Worker ID"
创建,创建
当前没有记录。,当前没有记录。
"Subscription 周期续费","Subscription periodic renewal"
"按 Subscription lease 执行单周期续费或 missed 恢复","Run one renewal cycle or missed-period recovery under a Subscription lease"
"Subscription renewal queue content 必须是 JSON object","Subscription renewal queue content must be a JSON object"
"Subscription renewal queue 参数非法","Subscription renewal queue parameters are invalid"
"Subscription missed watermark identity 非法","Subscription missed watermark identity is invalid"
"Subscription missed watermark 并发更新冲突","Subscription missed watermark concurrent update conflict"
"Subscription Billing Attempt identity 非法","Subscription Billing Attempt identity is invalid"
"Subscription Billing Attempt Order reference 非法","Subscription Billing Attempt Order reference is invalid"
"Billing Attempt 已绑定不同 Order：%{1}","Billing Attempt is already bound to another Order: %{1}"
"Billing Attempt 不存在：%{1}","Billing Attempt not found: %{1}"
"Subscription Billing Attempt status 非法","Subscription Billing Attempt status is invalid"
"Billing Attempt 并发更新冲突：%{1}","Billing Attempt concurrent update conflict: %{1}"
"Subscription Billing Attempt 字段过长","Subscription Billing Attempt field is too long"
"Subscription recover period_index 非法","Subscription recovery period_index is invalid"
"Billing Attempt 尚未绑定 Order，禁止替代重试","Billing Attempt has no Order; replacement retry is forbidden"
已取消或暂停订阅不可调度：%{1},"Cancelled or paused subscription cannot be scheduled: %{1}"
