清除筛选条件,"Clear filters"
部门,Department
全部类目,"All categories"
价格,Price
查看更多,"Show more"
暂无可用筛选条件,"No filters available"
朝代,Dynasty
形制,"Hanfu form"
汉服形制,"Hanfu style system"
类型,Type
适用性别,Gender
颜色,Color
可选颜色,"Available colors"
尺码,Size
可选尺码,"Available sizes"
面料,Fabric
织物,Fabric
材质,Material
面料名称,Fabric
主面料成分,"Main fabric"
适用场合,Occasion
场合,Occasion
适用季节,Season
适合季节,"Suitable season"
上市季节,"Launch season"
风格,Style
样式,Style
造型风格,"Look style"
工艺,Craft
面料工艺,"Fabric finish"
图案,Pattern
品牌,Brand
涤纶,Polyester
雪纺,Chiffon
汉服,Hanfu
其他,Other
浅灰色,"Light gray"
浅蓝色,"Light blue"
紫粉色,"Purple pink"
红色2,"Red 2"
翠竹蓝色,"Bamboo blue"
黄色,Yellow
100码,"Size 100"
110码,"Size 110"
110身高,"Height 110"
130厘米,"130 cm"
"L 身高165-170","L · Height 165-170"
S码3米摆,"S · 3m hem"
儿童120,"Kids 120"
均码,"One size"
普通舞台装,"Stage Costume"
