需要帮助？,"¿Necesita ayuda?"
访问,Visitar
客服邮箱：,"Correo de soporte:"
客服电话：,"Teléfono de soporte:"
服务时间：,"Horario de atención:"
地址：,Dirección:
此邮件由系统自动发送，请勿直接回复。如非本人操作，请忽略本邮件。,"Este mensaje se envió automáticamente. No responda directamente. Si no lo esperaba, puede ignorarlo."
来自商城的通知,"Un mensaje de la tienda"
默认网站,"Sitio web predeterminado"
默认店铺,"Tienda predeterminada"
系统通知,"Notificación del sistema"
通知内容,"Contenido de la notificación"
信息,Información
官方商城客户服务,"Servicio al cliente de la tienda oficial"
"周一至周五 9:00 - 18:00","Lun–vie 9:00–18:00"
"周一至周五 9:00 - 18:00（法定节假日除外）","Lun–vie 9:00–18:00 (excepto festivos)"
默认渠道,Canal predeterminado
