"StoreProduct 写入后无法回读","StoreProduct 写入后无法回读"
"Category 不存在：%{1}","Category 不存在：%{1}"
"Category 更新后无法回读：%{1}","Category 更新后无法回读：%{1}"
"Category 写入后无法回读：%{1}","Category 写入后无法回读：%{1}"
"global_category_uuid 格式非法","global_category_uuid 格式非法"
"website_id 不能为负数：%{1}","website_id 不能为负数：%{1}"
"store_id 不能为负数：%{1}","store_id 不能为负数：%{1}"
"%{1}.store_id 不能为 0（Website 层）","%{1}.store_id 不能为 0（Website 层）"
"Product 写入后无法回读：%{1}","Product 写入后无法回读：%{1}"
"Product SKU 不能为空","Product SKU 不能为空"
"Product 不存在：%{1}","Product 不存在：%{1}"
"Product 更新后无法回读：%{1}","Product 更新后无法回读：%{1}"
"publish_version 不能为负数：%{1}","publish_version 不能为负数：%{1}"
"Product publish_version 冲突：expected=%{1} actual=%{2}","产品发布版本冲突：预期=%{1} 实际=%{2}"
"Product publish CAS 失败：product_id=%{1}",产品发布CAS失败：product_id=%{1}
"非法商品状态转换：%{1} → %{2}","非法商品状态转换：%{1} → %{2}"
"Product 版本已变化，请刷新后重试","Product 版本已变化，请刷新后重试"
"Product 更新 CAS 失败","Product 更新 CAS 失败"
"Product CAS token factory 必须返回 32-64 位十六进制","Product CAS token factory 必须返回 32-64 位十六进制"
"Offer 写入后无法回读：%{1}","Offer 写入后无法回读：%{1}"
"Offer 不存在：%{1}","Offer 不存在：%{1}"
"Offer publish_version 冲突：expected=%{1} actual=%{2}","提供publish_version冲突：预期=%{1} 实际=%{2}"
"Offer publish CAS 失败：offer_id=%{1}",Offer发布CAS失败：offer_id=%{1}
"Offer 版本已变化，请刷新后重试","Offer 版本已变化，请刷新后重试"
"Offer 更新 CAS 失败","Offer 更新 CAS 失败"
"Offer 缺少有效的父 Product：%{1}","Offer 缺少有效的父 Product：%{1}"
"Offer CAS token factory 必须返回 32-64 位十六进制","Offer CAS token factory 必须返回 32-64 位十六进制"
"Price 在 Scope 上已 cleared，当前币种不可售：%{1}","Price 在 Scope 上已 cleared，当前币种不可售：%{1}"
"Price 未配置：offer=%{1} currency=%{2}","价格未配置：报价=%{1} 货币=%{2}"
"Media remove 并发重试耗尽：media_id=%{1}","Media remove 并发重试耗尽：media_id=%{1}"
"Media path/blob_key 不能为空","Media path/blob_key 不能为空"
"Media blob_key 已存在；共享必须使用 shareCopy：%{1}","Media blob_key 已存在；共享必须使用 shareCopy：%{1}"
"源 Media 不存在：%{1}","源 Media 不存在：%{1}"
"Media shareCopy 后 blob 引用数不守恒：%{1}","Media shareCopy 后 blob 引用数不守恒：%{1}"
"Media shareCopy 并发重试耗尽：media_id=%{1}","Media shareCopy 并发重试耗尽：media_id=%{1}"
"Media 不存在：%{1}","Media 不存在：%{1}"
"共享 Media COW 必须使用新的 blob_key：%{1}","共享 Media COW 必须使用新的 blob_key：%{1}"
"Media COW 目标 blob_key 已存在：%{1}","Media COW 目标 blob_key 已存在：%{1}"
"Media 编辑后无法回读：%{1}","Media 编辑后无法回读：%{1}"
"Media COW 后无法回读：%{1}","Media COW 后无法回读：%{1}"
"Media cowEdit 并发重试耗尽：media_id=%{1}","Media cowEdit 并发重试耗尽：media_id=%{1}"
"Media 写入后无法回读：%{1}","Media 写入后无法回读：%{1}"
"Media blob owner 数量异常：blob=%{1} owners=%{2}","Media blobowner 数量异常：blob=%{1}owners=%{2}"
"Media blob 没有引用行：%{1}","Media blob 没有引用行：%{1}"
"Media blob owner ref_count 不守恒：%{1}","媒体 blob 所有者 ref_count 不守恒：%{1}"
"Media owner 不能指向 cow_source：%{1}","Media owner 不能指向 cow_source：%{1}"
"Media copy owner/ref_count 不守恒：%{1}","媒体副本所有者/ref_count 不守恒：%{1}"
"共享 Media 缺少可提升 owner：%{1}","共享 Media 缺少可提升 owner：%{1}"
"Media blob 并发冲突：%{1}","Media blob 并发冲突：%{1}"
"Media CAS token factory 必须返回 32-64 位十六进制","Media CAS token factory 必须返回 32-64 位十六进制"
