编辑搜索引擎配置,"Edit search engine configuration"
新增搜索引擎配置,"Add Search Engine Configuration"
搜索引擎配置管理,"Search Engine Configuration Management"
"请使用 POST 方法提交","Please submit using the POST method"
无效的搜索引擎类型,"Invalid search engine type"
配置保存失败,"Failed to save configuration"
配置保存成功,"Configuration saved successfully"
请指定搜索引擎类型,"Please specify the search engine type"
请先配置搜索引擎参数,"Please configure the search engine parameters first"
无法创建搜索引擎实例,"Unable to create search engine instance"
连接测试成功,"Connection Test Successful"
连接测试失败，请检查配置,"Connection test failed, please check configuration"
"无效的配置 ID","Invalid configuration ID"
配置不存在,"Configuration does not exist"
配置删除成功,"Configuration deleted successfully"
"Search Results","Search Results"
搜索前,"Search before"
执行搜索前触发，可用于记录搜索日志、修改搜索参数等。,"Triggered before executing a search, can be used to log search queries, modify search parameters, etc."
搜索后,"Search after"
执行搜索后触发，可用于统计搜索数据、缓存搜索结果等。,"Triggered after executing a search, can be used to collect search statistics, cache search results, etc."
"Unsupported search query operation: %{1}","Unsupported search query operation: %{1}"
"Search Query","Search Query"
"Provides unified search, suggestions, index rebuild, and entity indexing operations.","Provides unified search, suggestions, index rebuild, and entity indexing operations."
"Run the unified product search.","Run the unified product search."
"Browse products with keyword, category, and dynamic facet filters.","Browse products with keyword, category, and dynamic facet filters."
"Get search suggestions.","Get search suggestions."
"Rebuild all search indexes or a specific provider index.","Rebuild all search indexes or a specific provider index."
"Index a single entity into the search engine.","Index a single entity into the search engine."
"Delete a single entity from the search index.","Delete a single entity from the search index."
"List the registered search document providers.","List the registered search document providers."
"Search page before content","Search page before content"
"Inject storefront content above the default-theme search results page.","Inject storefront content above the default-theme search results page."
"Search results after content","Search results after content"
"Inject storefront content after the default-theme search result grid and empty state.","Inject storefront content after the default-theme search result grid and empty state."
搜索商品、品牌或分类。,"Search products, brands, or categories."
暂未找到匹配结果。,暂未找到匹配结果。
"显示第 %{1}-%{2} 个，共 %{3} 个结果","显示第 %{1}-%{2} 个，共 %{3} 个结果"
排序,排序
基础信息,"Basic Info"
搜索引擎类型,"Search Engine Type"
请选择,"Please select"
作用域,Scope
"用于区分 default、production、staging 等不同环境的搜索配置。","Used to distinguish search configurations for different environments such as default, production, staging, etc."
优先级,Priority
同一作用域下优先级越高，越优先作为当前生效引擎。,"Higher priority within the same scope means it takes precedence as the currently active engine."
启用此搜索引擎配置,"Enable this search engine configuration"
"OpenSearch 配置","OpenSearch configuration"
"OpenSearch 是当前默认搜索引擎。环境安装脚本会自动下载并生成本地单节点配置，同时把连接信息写入 `app/etc/env.php`。","OpenSearch is the current default search engine. The environment installation script will automatically download and generate the local single-node configuration, and write the connection information to `app/etc/env.php`."
服务地址,"Service Address"
端口,Port
索引名称,"Index Name"
超时秒数,"Timeout seconds"
用户名,Username
密码,Password
安装版本,"Installation version"
安装目录,"Installation Directory"
配置文件,"Configuration file"
以上版本与路径通常由环境安装脚本自动维护。,"The above version and path are usually maintained automatically by the environment installation script."
测试连接,"Test Connection"
"Meilisearch 配置","Meilisearch configuration"
"适用于已独立部署 Meilisearch 的环境。","Suitable for environments with an independently deployed Meilisearch."
"API Key","API Key"
"MySQL 全文搜索配置","MySQL full-text search configuration"
"MySQL 作为兜底方案时无需额外服务，直接复用当前数据库能力。","As a back-up solution, MySQL does not require additional services and directly reuses the current database capabilities."
"Elasticsearch 配置","Elasticsearch configuration"
"用于兼容已有 Elasticsearch 集群。","Used for compatibility with existing Elasticsearch clusters."
"Algolia 配置","Algolia configuration"
"Application ID","Application ID"
保存,Save
取消,Cancel
请选择搜索引擎,"Select search engine"
正在测试连接...,"Testing connection..."
连接测试失败,"Connection Test Failed"
测试请求失败,"Test Request Failed"
保存失败,"Save Failed"
未知错误,"Unknown error"
保存成功,"Saved successfully"
配置已成功保存,"Configuration saved successfully"
保存请求失败,"Save Request Failed"
作用域选择,"Scope Selection"
当前作用域,"Current scope"
新增作用域,"Add Scope"
搜索引擎配置列表,"Search Engine Configuration List"
新增配置,"Add Configuration"
当前作用域暂无配置，请添加搜索引擎配置,"No configuration in the current scope. Please add a search engine configuration."
引擎类型,"Engine type"
引擎名称,"Engine name"
状态,Status
操作,Operation
启用,Enable
禁用,Disable
编辑,Edit
测试,Test
删除,Delete
请输入新的作用域名称,"Please enter a new scope name"
确定要测试连接吗？,"Are you sure you want to test the connection?"
连接正常,"Connection Normal"
连接测试成功！,"Connection Test Successful!"
确定,Confirm
连接测试失败：,"Connection Test Failed:"
测试请求失败：,"Test Request Failed:"
确认删除,"Confirm deletion"
确定要删除此配置吗？,"Are you sure you want to delete this configuration?"
确定删除,"Confirm deletion"
成功,Success
删除成功！,"Deletion successful!"
删除失败,"Deletion failed"
删除失败：,"Deletion failed:"
删除请求失败,"Delete request failed"
删除请求失败：,"Delete request failed:"
商品搜索,商品搜索
“%{1}”的搜索结果,"Search results for \"%{1}\""
搜索商品目录,"Search Catalog"
搜索关键词,"Search Keyword"
搜索商品、品牌、分类...,"Search products, brands, categories..."
搜索,搜索
热门搜索,热门搜索
清除全部,清除全部
筛选,筛选
查看详情,查看详情
上一页,上一页
"第 %{1} / %{2} 页","第 %{1} / %{2} 页"
下一页,下一页
暂未找到匹配商品,暂未找到匹配商品
换一个关键词、点击热门搜索，或移除筛选条件后再试。,"Try another keyword, click a popular search, or remove filters and try again."
鎼滅储鍟嗗搧銆佸搧鐗岀瓑...,"Search products, brands, and more..."
鎼滅储寤鸿,"Search Suggestions"
输入商品、品牌或分类开始搜索,输入商品、品牌或分类开始搜索
使用上方搜索框浏览商品目录，也可以直接点击热门搜索词。,使用上方搜索框浏览商品目录，也可以直接点击热门搜索词。
