队列操作,"Queue operation"
"在队列执行操作时触发，允许其他模块监听队列操作。action 可以是 add、edit 等。","Triggered when a queue operation is performed, allowing other modules to listen for queue operations. The action can be add, edit, etc."
队列删除,"Queue deletion"
在删除队列时触发，允许其他模块监听队列删除操作。,"Triggered when deleting a queue, allowing other modules to listen for queue deletion operations."
队列重置,"Queue reset"
在重置队列时触发，允许其他模块监听队列重置操作。,"Triggered when the queue is reset, allowing other modules to listen for queue reset operations."
队列停止,"Queue stop"
在停止队列时触发，允许其他模块监听队列停止操作。,"Triggered when stopping a queue, allowing other modules to listen to the queue stop operation."
队列继续,"Queue continue"
在继续队列时触发，允许其他模块监听队列继续操作。,"Triggered when continuing the queue, allowing other modules to listen to the queue continue operation."
"Queue 查询器不支持的操作：%{1}","Operations not supported by Queue query: %{1}"
"请提供有效的 queue_id。","Please provide a valid queue_id."
"请提供 biz_key。","Please provide the biz_key."
"请提供 idempotency_key。","请提供 idempotency_key。"
"idempotency_scope 与 idempotency_key 组合后不能超过 %{1} 字节","idempotency_scope 与 idempotency_key 组合后不能超过 %{1} 字节"
"请提供有效的 type_id 或 class（队列类型）。","Please provide a valid type_id or class (queue type)."
队列类型不存在。,"Queue type does not exist."
"请提供队列名称 name。","Please provide the queue name."
"请提供 module。","Please provide the module."
"公开 Queue create 只允许 status=pending；运行态和终态必须通过专用控制操作进入。","公开 Queue create 只允许 status=pending；运行态和终态必须通过专用控制操作进入。"
创建队列失败。,"Failed to create queue."
"请提供 queue_id 或 biz_key。","Please provide queue_id or biz_key."
队列不存在。,"Queue does not exist."
队列编辑失败。,队列编辑失败。
队列接管失败。,队列接管失败。
队列接管完成。,队列接管完成。
队列删除失败。,队列删除失败。
队列已删除。,"Queue has been deleted."
"队列状态、PID、完成标记和 dispatch fence 只能通过专用控制操作修改。","队列状态、PID、完成标记和 dispatch fence 只能通过专用控制操作修改。"
"Queue create 禁止直接传入 Scope 列 %{1}；请使用唯一入参 scope_envelope。","Queue create 禁止直接传入 Scope 列 %{1}；请使用唯一入参 scope_envelope。"
"Queue content 禁止混入 Scope 协议字段 %{1}；请使用 scope_envelope。","Queue content 禁止混入 Scope 协议字段 %{1}；请使用 scope_envelope。"
"scope_envelope 必须是数组。","scope_envelope 必须是数组。"
"Queue 统一服务","Queue unified service"
"任务队列增删改查与统计，模块间请使用 w_query('queue', ...) 代替直接使用 Queue 模型。","For task queue CRUD and statistics, use w_query('queue', ...) between modules instead of directly using the Queue model."
获取单条队列记录,"Retrieved a single queue record"
队列主键,"Queue primary key"
"同 get","Same as get"
"按 biz_key 精确查询一条（多命中取最新 queue_id）","Query exactly one by biz_key (if multiple matches, use the latest queue_id)"
业务检索键,"Business search key"
分页列出队列,"Paginated list queue"
页码,"Page Number"
每页条数,"Items per page"
模块名,"Module name"
状态,Status
"类型 ID","Type ID"
主键筛选,"Primary key filter"
业务键,"business key"
模糊搜索,"Fuzzy search"
各状态数量,"Status counts"
"按处理器类解析 type_id","Parse type_id by processor class"
"QueueInterface 实现类全名","Full name of QueueInterface implementation class"
创建队列任务,"Create queue task"
处理器类全名,"Full processor class name"
任务名称,"Task name"
所属模块名,"Module Name"
"JSON 或数组；禁止混入 Scope 字段","JSON 或数组；禁止混入 Scope 字段"
"仅允许 pending","仅允许 pending"
是否参与自动消费,"Participate in automatic consumption"
"唯一 Scope 入参；展开为 Queue v1 固定列。省略时新建行在 save_before 捕获当前请求 Scope（无上下文→global）","唯一 Scope 入参；展开为 Queue v1 固定列。省略时新建行在 save_before 捕获当前请求 Scope（无上下文→global）"
"默认 true；false 时仅创建，后续用 dispatch 操作显式派发","默认 true；false 时仅创建，后续用 dispatch 操作显式派发"
"按 idempotency_key 幂等创建；默认立即尝试派发，可用 dispatch=false 延后","按 idempotency_key 幂等创建；默认立即尝试派发，可用 dispatch=false 延后"
"与 type_id 二选一","与 type_id 二选一"
"唯一 Scope 入参；展开为 Queue v1 固定列","唯一 Scope 入参；展开为 Queue v1 固定列"
幂等键,幂等键
幂等作用域,幂等作用域
"立即尝试派发一条 pending+auto 队列到后台 Worker","立即尝试派发一条 pending+auto 队列到后台 Worker"
"更新无活动执行代次的 pending 队列业务字段（queue_id 或 biz_key）","更新无活动执行代次的 pending 队列业务字段（queue_id 或 biz_key）"
"与 biz_key 二选一","Alternative to biz_key"
定位键,"Locator Key"
