进店音乐,"موسيقى المتجر"
settings,الإعدادات
进店音乐与氛围播放配置,"إعدادات موسيقى وأجواء المتجر"
查看进店音乐配置,"عرض إعدادات موسيقى المتجر"
查看进店音乐曲目与播放配置,"عرض مقطوعات موسيقى المتجر وإعدادات التشغيل"
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,"فتح في مركز الإعدادات الموحد"
作用范围,النطاق
进店曲目,"مقطوعات الدخول"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","اختيار متعدد لـ mp3 / wav / ogg / m4a / aac / flac / opus / wma وغيرها. الحد الأقصى ≈20MB لكل ملف. اسحب لإعادة الترتيب؛ املأ المقدمة لكل لغة أدناه. تُحفظ التغييرات تلقائيًا للنطاق الحالي."
简介编辑语言,"لغة تحرير المقدمة"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"بعد تبديل اللغة املأ مقدمة كل مقطوعة؛ تعرض واجهة المتجر لغة الزائر."
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"لا توجد مقطوعات بعد. أضف موسيقى الدخول من مكتبة الوسائط أعلاه."
拖拽排序,"سحب لإعادة الترتيب"
曲名,العنوان
简介,المقدمة
选择进店音乐（可多选）,"اختيار موسيقى الدخول (متعدد)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"تُحفظ الإعدادات للنطاق الحالي. يمكن اختيار عدة مقطوعات وترتيبها بالسحب وملء المقدمة لكل لغة. عند التفعيل ووجود مقطوعة واحدة على الأقل تظهر أداة الموسيقى أسفل يسار واجهة المتجر."
选择作用范围,"اختيار النطاق"
搜索作用范围,"بحث في النطاقات"
折叠,طي
展开,توسيع
未找到匹配作用范围,"لم يُعثر على نطاقات مطابقة"
播放控制,"عناصر التحكم بالتشغيل"
上一首,السابق
播放,تشغيل
停止,إيقاف
停止播放,"إيقاف التشغيل"
下一首,التالي
"请先同意营销 Cookie 后再播放","وافق على ملفات تعريف الارتباط التسويقية قبل التشغيل"
点击开启音乐,"انقر لتشغيل الموسيقى"
点击开启声音,"انقر لإلغاء كتم الصوت"
波形不可用,"الموجة الصوتية غير متاحة"
开启波形,"تفعيل الموجة الصوتية"
关闭波形,"إيقاف الموجة الصوتية"
播放中,"قيد التشغيل"
当前浏览器暂不支持此音频格式,"هذا المتصفح لا يدعم تنسيق الصوت هذا"
音频加载失败，请换一首曲目或格式,"تعذر تحميل الصوت. جرّب مقطوعة أو تنسيقًا آخر."
已关闭自动播放，点击播放可重新开启,"التشغيل التلقائي متوقف. اضغط تشغيل للمتابعة."
已在其他页面播放,"يعمل في صفحة أخرى"
播放列表,"قائمة التشغيل"
"共 {n} 首","{n} مقطوعات"
展开简介,"عرض النبذة"
收起简介,"طي النبذة"
点开选曲,"فتح اختيار المقاطع"
选择曲目聆听,"اختر مقطوعة للاستماع"
音量,"مستوى الصوت"
进店氛围音乐,"موسيقى أجواء المتجر"
关闭选曲,"إغلاق اختيار المقاطع"
搜索歌曲…,"بحث عن الأغاني…"
未找到匹配曲目,"لا توجد مقاطع مطابقة"
搜索播放列表,"البحث في قائمة التشغيل"
