"订单 UUID","Order UUID"
订单号,"Order number"
客户姓名,"Customer name"
客户邮箱,"Customer email"
订单金额,"Order Amount"
货币,Currency
继续支付链接,"Continue payment link"
下单时间,"Order time"
支付状态,"Payment status"
"商品明细 HTML（|raw）","Product detail HTML (|raw)"
激励券码,"Incentive coupon code"
报价令牌,"Quote Token"
收件邮箱,"Receiving email address"
结账金额,"Checkout amount"
结账金额（分）,"Checkout amount (cents)"
继续结账链接,"Continue checkout link"
结账开始时间,"Checkout start time"
结账入口,"Checkout entry"
语言,Language
"网站 ID","Website ID:"
购物车键,"Cart key"
购物车金额,"Cart amount"
购物车金额（分）,"Cart amount (cents)"
继续购物链接,"Continue shopping link"
加购/创建时间,"Add-to-cart / create time"
购物车更新时间,"Cart updated at"
未付订单催付,"Unpaid order reminder"
营销挽回：未支付订单定时催付邮件,"Marketing win-back: unpaid order reminder emails"
结账遗弃提醒,"Checkout abandonment reminder"
营销挽回：遗弃结账报价定时提醒邮件,"Marketing win-back: abandoned checkout quote reminder emails"
购物车遗弃提醒,"Cart abandonment reminder"
营销挽回：遗弃购物车定时提醒邮件,"Marketing win-back: abandoned cart reminder emails"
新客欢迎,"New customer welcome"
生命周期：注册后欢迎邮件,"Lifecycle: post-signup welcome email"
见面礼券码,"Welcome gift code"
营销报价服务不可用,"Marketing quote service unavailable"
营销接口不支持操作：%{1},"Marketing API does not support action: %{1}"
营销服务暂时不可用，请稍后再试。,"Marketing service temporarily unavailable; please try again later."
万能优惠规则,"Universal discount rule"
优惠券校验、折扣报价与会话绑定。,"Coupon validation, discount quoting, and session binding."
营销后台接口不支持操作：%{1},"Marketing admin API does not support action: %{1}"
营销后台服务暂时不可用。,"Marketing admin service temporarily unavailable."
万能优惠规则后台,"Universal promotion rules admin"
"读取营销规则摘要，供后台浏览器 API 使用。","Read marketing rule summaries for the admin browser API."
已达成,Achieved
还差,Remaining
购物车优惠券槽默认部件迁移失败：%{1},"Cart coupon slot default widget migration failed: %{1}"
活动,Campaigns
浏览当前进行中的营销活动与优惠说明。,"Browse active marketing campaigns and offer details."
加载分群失败：%{1},"Load segment failed: %{1}"
分群不存在,"Segment not found"
请填写编码与名称,"Please enter code and name"
已保存分群,"Segment saved"
保存失败：%{1},"Save failed: %{1}"
营销分群,"Marketing segment"
users,users
薄分群配置,"Thin segment config"
分群列表,"Segment list"
list,list
查看分群,"View segment"
新建分群,"New segment"
plus,plus
编辑分群,"Edit segment"
edit,edit
保存分群,"Save segment"
save,save
加载活动列表失败：%{1},"Failed to load campaign list: %{1}"
加载促销活动表单失败：%{1},"Failed to load promotion form: %{1}"
促销活动不存在,"Promo campaign not found"
促销活动保存成功,"Promotion saved successfully"
保存促销活动失败：%{1},"Failed to save promotion: %{1}"
万能促销活动,"Universal promotion activity"
circle,circle
万能促销活动管理,"Universal promotion campaign management"
万能促销活动列表,"Universal promotion campaign list"
查看万能促销活动列表,"View universal promotion campaign list"
添加万能促销活动,"Add universal promotion campaign"
打开万能促销活动新建表单,"Open new universal promotion campaign form"
编辑万能促销活动,"Edit universal promo campaign"
保存万能促销活动,"Save universal promotion campaign"
加载规则列表失败：%{1},"Failed to load rule list: %{1}"
加载规则列表失败,"Load rule list failed"
规则不存在,"Rule not found"
加载规则表单失败：%{1},"Failed to load rule form: %{1}"
规则名称和有效类型不能为空,"Rule name and valid type cannot be empty"
规则状态无效,"Rule status is invalid"
规则保存成功,"Rule saved successfully"
保存规则失败：%{1},"Failed to save rule: %{1}"
规则ID不能为空,"Rule ID is required"
规则已删除,"Rule deleted"
删除规则失败：%{1},"Failed to delete rule: %{1}"
