"无效的工作模式: %{mode}，有效值为: %{valid} (detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取)","无效的工作模式: %{mode}，有效值为: %{valid} (detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取)"
"无效的级别: %{level}，有效值为: %{valid}","Invalid level: %{level}, valid values: %{valid}"
"无效的润色风格: %{style}，有效值为: %{valid}","Invalid rewrite style: %{style}, valid values: %{valid}"
"工作模式（detect=检测, desensitize=脱敏, mark=标记, detect_mark=检测+标记, rewrite=润色, extract=提取）","Working mode (detect=detection, desensitize=desensitization, mark=marking, detect_mark=detection+marking, rewrite=rewriting, extract=extraction)"
"脱敏/检测级别（high=高级, standard=标准, low=低级）","Desensitization/Detection Level (high=Advanced, standard=Standard, low=Low)"
"润色风格（仅在mode=rewrite时有效，natural=自然, formal=正式, casual=轻松, professional=专业, concise=简洁）","Polishing style (only valid when mode=rewrite, natural=natural, formal=formal, casual=casual, professional=professional, concise=concise)"
模块配置,"Module configuration"
保存配置,"Save Configuration"
敏感内容检测,"Sensitive Content Detection"
开始检测,"Start detecting"
脱敏记录,"Desensitization Record"
脱敏方法,"Desensitization Method"
全部,All
正则脱敏,"Regex masking"
AI脱敏,"AI desensitization"
自定义,Custom
日期范围,"Date range"
至,To
筛选,Filter
脱敏记录列表,"Desensitization Record List"
原内容,"Original Content"
脱敏后,"After Desensitization"
方法,Method
执行时间,"Execution time"
创建时间,"Creation time"
操作,Operation
暂无记录,"No records"
详情功能待实现,"Detail functionality not yet implemented"
AI润色,"AI polish"
输入内容,"Enter content"
待润色内容,"Content to polish"
AI模型,"AI model"
润色风格,"Polishing style"
选项,Options
保持原有格式,"Keep Original Format"
开始润色,"Start polishing"
润色结果,"Polishing result"
请输入需要脱敏并润色的内容...,"Please enter the content to be desensitized and polished..."
使用默认模型,"Use default model"
请输入内容,"Enter content"
AI正在润色中，请稍候...,"AI is being polished, please wait..."
润色完成,"Polishing completed"
润色后,Polished
润色失败,"Polishing failed"
脱敏规则管理,"Desensitization Rule Management"
数据脱敏,"Data masking"
脱敏规则,"Desensitization Rule"
添加规则,"Add Rule"
脱敏规则列表,"Desensitization Rule List"
规则名称,"Rule Name"
规则类型,"Rule Type"
匹配模式,"Match Mode"
替换内容,"Replace content"
优先级,Priority
状态,Status
启用,Enable
禁用,Disable
暂无规则数据,"No rule data"
添加脱敏规则,"Add Masking Rule"
匹配模式（正则表达式）,"Match Mode (Regex)"
规则描述,"Rule Description"
启用规则,"Enable rule"
取消,Cancel
保存规则,"Save rule"
测试规则,"Test Rules"
测试内容,"Test Content"
关闭,Close
执行测试,"Run tests"
请选择,"Please select"
邮箱,Email
手机号,"Phone number"
身份证号,"ID number"
银行卡号,"Bank Card Number"
信用卡号,"Credit Card Number"
姓名,"Full Name"
"例如: /(\d{3})\d{4}(\d{4})/","For example: /(\d{3})\d{4}(\d{4})/"
使用正则表达式匹配敏感信息,"Use regular expressions to match sensitive information"
"例如: $1****$2","For example: $1****$2"
"使用$1, $2等占位符保留部分内容","Preserve partial content using placeholders like $1, $2, etc."
数值越大，优先级越高,"The larger the value, the higher the priority"
请输入要测试的内容,"Please enter the content to test"
编辑脱敏规则,"Edit Masking Rule"
加载规则失败,"Failed to load rule"
保存成功,"Saved successfully"
保存失败,"Save Failed"
确定要删除这条规则吗？,"Are you sure you want to delete this rule?"
删除成功,"Deletion successful"
删除失败,"Deletion failed"
操作失败,"Operation failed"
请输入测试内容,"Please enter the test content"
测试成功,"Test Passed"
结果,Results
测试失败,"Test Failed"
未知错误,"Unknown error"
脱敏测试,"Desensitization Test"
测试输入,"Test Input"
选择规则,"Select Rule"
测试结果,"Test Results"
请输入需要测试的内容，例如：我的邮箱是test@example.com，电话13812345678,"Please enter the content to test, e.g., My email is test@example.com, phone 13812345678"
正在测试...,Testing...
测试完成,"Test Completed"
