"HelpPay 购物车/结账/商品帮我付槽默认注入失败：%{1}","تعذر إدراج فتحات ادفع نيابة في السلة/الدفع/المنتج: %{1}"
分享链接无效,"رابط المشاركة غير صالح"
朋友帮你选好了,"اختار صديق الخيارات لك"
帮我付链接无效,"رابط الدفع نيابة غير صالح"
帮他人付款,"ادفع عن شخص آخر"
暂无可用支付方式。,"لا توجد طرق دفع متاحة."
付款账单地址,"عنوان الفوترة"
选择账单地址,"اختر عنوان الفوترة"
快捷购买链接已过期,"انتهت صلاحية رابط اشترِ الآن"
快捷购买链接无效,"رابط اشترِ الآن غير صالح"
链接已过期,"انتهت صلاحية الرابط"
链接不可用,"الرابط غير متاح"
该快捷购买链接已过期。请回到商品页或订单重新生成链接。,"انتهت صلاحية رابط اشترِ الآن. ارجع لصفحة المنتج أو الطلب لإنشاء رابط جديد."
该分享或代付链接已过期、撤销或无效。,"انتهت صلاحية رابط المشاركة أو الدفع نيابة أو أُلغي أو أصبح غير صالح."
快捷购买,"اشترِ الآن"
跨设备支付,"ادفع على جهاز آخر"
复制链接或二维码，在另一台设备上打开并完成支付。,"انسخ الرابط أو رمز QR وافتحه على جهاز آخر لإكمال الدفع."
找朋友代付,"اطلب من صديق الدفع"
分享给朋友,"مشاركة مع الأصدقاء"
分享给朋友（帮选规格）,"مشاركة مع الأصدقاء (المساعدة في اختيار الخيارات)"
这与「帮我付」不同：朋友打开分享链接后，规格会进入朋友自己的购物车，由朋友自己填写地址、自己下单付款，订单归朋友。,"بخلاف الدفع نيابة: عند فتح الصديق للرابط تدخل الخيارات سلته، يدخل عنوانه ويقدّم الطلب ويملكه."
同样支持复制链接或复制二维码图片分享。,"يمكنك أيضًا نسخ الرابط أو صورة QR للمشاركة."
帮我付隐私与地址,"خصوصية وعنوان الدفع نيابة"
为保护隐私，帮付订单在店面（含你自己的订单详情、待付页、成功页与代付页）均不展示收货地址详情。履约地址仅后台授权人员可见。,"للخصوصية لا تعرض طلبات الدفع نيابة عنوان الشحن في الواجهة (بما فيها تفاصيل طلبك وصفحات غير المدفوع والنجاح والمُسدِّد). عنوان التنفيذ يظهر للموظفين المصرّح لهم فقط."
卡支付时，代付人填写的是自己的「付款账单地址」，不会写回你的收货地址。,"عند الدفع بالبطاقة يدخل المُسدِّد عنوان فوترته. لن يستبدل عنوان شحنك."
代付人如何付款,"كيف يدفع المُسدِّد"
打开朋友发来的链接或扫描二维码。,"افتح رابط صديقك أو امسح رمز QR."
查看订单摘要，选择物流方式（不展示收货地址）。,"راجع ملخص الطلب واختر الشحن (العنوان مخفي)."
选择支付方式；如需卡支付，填写自己的付款账单地址。,"اختر طريقة الدفع؛ للبطاقة أدخل عنوان فوترتك."
完成支付后，提示为他人付款成功。,"بعد الدفع ستظهر رسالة نجاح بأنك دفعت عن شخص آخر."
代付不可使用优惠券或积分。,"لا يمكن استخدام القسائم ونقاط الولاء مع الدفع نيابة."
帮我付是什么,"ما هو الدفع نيابة"
帮我付让你在购物车或结账页生成付款请求，请朋友代付。订单始终归你；朋友只负责付款，不会把订单变成他自己的。,"يتيح لك الدفع نيابة إنشاء طلب دفع من السلة أو الدفع ليدفع صديق. يبقى الطلب لك؛ الصديق يدفع فقط ولا يملك الطلب."
如何出链,"كيف تنشئ رابطًا"
填写并确认收货地址、勾选已阅读规则后，可复制链接地址或复制二维码图片发给对方。,"بعد تأكيد عنوان الشحن وقبول القواعد انسخ الرابط أو صورة QR للإرسال."
不能做什么,"ما لا يمكنك فعله"
代付人不能使用优惠券/积分，不能修改收货地址，也不能把代付当成自己的购物车。,"لا يمكن للمُسدِّد استخدام القسائم أو النقاط أو تغيير عنوان الشحن أو معاملة الدفع نيابة كسلته."
帮我付,"ادفع نيابة"
付款说明,"دليل الدفع"
隐私说明,"ملاحظات الخصوصية"
应付金额,"المبلغ المستحق"
收货地址已由发起人确认。,"أكّد مقدّم الطلب عنوان الشحن."
物流方式,"طريقة الشحن"
请选择物流（仅影响运费，不展示收货地址）。,"اختر الشحن (يؤثر على تكلفة الشحن فقط؛ العنوان مخفي)."
配送方式,"طريقة التوصيل"
标准配送,"شحن قياسي"
加急配送,"شحن سريع"
支付方式,"طريقة الدفع"
请选择适合您的支付方式完成付款。,"اختر طريقة الدفع المناسبة لإكمال الدفع."
选择支付方式,"اختر طريقة الدفع"
暂无可用支付方式,"لا توجد طرق دفع متاحة"
卡支付时填写付款人自己的账单地址，不会写回收货地址。,"للدفع بالبطاقة أدخل عنوان فوترة المُسدِّد. لن يُستبدل عنوان الشحن."
账单地址组件暂不可用，请稍后重试。,"عنوان الفوترة غير متاح مؤقتًا. حاول لاحقًا."
确认付款,"تأكيد الدفع"
返回首页,"العودة للرئيسية"
本人快捷购买,"اشترِ الآن لنفسك"
订单归属你本人。请在此页完成支付。,"هذا الطلب لك. أكمل الدفع في هذه الصفحة."
"换设备支付（链接 / 二维码）","ادفع على جهاز آخر (رابط / QR)"
立即支付,"ادفع الآن"
付款链接,"رابط الدفع"
扫码付款,"امسح للدفع"
快捷购买付款二维码,"رمز QR لدفع اشترِ الآن"
复制后在浏览器打开，用你自己的账号完成支付,"بعد النسخ افتح في المتصفح وادفع بحسابك"
已复制，请自行打开链接付款,"تم النسخ. افتح الرابط بنفسك للدفع"
扫码后在本机打开付款页，完成你自己的支付,"امسح لفتح صفحة الدفع على هذا الجهاز وادفع بنفسك"
已复制，可粘贴到本机浏览器打开付款,"تم النسخ. الصق في متصفح هذا الجهاز للدفع"
分享给付款人,"مشاركة مع المُسدِّد"
复制链接或扫码分享当前规格,"انسخ الرابط أو امسح لمشاركة الخيارات المحددة"
复制后，粘贴发给朋友即可打开这份规格,"بعد النسخ الصق وأرسل لصديق لفتح هذه الخيارات"
已复制，可以分发给朋友,"تم النسخ. يمكنك مشاركته مع الأصدقاء"
复制后，可直接把图片粘贴到聊天里发送,"بعد النسخ الصق الصورة في الدردشة للإرسال"
已复制，可直接粘贴图片到聊天里发送,"تم النسخ. الصق الصورة في الدردشة للإرسال"
链接分享,"مشاركة الرابط"
扫码分享,"مشاركة عبر QR"
分享二维码,"مشاركة رمز QR"
链接地址,"عنوان الرابط"
已复制,"تم النسخ"
