"HelpPay 购物车/结账/商品帮我付槽默认注入失败：%{1}","কার্ট/চেকআউট/পণ্যে আমার হয়ে পেমেন্ট স্লট ইনজেক্ট ব্যর্থ: %{1}"
分享链接无效,"শেয়ার লিঙ্ক অবৈধ"
朋友帮你选好了,"একজন বন্ধু আপনার জন্য বিকল্প বেছে নিয়েছেন"
帮我付链接无效,"আমার হয়ে পেমেন্ট লিঙ্ক অবৈধ"
帮他人付款,"অন্যের হয়ে পেমেন্ট"
暂无可用支付方式。,"কোনো পেমেন্ট পদ্ধতি পাওয়া যায়নি।"
付款账单地址,"বিলিং ঠিকানা"
选择账单地址,"বিলিং ঠিকানা বেছে নিন"
快捷购买链接已过期,"এখনই কিনুন লিঙ্কের মেয়াদ শেষ"
快捷购买链接无效,"এখনই কিনুন লিঙ্ক অবৈধ"
链接已过期,"লিঙ্কের মেয়াদ শেষ"
链接不可用,"লিঙ্ক অনুপলব্ধ"
该快捷购买链接已过期。请回到商品页或订单重新生成链接。,"এই এখনই কিনুন লিঙ্কের মেয়াদ শেষ। নতুন লিঙ্ক তৈরি করতে পণ্য বা অর্ডার পৃষ্ঠায় ফিরে যান।"
该分享或代付链接已过期、撤销或无效。,"এই শেয়ার বা আমার হয়ে পেমেন্ট লিঙ্কের মেয়াদ শেষ, বাতিল বা অবৈধ।"
快捷购买,"এখনই কিনুন"
跨设备支付,"অন্য ডিভাইসে পেমেন্ট"
复制链接或二维码，在另一台设备上打开并完成支付。,"লিঙ্ক বা QR কপি করুন, অন্য ডিভাইসে খুলে পেমেন্ট শেষ করুন।"
当前货币暂不可用,当前货币暂不可用
找朋友代付,"বন্ধুকে পেমেন্ট করতে বলুন"
分享给朋友,"বন্ধুদের সাথে শেয়ার"
分享给朋友（帮选规格）,"বন্ধুদের সাথে শেয়ার করুন (বিকল্প বেছে নিতে সাহায্য)"
这与「帮我付」不同：朋友打开分享链接后，规格会进入朋友自己的购物车，由朋友自己填写地址、自己下单付款，订单归朋友。,"আমার হয়ে পেমেন্ট থেকে আলাদা: লিঙ্ক খুললে বিকল্প বন্ধুর কার্টে যায়। তিনি ঠিকানা দেন, অর্ডার করেন এবং মালিক হন।"
同样支持复制链接或复制二维码图片分享。,"শেয়ার করতে লিঙ্ক বা QR ছবিও কপি করতে পারেন।"
帮我付隐私与地址,"আমার হয়ে পেমেন্টের গোপনীয়তা ও ঠিকানা"
为保护隐私，帮付订单在店面（含你自己的订单详情、待付页、成功页与代付页）均不展示收货地址详情。履约地址仅后台授权人员可见。,"গোপনীয়তার জন্য, আমার হয়ে পেমেন্ট অর্ডারে দোকানে ডেলিভারি ঠিকানার বিবরণ দেখানো হয় না (বিস্তারিত, বকেয়া, সফল ও পেয়ার পৃষ্ঠা সহ)। পূরণের ঠিকানা শুধু অনুমোদিত কর্মী দেখতে পান।"
卡支付时，代付人填写的是自己的「付款账单地址」，不会写回你的收货地址。,"কার্ডে পেয়ার নিজের বিলিং ঠিকানা দেন। এটি আপনার ডেলিভারি ঠিকানা প্রতিস্থাপন করে না।"
代付人如何付款,"পেয়ার কীভাবে পেমেন্ট করেন"
打开朋友发来的链接或扫描二维码。,"বন্ধুর লিঙ্ক খুলুন বা QR স্ক্যান করুন।"
查看订单摘要，选择物流方式（不展示收货地址）。,"সারাংশ দেখুন এবং শিপিং বেছে নিন (ঠিকানা লুকানো)।"
选择支付方式；如需卡支付，填写自己的付款账单地址。,"পেমেন্ট পদ্ধতি বেছে নিন; কার্ড হলে নিজের বিলিং ঠিকানা দিন।"
完成支付后，提示为他人付款成功。,"পেমেন্টের পর দেখাবে আপনি অন্যের হয়ে পেমেন্ট করেছেন।"
代付不可使用优惠券或积分。,"আমার হয়ে পেমেন্টে কুপন ও পয়েন্ট ব্যবহার করা যায় না।"
帮我付是什么,"আমার হয়ে পেমেন্ট কী"
帮我付让你在购物车或结账页生成付款请求，请朋友代付。订单始终归你；朋友只负责付款，不会把订单变成他自己的。,"আমার হয়ে পেমেন্ট কার্ট বা চেকআউট থেকে পেমেন্ট অনুরোধ তৈরি করে যাতে বন্ধু পেমেন্ট করেন। অর্ডার আপনারই থাকে; বন্ধু শুধু পেমেন্ট করেন, মালিকানা নেন না।"
如何出链,"কীভাবে লিঙ্ক তৈরি করবেন"
