搜索AI模型...,搜索AI模型...
适配器ID不能为空,适配器ID不能为空
适配器不存在,适配器不存在
"成功扫描 %{count} 个适配器","成功扫描 %{count} 个适配器"
"适配器扫描失败: %{error}","适配器扫描失败: %{error}"
获取成功,获取成功
获取模型列表失败,获取模型列表失败
仅支持POST请求,仅支持POST请求
请输入提示词,请输入提示词
生成成功,生成成功
请选择模型,请选择模型
连接测试成功,连接测试成功
"连接测试失败: %{msg}","连接测试失败: %{msg}"
加载API密钥列表失败：%{1},加载API密钥列表失败：%{1}
无效的请求方法,无效的请求方法
API密钥不存在,API密钥不存在
API密钥已审核通过,API密钥已审核通过
API密钥已拒绝,API密钥已拒绝
操作失败：%{1},操作失败：%{1}
配额设置成功,配额设置成功
设置失败：%{1},设置失败：%{1}
API密钥已删除,API密钥已删除
删除失败：%{1},删除失败：%{1}
搜索用户失败：%{1},搜索用户失败：%{1}
搜索租户失败：%{1},搜索租户失败：%{1}
密钥名称不能为空,密钥名称不能为空
用户ID不能为空,用户ID不能为空
租户ID不能为空,租户ID不能为空
API密钥保存成功,API密钥保存成功
保存失败：%{1},保存失败：%{1}
加载助手列表失败：%{1},加载助手列表失败：%{1}
助手不存在,助手不存在
加载失败：%{1},加载失败：%{1}
模型代码不能为空,模型代码不能为空
搜索适配器失败：%{1},搜索适配器失败：%{1}
适配器代码不能为空,适配器代码不能为空
适配器类不存在：%{1},适配器类不存在：%{1}
获取失败：%{1},获取失败：%{1}
搜索失败：%{1},搜索失败：%{1}
账户余额不足，无法创建助手。当前余额：¥%{1}，最低要求：¥%{2}。请先充值！,账户余额不足，无法创建助手。当前余额：¥%{1}，最低要求：¥%{2}。请先充值！
保存成功,保存成功
助手已删除,助手已删除
已激活,已激活
已停用,已停用
默认配置初始化成功,默认配置初始化成功
默认配置已存在，无需初始化,默认配置已存在，无需初始化
"初始化失败: %{error}","初始化失败: %{error}"
默认模型缓存清除成功,默认模型缓存清除成功
"清除缓存失败: %{error}","清除缓存失败: %{error}"
加载报表失败：%{1},加载报表失败：%{1}
导出功能开发中...,导出功能开发中...
生产力工具,生产力工具
创意写作,创意写作
编程开发,编程开发
商业分析,商业分析
教育培训,教育培训
娱乐休闲,娱乐休闲
其他,其他
助手ID不能为空,助手ID不能为空
助手不存在或不可用,助手不存在或不可用
助手不存在或不可租用,助手不存在或不可租用
您已经租用了此助手，有效期至：,您已经租用了此助手，有效期至：
租用成功！,租用成功！
租用失败：,租用失败：
模型ID不能为空,模型ID不能为空
模型不存在,模型不存在
"成功收集 %{1} 个模型","成功收集 %{1} 个模型"
"模型收集失败: %{1}","模型收集失败: %{1}"
模型代码或ID不能为空,模型代码或ID不能为空
供应商连通性测试未通过，无法激活。请先进行连通性测试。,供应商连通性测试未通过，无法激活。请先进行连通性测试。
自配置连通性测试未通过，无法激活。请先进行自配置测试。,自配置连通性测试未通过，无法激活。请先进行自配置测试。
状态更新成功,状态更新成功
"状态更新失败: %{msg}","状态更新失败: %{msg}"
默认模型设置成功,默认模型设置成功
"设置失败: %{msg}","设置失败: %{msg}"
"无法识别模型 %{code} 的供应商，请检查模型代码是否正确","无法识别模型 %{code} 的供应商，请检查模型代码是否正确"
自配置测试成功,自配置测试成功
供应商账户测试成功,供应商账户测试成功
"没有可用的 %{provider} 供应商账户","没有可用的 %{provider} 供应商账户"
连接测试完成（至少一项成功）,连接测试完成（至少一项成功）
连接测试完成（均失败）,连接测试完成（均失败）
"测试失败: %{msg}","测试失败: %{msg}"
模型自配置不完整,模型自配置不完整
无法创建供应商实例,无法创建供应商实例
API响应为空,API响应为空
模型没有自配置密钥,模型没有自配置密钥
"自配置测试失败: %{msg}","自配置测试失败: %{msg}"
模型不存在或模型代码无效,模型不存在或模型代码无效
"模型未配置API密钥，且无可用供应商账户，无法激活。请先在供应商账户中添加可用账号或在配置中填写 api_key。","模型未配置API密钥，且无可用供应商账户，无法激活。请先在供应商账户中添加可用账号或在配置中填写 api_key。"
模型连通性测试未通过，无法激活。请先进行连通性测试。,模型连通性测试未通过，无法激活。请先进行连通性测试。
模型保存成功,模型保存成功
"模型保存失败: %{1}","模型保存失败: %{1}"
原始模型不存在,原始模型不存在
请输入新模型名称,请输入新模型名称
请输入新模型代码,请输入新模型代码
模型代码已存在，请使用其他代码,模型代码已存在，请使用其他代码
模型复制成功,模型复制成功
"模型复制失败: %{1}","模型复制失败: %{1}"
原始模型不能删除，只能删除复制的模型,原始模型不能删除，只能删除复制的模型
模型删除成功,模型删除成功
"模型删除失败: %{1}","模型删除失败: %{1}"
"Missing model id","Missing model id"
"Delete failed for unknown reason","Delete failed for unknown reason"
请选择要激活的模型,请选择要激活的模型
"成功激活 %{1} 个模型","成功激活 %{1} 个模型"
批量激活失败：%{1},批量激活失败：%{1}
请选择要禁用的模型,请选择要禁用的模型
"成功禁用 %{1} 个模型","成功禁用 %{1} 个模型"
批量禁用失败：%{1},批量禁用失败：%{1}
请选择要删除的模型,请选择要删除的模型
"成功删除 %{1} 个复制模型","成功删除 %{1} 个复制模型"
"跳过 %{1} 个原始模型（原始模型不可删除）","跳过 %{1} 个原始模型（原始模型不可删除）"
没有模型被删除,没有模型被删除
批量删除失败：%{1},批量删除失败：%{1}
"成功清空模型表，共删除 %{1} 个模型","成功清空模型表，共删除 %{1} 个模型"
清空失败：%{1},清空失败：%{1}
请选择要测试的模型,请选择要测试的模型
无法确定模型的供应商,无法确定模型的供应商
没有可用的%{provider}供应商账户,没有可用的%{provider}供应商账户
测试成功,测试成功
AI供应商账户管理,AI供应商账户管理
添加供应商账户,添加供应商账户
账户ID无效,账户ID无效
账户不存在,账户不存在
编辑供应商账户,编辑供应商账户
请选择供应商,请选择供应商
请输入账户名称,请输入账户名称
请输入API密钥,请输入API密钥
账户保存成功,账户保存成功
该账户有使用记录，无法删除,该账户有使用记录，无法删除
账户删除成功,账户删除成功
请先测试连接成功后再激活账户,请先测试连接成功后再激活账户
账户已激活,账户已激活
账户已停用,账户已停用
使用记录,使用记录
待测试,待测试
连接正常,连接正常
连接失败,连接失败
测试中,测试中
未知状态,未知状态
账户ID不能为空,账户ID不能为空
"获取账户数据失败: %{msg}","获取账户数据失败: %{msg}"
评分必须在1-5之间,评分必须在1-5之间
您还未租用此助手，无法评分,您还未租用此助手，无法评分
评分已更新,评分已更新
评分提交成功，待审核后显示,评分提交成功，待审核后显示
提交评分失败：,提交评分失败：
评分ID不能为空,评分ID不能为空
评分不存在,评分不存在
点赞成功,点赞成功
点赞失败,点赞失败
获取充值信息失败：%{1},获取充值信息失败：%{1}
充值金额必须大于0,充值金额必须大于0
最小充值金额为1元,最小充值金额为1元
充值订单创建成功,充值订单创建成功
