无权限访问重定向前,"Нет прав для доступа к экрану перенаправления."
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,"Перед выполнением перенаправления, когда у пользователя нет прав доступа, срабатывает данное действие. Оно позволяет другим модулям выполнять собственные действия перед перенаправлением, такие как запись в журнал, отправка уведомлений и т.д."
角色检查,"Проверка персонажей."
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,"Вызывается при проверке прав доступа пользователя и позволяет другим модулям настраивать логику проверки ролей."
"角色 ACL 条目加载后","После загрузки записей ACL для ролей."
"角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。","Строки ACL, определяющие допустимые роли, загружаются из базы данных и запускают определенные действия, а наблюдатели могут записывать новые записи (например, для согласования прав доступа на уровне отдельных станций). Система управления доступом (ACL) не учитывает структуру веб-сайта."
"超管 ACL 旁路检查","Проверка обхода ACL для суперпользователя."
"role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。","`role_id=1: срабатывает перед обходом (bypass); наблюдатель может установить значение `allow_bypass` в `false`, чтобы отключить обход.`"
角色权限保存前,"Перед сохранением прав доступа."
"角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。","Перед сохранением назначения прав доступа (ACL) срабатывает триггер; наблюдатель может отклонить несанкционированные идентификаторы источников (source_ids) (разрешенные/сообщения)."
角色列表过滤,"Фильтрация списка персонажей."
"角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。","Список ролей/триггер, срабатывающий перед созданием; наблюдатель может ограничить набор управляемых ролей по `website_id`."
"ACL 分配树行加载后","После загрузки конфигурации дерева ACL."
"权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。","После загрузки дерева прав/строк меток срабатывает триггер; наблюдатель может изменять строки (rows), чтобы ограничить доступные ресурсы."
所有标签,"Все метки."
搜索标签,"Метки для поиска."
id属性不能为空,"Атрибут ""id"" не может быть пустым."
未找到匹配标签,"Не найдено соответствующей метки."
移除,Удалить.
acl标签缺少source属性,"Отсутствует атрибут ""source"" в теге ACL."
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","На этой странице некоторые ресурсы требуют определенных прав доступа, но у вас в данный момент их нет: не удается получить доступ к ресурсу %{1}. Пожалуйста, свяжитесь с администратором, если вам это необходимо."
使用示例：,"Примеры использования:"
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","Идентификаторы ресурсов и идентификаторы родительских ресурсов не могут быть одинаковыми. Пожалуйста, проверьте! Идентификатор ресурса: %{1}, идентификатор родительского ресурса: %{2}."
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","Ошибка конфигурации: ACL на уровне класса %{1} не привязан к ACL меню. Убедитесь, что атрибут source_id соответствует узлу menu.xml, или атрибут parent_source указывает на узел меню с типом type=menus. Текущее значение parent_source: %{2}."
(空),(Пусто)
"【ACL 重复检测】模块: %{1}","[Обнаружение дубликатов ACL] Модуль: %{1}"
"发现以下重复的 source_id：","Обнаружены следующие повторяющиеся значения source_id:"
"... 已省略更多重复（共 %{1} 个 source_id）","... Пропущено больше повторяющихся записей (всего %{1} source_id)."
"重复的 source_id: %{1}","Повторяющийся идентификатор источника: %{1}"
首次出现:,"Первое появление:"
"- 类: %{1}","Класс: %{1}"
"- 方法: %{1}","Метод: %{1}"
"- 路由: %{1}","Маршрут: %{1}"
"- 路由器: %{1}","Маршрутизатор: %{1}"
"重复出现 (%{1} 次):","Повторяется (%{1} раз):"
"- 索引 #%{1}:","Индекс № %{1}:"
"类: %{1}","Класс: %{1}"
"方法: %{1}","Метод: %{1}"
"路由: %{1}","Маршрут: %{1}"
"路由器: %{1}","Маршрутизатор: %{1}"
"... 已省略 %{1} 条","... Пропущено %{1} элементов."
"路由系统会为同一 action 生成多个 URL 变体，属正常现象，ACL 已自动去重。","В системе маршрутизации нормальной практикой является генерация нескольких вариантов URL для одного и того же действия, и ACL автоматически удаляет дубликаты."
"【ACL 重复检测】模块: %{1} (方法级别权限)","【Модуль проверки на дубликаты ACL】: %{1} (права доступа на уровне метода)."
"ACL catalog: framework Query compile refreshed before resource collection.","ACL catalog: framework Query compile refreshed before resource collection."
请先登录,"Пожалуйста, войдите."
用户已被禁用,"Пользователь заблокирован."
"应用没有任何授权 scope","Приложению не предоставлены необходимые разрешения."
应用无权进行该操作,"Приложению нет прав для выполнения этой операции."
用户不存在或已被删除,"Пользователь не существует или был удален."
用户没有分配角色,"У пользователя не назначена роль."
你没有任何权限！请联系管理员！,"У вас нет прав доступа! Пожалуйста, свяжитесь с администратором!"
"你无权进行该操作！你不具备：%{1} 操作权限！","У вас нет прав для выполнения этой операции! У вас отсутствуют: %{1} права доступа!"
你无权进行该操作,"У вас нет прав для выполнения этой операции."
"你无权进行该操作！你不具备：%{1} 路由：%{2} 操作权限！已将你带到你可访问的页面！","У вас нет прав для выполнения этой операции! У вас отсутствуют: %{1} права доступа для маршрута: %{2}. Вы были перенаправлены на страницу, к которой у вас есть доступ!"
你无权进行该操作！已将你带到你可访问的后台页面：%{1},"У вас нет прав для выполнения этой операции! Вы были перенаправлены на страницу административной панели, доступную для вас: %{1}"
"超级管理员已拥有对象 Scope 授权，无需追加。","Суперпользователь уже имеет объект Scope, дополнительное назначение не требуется."
"已为超级管理员（role_id=1）追加 %{1} 条对象 Scope 授权。","Для суперпользователя (role_id=1) добавлено %{1} объект(а) Scope."
"为超级管理员授予对象 Scope 授权时出错：%{1}","Ошибка при назначении объект(а) Scope суперпользователю: %{1}"
"超级管理员已拥有全部 ACL 权限，无需追加。","Суперпользователь уже обладает всеми правами доступа (ACL), и дополнительные привилегии не требуются."
"已为超级管理员（role_id=1）授予 %{1} 条新权限。","Для суперпользователя (role_id=1) предоставлены %{1} новых прав доступа."
为超级管理员授予权限时出错：%{1},"Ошибка при предоставлении прав суперпользователю: %{1}"
管理权限,"Права администратора."
shield,shield
模块资源,"Модульные ресурсы."
puzzle,puzzle
标签资源,"Ресурсные метки."
search,search
加载IP白名单失败：%{1},"Не удалось загрузить список разрешенных IP-адресов: %{1}"
IP地址不能为空,"IP-адрес не может быть пустым."
IP地址格式不正确,"Неверный формат IP-адреса."
该IP地址已存在,"Этот IP-адрес уже используется."
添加成功,"Успешно добавлено."
添加失败,"Не удалось добавить."
添加失败：%{1},"Ошибка добавления: %{1}"
记录不存在,"Записи не существует."
该IP地址已被其他记录使用,"Этот IP-адрес уже используется другими записями."
更新成功,"Обновление успешно завершено."
更新失败,"Обновление не удалось."
更新失败：%{1},"Не удалось обновить: %{1}"
无效的请求方法,无效的请求方法
无效的ID,"Недействительный идентификатор."
删除成功,删除成功
删除失败,删除失败
删除失败：%{1},删除失败：%{1}
状态更新成功,"Обновление статуса выполнено успешно."
状态更新失败,"Не удалось обновить статус."
状态更新失败：%{1},"Не удалось обновить статус: %{1}"
IP白名单,"Белый список IP-адресов."
check,check
查看IP白名单,"Просмотр списка разрешенных IP-адресов."
添加IP白名单,"Добавить IP-адрес в список разрешенных."
plus,plus
编辑IP白名单,"Редактировать список разрешенных IP-адресов."
edit,edit
删除IP白名单,"Удаление из списка разрешенных IP-адресов."
trash,trash
切换IP白名单状态,"Изменение статуса IP-адреса в белом списке."
switch,switch
登录失败,"Не удалось войти в систему."
登录成功,"Успешная авторизация."
权限拒绝,"Отказ в доступе."
ACL违规,"Нарушение правил доступа."
可疑活动,"Подозрительная деятельность."
加载安全日志失败：%{1},"Не удалось загрузить журнал безопасности: %{1}"
安全日志,"Журнал безопасности."
warning,warning
查看安全日志,"Просмотр журнала безопасности."
标签词非法,"Недопустимые ключевые слова."
标签元数据已保存,"Метаданные тегов сохранены."
标签仍被资源或角色订阅引用，不能删除元数据,"Метки все еще используются и ссылаются на ресурсы или персонажей, их нельзя удалять, так как это приведет к повреждению метаданных."
标签元数据已删除,"Метаданные тегов удалены."
ACL标签管理,"Управление тегами ACL (Access Control List)."
tag,tag
"管理 ACL source_id 标签元数据","Управление метаданными тегов ACL source_id."
标签列表,"Список тегов."
保存标签元数据,"Сохранить метаданные тегов."
删除标签元数据,"Удалить метаданные тегов."
角色名不能为空！,"Имя персонажа не может быть пустым!"
角色已存在！,"Персонаж уже существует!"
角色创建成功！,"Создание персонажа успешно завершено!"
角色创建失败！,"Не удалось создать персонажа!"
角色已不存在！,"Роль больше не существует!"
删除成功！,删除成功！
仅允许超管分配权限！,"Только суперпользователи могут назначать права доступа!"
角色ID不存在！,"Идентификатор персонажа не существует!"
权限分配被站级授权包拒绝,"Разрешения были отклонены пакетом авторизации на уровне сайта."
权限分配失败！,"Не удалось распределить права доступа!"
权限分配成功，所有缓存已刷新！,"Права доступа успешно предоставлены, все кэши обновлены!"
权限已保存，但所有缓存刷新失败：%{1},"Права доступа сохранены, но произошла ошибка при обновлении кеша: %{1}"
搜索成功,"Поиск выполнен успешно."
访问控制权限管理,"Управление правами доступа."
角色列表,"Список персонажей."
角色添加,"Добавление персонажа."
角色编辑,"Редактирование персонажа."
角色删除,"Удаление персонажа."
权限分配,"Распределение прав доступа."
角色权限分配,"Назначение прав доступа для ролей."
角色搜索,"Поиск персонажей."
搜索角色列表,"Поиск списка персонажей."
不能删除超级管理员！,"Нельзя удалять суперпользователя!"
添加IP,"Добавить IP-адрес."
关键词,"Ключевые слова."
搜索,Поиск
重置,Сброс.
IP白名单列表,"Список разрешенных IP-адресов."
ID,ID
IP地址,IP-адрес.
描述,Описание.
状态,状态
创建时间,创建时间
操作,操作
编辑,编辑
删除,删除
显示,Отображение.
到,К
共,Вместе.
条记录,Запись.
上一页,上一页
下一页,下一页
暂无IP白名单记录,"В настоящее время нет записей в списке разрешенных IP-адресов."
支持单个IP或CIDR格式的IP范围,"Поддерживается указание отдельных IP-адресов или диапазонов IP-адресов в формате CIDR."
启用,启用
取消,取消
保存,保存
搜索IP地址或描述,"Поиск по IP-адресу или описанию."
禁用,禁用
"例如：192.168.1.1 或 192.168.1.0/24","Пример: 192.168.1.1 или 192.168.1.0/24"
编辑ID：,"Идентификатор редакции:"
操作失败,"Операция не удалась."
确定要切换状态吗？,"Вы уверены, что хотите изменить состояние?"
确定要删除这条记录吗？,"Вы уверены, что хотите удалить эту запись?"
事件类型,"Тип события."
全部,全部
日志列表,"Список журналов."
用户ID,"Идентификатор пользователя."
消息,消息
查看详情,查看详情
暂无安全日志记录,"В настоящее время отсутствуют записи в журнале безопасности."
搜索消息或IP地址,"Поиск сообщений или IP-адресов."
查看日志ID：,"Просмотр идентификатора журнала:"
删除角色,"Удалить персонажа."
确定删除角色“%{1}”吗？此操作无法撤销。,"Вы уверены, что хотите удалить роль ""%{1}""? Эта операция необратима."
权限角色,"Роли и права доступа."
建立角色并按实际职责分配权限。,"Создайте роли и назначьте права доступа в соответствии с фактическими обязанностями."
面包屑,"крошки хлеба"
"ACL 权限管理","Управление правами доступа ACL"
角色,Роль
搜索角色,"Поиск роли"
搜索名称或描述,"Поиск по имени или описанию"
清除,Очистить
