系统信息,系统信息
系统,系统
一般系统信息通知,一般系统信息通知
系统警告,系统警告
系统警告通知,系统警告通知
系统告警,系统告警
系统错误告警,系统错误告警
安全告警,安全告警
安全,安全
安全相关告警通知,安全相关告警通知
用户活动,用户活动
用户,用户
用户登录、操作等活动通知,用户登录、操作等活动通知
"菜单 XML 无法解析：模块 %{1}，文件 %{2}。%{3}","菜单 XML 无法解析：模块 %{1}，文件 %{2}。%{3}"
未知解析错误,未知解析错误
跳过格式不正确的菜单配置文件：%{1},跳过格式不正确的菜单配置文件：%{1}
"菜单配置错误：menu元素缺少source属性,文件：%{1}","菜单配置错误：menu元素缺少source属性,文件：%{1}"
"菜单配置错误：menu元素缺少name属性,文件：%{1}","菜单配置错误：menu元素缺少name属性,文件：%{1}"
"菜单配置错误：menu元素缺少title属性,文件：%{1}","菜单配置错误：menu元素缺少title属性,文件：%{1}"
"菜单配置错误：menu元素缺少order属性,文件：%{1}","菜单配置错误：menu元素缺少order属性,文件：%{1}"
后台头部,后台头部
"在后台页面的 <head> 标签内注入内容，允许其他模块在后台页面头部注入额外的 CSS、JavaScript 或其他资源。","在后台页面的 <head> 标签内注入内容，允许其他模块在后台页面头部注入额外的 CSS、JavaScript 或其他资源。"
"AI 使用统计区块","AI 使用统计区块"
"在后台统计/仪表盘等 Tab 面板中展示 AI 使用量统计（今日 tokens、花费等），可由 Weline_Ai 等模块实现。","在后台统计/仪表盘等 Tab 面板中展示 AI 使用量统计（今日 tokens、花费等），可由 Weline_Ai 等模块实现。"
后台页面凭证已失效，请刷新页面后重试。,后台页面凭证已失效，请刷新页面后重试。
当前后台账号无权执行该操作。,当前后台账号无权执行该操作。
信息,信息
成功,成功
警告,警告
错误,错误
紧急,紧急
"Weline UI 图标迁移无法读取 %{1}：%{2}","Weline UI 图标迁移无法读取 %{1}：%{2}"
"无法创建 Weline UI 图标迁移快照目录：%{1}","无法创建 Weline UI 图标迁移快照目录：%{1}"
"无法写入 Weline UI 图标迁移快照：%{1}","无法写入 Weline UI 图标迁移快照：%{1}"
"无法读取 Weline UI 图标迁移快照：%{1}","无法读取 Weline UI 图标迁移快照：%{1}"
"Weline UI 图标迁移快照 JSON 无效：%{1}","Weline UI 图标迁移快照 JSON 无效：%{1}"
"Weline UI 图标迁移快照校验失败：%{1}","Weline UI 图标迁移快照校验失败：%{1}"
"图标迁移目标不是 ORM Model：%{1}","图标迁移目标不是 ORM Model：%{1}"
请先登录,请先登录
用户已被禁用,用户已被禁用
后台安全凭证暂不可用，请稍后刷新页面。,后台安全凭证暂不可用，请稍后刷新页面。
Telegram,电报
"Telegram 渠道测试","Telegram 渠道测试"
"这是一条测试消息，如果您收到了它，说明 Telegram 渠道配置是可用的。","这是一条测试消息，如果您收到了它，说明 Telegram 渠道配置是可用的。"
"Bot Token（建议填在渠道配置）","Bot Token（建议填在渠道配置）"
"Chat ID（建议填在联系人配置）","Chat ID（建议填在联系人配置）"
消息格式,消息格式
"默认 HTML","默认 HTML"
关闭链接预览,关闭链接预览
默认否,默认否
否,否
是,是
钉钉,钉钉
"主题: %{topic}","主题: %{topic}"
钉钉渠道测试,钉钉渠道测试
这是一条测试消息，如果您收到此消息，说明钉钉渠道配置正确。,这是一条测试消息，如果您收到此消息，说明钉钉渠道配置正确。
"Webhook URL","网络钩子 URL"
签名密钥,签名密钥
"加签密钥（SEC 开头）","加签密钥（SEC 开头）"
邮件,邮件
邮件渠道测试,邮件渠道测试
这是一条测试消息，如果您收到此邮件，说明邮件渠道配置正确。,这是一条测试消息，如果您收到此邮件，说明邮件渠道配置正确。
收件邮箱,收件邮箱
发件人（可选）,发件人（可选）
使用默认,使用默认
飞书,飞书
飞书渠道测试,飞书渠道测试
这是一条测试消息，如果您收到此消息，说明飞书渠道配置正确。,这是一条测试消息，如果您收到此消息，说明飞书渠道配置正确。
签名密钥（可选）,签名密钥（可选）
Webhook,网络钩子
"Webhook 渠道测试","Webhook 渠道测试"
"这是一条测试消息，如果您的服务收到此请求，说明 Webhook 渠道配置正确。","这是一条测试消息，如果您的服务收到此请求，说明 Webhook 渠道配置正确。"
"用于生成 X-Signature 头","用于生成 X-Signature 头"
自定义请求头（可选）,自定义请求头（可选）
加载维护模式失败：%{1},加载维护模式失败：%{1}
无效的请求方法,无效的请求方法
维护模式状态已更新,维护模式状态已更新
更新失败：%{1},更新失败：%{1}
IP白名单格式错误：%{1},IP白名单格式错误：%{1}
配置保存成功,配置保存成功
保存配置失败：%{1},保存配置失败：%{1}
系统维护中，请稍后再试,系统维护中，请稍后再试
"维护操作 Provider 不可用","维护操作 Provider 不可用"
自动备份失败：%{1}，维护模式已开启,自动备份失败：%{1}，维护模式已开启
系统维护模式,系统维护模式
settings,设置
查看系统维护模式,查看系统维护模式
切换系统维护模式,切换系统维护模式
switch,转变
配置系统维护模式,配置系统维护模式
加载邮件设置失败：%{1},加载邮件设置失败：%{1}
保存成功,保存成功
保存失败：%{1},保存失败：%{1}
邮件设置,邮件设置
mail,邮件
查看邮件设置,查看邮件设置
保存邮件设置,保存邮件设置
save,节省
加载存储设置失败：%{1},加载存储设置失败：%{1}
存储设置,存储设置
folder,文件夹
查看存储设置,查看存储设置
保存存储设置,保存存储设置
加载基础设置失败：%{1},加载基础设置失败：%{1}
基础设置,基础设置
查看基础设置,查看基础设置
保存基础设置,保存基础设置
保存成功！,保存成功！
加载访问日志失败：%{1},加载访问日志失败：%{1}
访问日志,访问日志
file,文件
查看访问日志,查看访问日志
消息订阅,消息订阅
主题和渠道不能为空,主题和渠道不能为空
参数错误,参数错误
已启用,已启用
已禁用,已禁用
后台通知,后台通知
管理消息订阅,管理消息订阅
我的订阅,我的订阅
bell,钟
查看我的消息订阅,查看我的消息订阅
保存订阅,保存订阅
保存订阅设置,保存订阅设置
切换订阅,切换订阅
circle,圆圈
切换订阅状态,切换订阅状态
迁移诊断,迁移诊断
发布诊断,发布诊断
search,搜索
只读查看迁移克隆与检查点状态,只读查看迁移克隆与检查点状态
只读查看发布环境与当前标记,只读查看发布环境与当前标记
"外观与 Logo","外观与 Logo"
加载配置失败：%{1},加载配置失败：%{1}
后台配置,后台配置
后台配置管理,后台配置管理
查看后台配置,查看后台配置
保存后台配置,保存后台配置
默认联系人,默认联系人
联系人,联系人
联系人名称不能为空,联系人名称不能为空
联系人不存在,联系人不存在
更新成功,更新成功
创建成功,创建成功
保存失败,保存失败
联系人和渠道不能为空,联系人和渠道不能为空
已移除,已移除
操作失败,操作失败
删除成功,删除成功
删除失败,删除失败
user,用户
管理联系人（多渠道配置）,管理联系人（多渠道配置）
联系人列表,联系人列表
查看联系人,查看联系人
保存联系人,保存联系人
添加渠道配置,添加渠道配置
plus,加
为联系人添加渠道配置,为联系人添加渠道配置
移除渠道配置,移除渠道配置
minus,减
移除联系人的某渠道配置,移除联系人的某渠道配置
删除联系人,删除联系人
trash,trash
短信,短信
我的联系人,我的联系人
渠道和联系方式不能为空,渠道和联系方式不能为空
保存失败，请稍后重试或联系管理员,保存失败，请稍后重试或联系管理员
更新失败,更新失败
已设为默认,已设为默认
设置失败,设置失败
联系人管理,联系人管理
管理用户联系人,管理用户联系人
查看我的联系人,查看我的联系人
更新联系人,更新联系人
edit,编辑
设为默认,设为默认
star,星星
设为默认联系人,设为默认联系人
渠道配置,渠道配置
编辑渠道,编辑渠道
新建渠道,新建渠道
渠道标识和名称不能为空,渠道标识和名称不能为空
渠道不存在,渠道不存在
渠道标识已存在,渠道标识已存在
请选择渠道类型,请选择渠道类型
渠道适配器不存在,渠道适配器不存在
测试成功，渠道配置正确,测试成功，渠道配置正确
测试失败，请检查配置,测试失败，请检查配置
测试失败：%{1},测试失败：%{1}
配置通知渠道,配置通知渠道
渠道列表,渠道列表
list,列表
查看通知渠道,查看通知渠道
编辑渠道配置,编辑渠道配置
保存渠道,保存渠道
保存渠道配置,保存渠道配置
测试渠道,测试渠道
arrow-right,向右箭头
测试渠道连通性,测试渠道连通性
删除渠道,删除渠道
删除渠道配置,删除渠道配置
通知中心,通知中心
通知不存在或无权查看,通知不存在或无权查看
通知详情,通知详情
已标记为已读,已标记为已读
标记失败,标记失败
未登录,未登录
已标记全部已读,已标记全部已读
请指定主题类型,请指定主题类型
"已将该类 %{count} 条通知标记为已读","已将该类 %{count} 条通知标记为已读"
查看系统通知,查看系统通知
通知列表,通知列表
check,查看
查看通知列表,查看通知列表
查看通知详情,查看通知详情
加载备份管理失败：%{1},加载备份管理失败：%{1}
备份创建成功,备份创建成功
备份创建失败：%{1},备份创建失败：%{1}
系统备份,系统备份
store,店铺
查看系统备份,查看系统备份
创建系统备份,创建系统备份
后端主题配置字段无效：%{1},后端主题配置字段无效：%{1}
后端主题模式不能为空。,后端主题模式不能为空。
后端文字方向配置无效。,后端文字方向配置无效。
后端主题模式无效。,后端主题模式无效。
后端主题模式无效：%{1},后端主题模式无效：%{1}
加载数据统计失败：%{1},加载数据统计失败：%{1}
数据统计,数据统计
chart,图表
查看数据统计,查看数据统计
保存失败，请重试！%{1},保存失败，请重试！%{1}
保存失败，请重试!不支持的类型：%{1},保存失败，请重试!不支持的类型：%{1}
"保存成功,缓存清理成功！","保存成功,缓存清理成功！"
"保存失败! %{1}","保存失败! %{1}"
"配置 key 不能为空","配置 key 不能为空"
"配置 key 格式无效","配置 key 格式无效"
"配置 value 必须是标量值","配置 value 必须是标量值"
"配置 value 长度不能超过 %{1} 字符","配置 value 长度不能超过 %{1} 字符"
"配置 module 格式无效","配置 module 格式无效"
"配置 scope 格式无效","配置 scope 格式无效"
"配置 locale 格式无效","配置 locale 格式无效"
保存系统配置,保存系统配置
保存后台系统配置,保存后台系统配置
加载系统监控失败：%{1},加载系统监控失败：%{1}
系统监控,系统监控
grid,网格
查看系统监控,查看系统监控
用户名和密码不能为空,用户名和密码不能为空
用户不存在,用户不存在
密码错误,密码错误
创建token失败,创建token失败
登录成功,登录成功
登录失败：%{1},登录失败：%{1}
Token不能为空,Token不能为空
Token无效或已过期,Token无效或已过期
Token刷新成功,Token刷新成功
刷新token失败：%{1},刷新token失败：%{1}
撤销token失败,撤销token失败
Token已撤销,Token已撤销
撤销token失败：%{1},撤销token失败：%{1}
用户未登录,用户未登录
获取用户信息成功,获取用户信息成功
获取用户信息失败：%{1},获取用户信息失败：%{1}
Token无效,令牌无效
获取token信息成功,获取token信息成功
获取token信息失败：%{1},获取token信息失败：%{1}
消息主题不能为空,消息主题不能为空
消息标题不能为空,消息标题不能为空
消息内容不能为空,消息内容不能为空
通知已发送,通知已发送
发送通知失败：%{error},发送通知失败：%{error}
"找不到模组: %{1}","找不到模组: %{1}"
通知,通知
未读通知,未读通知
关闭通知,关闭通知
暂无通知,暂无通知
查看全部,查看全部
管理订阅,管理订阅
关闭,关闭
确定,确定
取消,取消
请重试,请重试
未找到可提交的表单。,未找到可提交的表单。
发送通知失败,发送通知失败
总用户数,总用户数
总订单数,总订单数
总产品数,总产品数
总访问数,总访问数
提示,提示
数据统计功能正在开发中，敬请期待。,数据统计功能正在开发中，敬请期待。
基础设置功能正在开发中，敬请期待。,基础设置功能正在开发中，敬请期待。
站点名称,站点名称
站点URL,站点URL
时区,时区
默认语言,默认语言
保存设置,保存设置
存储设置功能正在开发中，敬请期待。,存储设置功能正在开发中，敬请期待。
邮件设置功能正在开发中，敬请期待。,邮件设置功能正在开发中，敬请期待。
新建联系人,新建联系人
暂无联系人，请先新建联系人，再为其添加渠道配置。,暂无联系人，请先新建联系人，再为其添加渠道配置。
尚未添加渠道配置，通知不会发到此联系人。,尚未添加渠道配置，通知不会发到此联系人。
添加渠道,添加渠道
再添加渠道,再添加渠道
联系人名称,联系人名称
保存,保存
渠道,渠道
请选择渠道,请选择渠道
请先选择渠道,请先选择渠道
未命名,未命名
编辑名称,编辑名称
可用,可用
未配置,未配置
编辑,编辑
移除,移除
如：运维值班,如：运维值班
确认组件不可用，请刷新页面后重试,确认组件不可用，请刷新页面后重试
编辑联系人,编辑联系人
请输入联系人名称,请输入联系人名称
确定要移除此渠道配置吗？,确定要移除此渠道配置吗？
确定要删除此联系人吗？,确定要删除此联系人吗？
系统监控功能正在开发中，敬请期待。,系统监控功能正在开发中，敬请期待。
PHP版本,PHP版本
服务器软件,服务器软件
内存限制,内存限制
最大执行时间,最大执行时间
秒,秒
"配置全站 Logo 与站点图标：未填写 Logo 时默认使用与登录页一致的 W 字母黄色丝带标识；填写后前后台顶栏、登录页与浏览器标签页将统一使用此处配置。","配置全站 Logo 与站点图标：未填写 Logo 时默认使用与登录页一致的 W 字母黄色丝带标识；填写后前后台顶栏、登录页与浏览器标签页将统一使用此处配置。"
"当前使用默认 Logo","当前使用默认 Logo"
"未配置自定义 Logo，后台顶栏与登录页使用同一个 W 字母黄色丝带标识。","未配置自定义 Logo，后台顶栏与登录页使用同一个 W 字母黄色丝带标识。"
Logo配置,标志配置
深色Logo（大图）,深色Logo（大图）
用于深色主题的大尺寸Logo，建议高度70px,用于深色主题的大尺寸Logo，建议高度70px
浅色Logo（大图）,浅色Logo（大图）
用于浅色主题的大尺寸Logo，建议高度70px,用于浅色主题的大尺寸Logo，建议高度70px
小Logo,小标志
用于侧边栏折叠时的小尺寸Logo，建议高度50px,用于侧边栏折叠时的小尺寸Logo，建议高度50px
站点图标（Favicon）,站点图标（Favicon）
"前后台浏览器标签页图标；留空则使用 Theme 默认 icon（与 Logo 同源）。","前后台浏览器标签页图标；留空则使用 Theme 默认 icon（与 Logo 同源）。"
登录页背景,登录页背景
登录页背景图,登录页背景图
"建议尺寸 1920x1080，留空使用默认背景","建议尺寸 1920x1080，留空使用默认背景"
站点信息,站点信息
后台管理系统的名称,后台管理系统的名称
站点描述,站点描述
后台管理系统的描述信息,后台管理系统的描述信息
保存配置,保存配置
重置,重置
"默认 Weline Logo","默认 Weline Logo"
确定要重置表单吗？,确定要重置表单吗？
添加联系人,添加联系人
暂无联系人,暂无联系人
添加,添加
默认,默认
添加更多,添加更多
联系方式,联系方式
备注名称,备注名称
删除,删除
"邮箱、手机号或用户 ID","邮箱、手机号或用户 ID"
可选,可选
确定要将此联系人设为默认吗？,确定要将此联系人设为默认吗？
集中查看系统消息、告警与业务提醒。,集中查看系统消息、告警与业务提醒。
全部已读,全部已读
关键词,关键词
类型,类型
全部类型,全部类型
状态,状态
全部,全部
未读,未读
已读,已读
搜索,搜索
暂无通知消息,暂无通知消息
新的系统消息会显示在这里。,新的系统消息会显示在这里。
查看详情,查看详情
共,共
条通知，第,条通知，第
页,页
确定要将所有通知标记为已读吗？,确定要将所有通知标记为已读吗？
网络错误，请重试,网络错误，请重试
搜索标题或内容,搜索标题或内容
通知分页,通知分页
上一页,上一页
下一页,下一页
返回通知中心,返回通知中心
发生错误,发生错误
上一条,上一条
下一条,下一条
附加信息,附加信息
已推送渠道,已推送渠道
此类全部已读,此类全部已读
订阅设置,订阅设置
"使用 ← → 方向键切换","使用 ← → 方向键切换"
主题,主题
确定要将「%{name}」类的所有通知标记为已读吗？,确定要将「%{name}」类的所有通知标记为已读吗？
相邻通知,相邻通知
已是第一条,已是第一条
已是最后一条,已是最后一条
暂无渠道配置,暂无渠道配置
创建第一个渠道,创建第一个渠道
最低级别,最低级别
订阅主题,订阅主题
操作,操作
全部主题,全部主题
个主题,个主题
启用,启用
禁用,禁用
≥,≥
确定要删除此渠道吗？删除后将停止向该渠道发送通知。,确定要删除此渠道吗？删除后将停止向该渠道发送通知。
返回列表,返回列表
渠道类型,渠道类型
请选择,请选择
渠道名称,渠道名称
最低通知级别,最低通知级别
只发送达到此级别的通知,只发送达到此级别的通知
启用此渠道,启用此渠道
请先选择渠道类型,请先选择渠道类型
留空表示订阅所有主题,留空表示订阅所有主题
测试连接,测试连接
帮助,帮助
渠道类型说明,渠道类型说明
"通过飞书机器人 Webhook 发送消息","通过飞书机器人 Webhook 发送消息"
"通过钉钉机器人 Webhook 发送消息","通过钉钉机器人 Webhook 发送消息"
"使用系统 SMTP 配置发送邮件","使用系统 SMTP 配置发送邮件"
"向自定义 URL 发送 POST 请求","向自定义 URL 发送 POST 请求"
通知级别,通知级别
只有达到设定级别的通知才会发送到此渠道。级别从低到高：,只有达到设定级别的通知才会发送到此渠道。级别从低到高：
如：飞书机器人-研发群,如：飞书机器人-研发群
正在测试连接...,正在测试连接...
测试失败,测试失败
只读查看克隆登记和检查点；不提供迁移执行或销毁操作。,只读查看克隆登记和检查点；不提供迁移执行或销毁操作。
只读,只读
连接器,连接器
当前数据库,当前数据库
克隆环境,克隆环境
已登记的隔离克隆,已登记的隔离克隆
数据库,数据库
模式,模式
源库,源库
创建时间,创建时间
指纹,指纹
暂无克隆登记,暂无克隆登记
最近检查点,最近检查点
阶段,阶段
更新时间,更新时间
日志条数,日志条数
暂无检查点,暂无检查点
"只读查看当前发布标记；不提供发布、回滚或 Webhook 回放操作。","只读查看当前发布标记；不提供发布、回滚或 Webhook 回放操作。"
部署模式,部署模式
发布版本,发布版本
当前发布标记,当前发布标记
未找到当前发布标记文件,未找到当前发布标记文件
内核版本通知状态,内核版本通知状态
检查值,检查值
通知指纹,通知指纹
通知时间,通知时间
访问日志功能正在开发中，敬请期待。,访问日志功能正在开发中，敬请期待。
日志列表,日志列表
时间,时间
IP地址,IP地址
URL,网址
状态码,状态码
"User Agent",用户代理
暂无访问日志记录,暂无访问日志记录
搜索IP地址或URL,搜索IP地址或URL
管理联系人,管理联系人
选择您希望通过哪些渠道接收不同类型的消息通知。外部渠道需要先在联系人里配置对应渠道信息。,选择您希望通过哪些渠道接收不同类型的消息通知。外部渠道需要先在联系人里配置对应渠道信息。
暂无可订阅的消息主题,暂无可订阅的消息主题
已配置联系人,已配置联系人
未配置联系人,未配置联系人
重要提示,重要提示
开启维护模式后，前台将显示维护页面，但后台仍可正常访问。,开启维护模式后，前台将显示维护页面，但后台仍可正常访问。
维护模式设置,维护模式设置
启用维护模式,启用维护模式
维护消息,维护消息
此消息将显示给访问前台的用户,此消息将显示给访问前台的用户
当前状态,当前状态
系统当前处于维护模式,系统当前处于维护模式
系统当前正常运行,系统当前正常运行
系统备份功能正在开发中，敬请期待。,系统备份功能正在开发中，敬请期待。
创建备份,创建备份
备份类型,备份类型
完整备份,完整备份
仅数据库,仅数据库
仅文件,仅文件
备份列表,备份列表
备份文件,备份文件
大小,大小
下载,下载
暂无备份文件,暂无备份文件
创建备份失败,创建备份失败
下载备份：,下载备份：
确定要删除这个备份吗？,确定要删除这个备份吗？
删除备份：,删除备份：
用户不存在，请联系管理员,用户不存在，请联系管理员
用户不存在！,用户不存在！
"框架约定错误：菜单 ACL 断层。菜单 %{1}（模块 %{2}）声明了不存在的父级 %{3}。请修复 menu.xml 的 parent/source 链。","框架约定错误：菜单 ACL 断层。菜单 %{1}（模块 %{2}）声明了不存在的父级 %{3}。请修复 menu.xml 的 parent/source 链。"
模块不存在：%{1},模块不存在：%{1}
其他,其他
后端主题配置字段无效。,后端主题配置字段无效。
"请指定 --username=、--user_id= 或 --email= 之一","请指定 --username=、--user_id= 或 --email= 之一"
"请指定 --role_id= 或 --role= 选择要分配的角色","请指定 --role_id= 或 --role= 选择要分配的角色"
已为用户分配角色,已为用户分配角色
该用户已拥有该角色,该用户已拥有该角色
分配失败,分配失败
"角色 ID %{id} 不存在","角色 ID %{id} 不存在"
角色名「%{name}」不存在,角色名「%{name}」不存在
暂无可用角色，请先在后台创建角色,暂无可用角色，请先在后台创建角色
可用角色：,可用角色：
为指定后台用户分配所选角色。,为指定后台用户分配所选角色。
用户名,用户名
用户ID,用户ID
邮箱,邮箱
角色ID,角色ID
角色名,角色名
显示帮助信息,显示帮助信息
分配超管,分配超管
分配其他角色,分配其他角色
用户邮箱不能为空,用户邮箱不能为空
用户密码不能为空,用户密码不能为空
重置成功,重置成功
用户名不能为空,用户名不能为空
邮箱不能为空,邮箱不能为空
密码不能为空,密码不能为空
用户已存在,用户已存在
用户创建失败,用户创建失败
用户创建成功,用户创建成功
用户创建失败：%s,用户创建失败：%s
已为用户分配超管角色,已为用户分配超管角色
该用户已是超管角色,该用户已是超管角色
为指定后台用户分配超管角色。,为指定后台用户分配超管角色。
"对比后端用户/角色数据与 getAclContext 结果，排查没角色或没权限。","对比后端用户/角色数据与 getAclContext 结果，排查没角色或没权限。"
"指定用户ID，不传则查 1 和 3","指定用户ID，不传则查 1 和 3"
刷新模块列表...,刷新模块列表...
"已刷新：%{1} 个激活模块","已刷新：%{1} 个激活模块"
模块刷新失败：%{1},模块刷新失败：%{1}
