设备管理查询器不支持操作：%{1},设备管理查询器不支持操作：%{1}
设备管理,设备管理
管理当前身份自己的登录设备。,管理当前身份自己的登录设备。
"页码，从 1 开始，默认 1。","页码，从 1 开始，默认 1。"
"每页数量，默认 20，最大 100。","每页数量，默认 20，最大 100。"
"要下线的公开设备 ID。","要下线的公开设备 ID。"
设备管理服务暂时不可用，请稍后重试。,设备管理服务暂时不可用，请稍后重试。
请先登录后管理设备。,请先登录后管理设备。
当前认证会话无效。,当前认证会话无效。
分页列出当前身份的有效登录设备。,分页列出当前身份的有效登录设备。
下线当前身份的一个非当前设备。,下线当前身份的一个非当前设备。
"mdi mdi-devices","mdi mdi-devices"
管理当前后台管理员自己的登录设备,管理当前后台管理员自己的登录设备
查看与下线登录设备,查看与下线登录设备
账户安全,账户安全
查看当前身份仍可登录的设备，并让不再使用的设备下线。,查看当前身份仍可登录的设备，并让不再使用的设备下线。
仅显示本账号,仅显示本账号
正在加载登录设备…,正在加载登录设备…
设备列表加载失败，请稍后重试。,设备列表加载失败，请稍后重试。
当前没有可显示的登录设备。,当前没有可显示的登录设备。
本设备,本设备
已登录,已登录
可自动登录,可自动登录
下线,下线
确认下线,确认下线
取消,取消
重试,重试
设备已下线。,设备已下线。
设备下线失败，请重试。,设备下线失败，请重试。
最近活动,最近活动
首次登录,首次登录
记住登录至,记住登录至
"最近 IP","最近 IP"
上一页,上一页
下一页,下一页
"第 %{1} 页","第 %{1} 页"
"Unknown device",未知设备
设备列表分页,设备列表分页
"%{1} on %{2}",%{1}（%{2}）
"Unknown browser",未知浏览器
"Unknown system",未知系统
设备记录不存在。,设备记录不存在。
记住登录凭证不存在。,记住登录凭证不存在。
记住登录到期时间无效。,记住登录到期时间无效。
当前认证设备不可用。,当前认证设备不可用。
记住登录凭证签发失败。,记住登录凭证签发失败。
认证身份区域不匹配。,认证身份区域不匹配。
当前设备请使用正常退出登录。,当前设备请使用正常退出登录。
不支持的认证区域。,不支持的认证区域。
设备不存在或不可操作。,设备不存在或不可操作。
认证设备登记失败。,认证设备登记失败。
"认证设备登记失败：设备表未就绪，请先执行 setup:upgrade。","认证设备登记失败：设备表未就绪，请先执行 setup:upgrade。"
认证设备服务不可用。,认证设备服务不可用。
认证设备服务暂时不可用，请稍后重试。,认证设备服务暂时不可用，请稍后重试。
认证登录状态保存失败。,认证登录状态保存失败。
"当前 Session 尚未建立。","当前 Session 尚未建立。"
