客服消息翻译,"고객 서비스 메시지 번역"
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,"고객 서비스 모듈은 이 이벤트를 통해 번역 서비스를 요청합니다. 이벤트 데이터에는 번역할 텍스트, 소스 언어, 대상 언어 등이 포함됩니다. 번역 모듈은 이 이벤트를 수신하여 번역 서비스를 제공할 수 있습니다."
客服邮箱绑定验证,客服邮箱绑定验证
客户绑定邮箱时的验证邮件,客户绑定邮箱时的验证邮件
验证链接,验证链接
待绑定邮箱,待绑定邮箱
"Unsupported customer service provider operation: %{1}","Unsupported customer service provider operation: %{1}"
"Missing URL","Missing URL"
"Unsupported customer service admin path","Unsupported customer service admin path"
"Controller missing: %{1}","Controller missing: %{1}"
"Session and message content are required.","Session and message content are required."
"Session ID is required.","Session ID is required."
上传成功,上传成功
上传失败：%{1},上传失败：%{1}
"Language code is required.","Language code is required."
"Language updated.","Language updated."
"Please enter a valid email address.","Please enter a valid email address."
"Session token is required.","Session token is required."
人机验证服务暂不可用，已切换为本地图码，请填写后重试,人机验证服务暂不可用，已切换为本地图码，请填写后重试
人机验证未完成，请再试一次,人机验证未完成，请再试一次
人机验证失败或已过期，请重试,人机验证失败或已过期，请重试
"Unable to send verification email. Please try again later.","Unable to send verification email. Please try again later."
"Verification email has been sent.","Verification email has been sent."
"Customer Service Query","Customer Service Query"
"Provides frontend customer-service chat operations through the worker API.","Provides frontend customer-service chat operations through the worker API."
客服聊天,"고객 서비스 채팅"
获取会话失败：%{1},"세션 조회 실패: %{1}"
消息内容不能为空,"메시지 내용은 비어 있을 수 없습니다"
无效的会话ID,"유효하지 않은 세션 ID"
发送消息失败：%{1},"메시지 전송 실패: %{1}"
获取消息失败：%{1},"메시지 조회 실패: %{1}"
语言代码不能为空,"언어 코드는 비어 있을 수 없습니다"
语言设置成功,"언어 설정되었습니다"
设置语言失败：%{1},"언어 설정 실패: %{1}"
人机验证加载失败，请稍后重试,人机验证加载失败，请稍后重试
邮箱地址不能为空,"이메일 주소는 비어 있을 수 없습니다"
邮箱格式不正确,"이메일 형식이 올바르지 않습니다"
会话令牌不能为空,"세션 토큰은 비어 있을 수 없습니다"
验证邮件已发送，请查收,"인증 이메일을 전송했습니다. 확인해주세요"
发送验证邮件失败，请稍后重试,"인증 이메일 전송 실패. 잠시 후 다시 시도해주세요"
发送验证邮件失败：%{1},"인증 이메일 전송 실패: %{1}"
验证令牌不能为空,"인증 토큰은 비어 있을 수 없습니다"
验证令牌无效或已过期,"인증 토큰이 유효하지 않거나 만료되었습니다"
邮箱绑定成功,"이메일 연결되었습니다"
邮箱绑定失败，请稍后重试,"이메일 연결 실패. 잠시 후 다시 시도해주세요"
验证失败：%{1},"인증 실패: %{1}"
客服人员管理,客服人员管理
加载客服人员失败：%{1},"서비스 담당자 로드 실패: %{1}"
客服名称不能为空,"서비스 담당자 이름은 비어 있을 수 없습니다"
请选择后台用户,"백엔드 사용자를 선택하세요"
客服人员不存在,"서비스 담당자가 존재하지 않습니다"
保存成功,저장되었습니다
保存失败：%{1},"저장 실패: %{1}"
无效的客服ID,"유효하지 않은 담당자 ID"
"该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除","该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除"
删除成功,삭제되었습니다
"删除成功，已转让 %{1} 个会话给 %{2}","删除成功，已转让 %{1} 个会话给 %{2}"
"删除成功，已将 %{1} 个会话释放回等待池","删除成功，已将 %{1} 个会话释放回等待池"
删除失败：%{1},"삭제 실패: %{1}"
请选择源客服与目标客服,请选择源客服与目标客服
没有可转让的未关闭会话,没有可转让的未关闭会话
"已转让 %{1} 个会话给 %{2}","已转让 %{1} 个会话给 %{2}"
转让失败：%{1},转让失败：%{1}
获取成功,조회되었습니다
获取统计数据失败：%{1},"통계 데이터 조회 실패: %{1}"
客服人员,客服人员
user,user
查看客服人员,查看客服人员
保存客服人员,保存客服人员
save,save
删除客服人员,删除客服人员
trash,trash
转让客服会话,转让客服会话
share,share
将会话转让给其他客服,将会话转让给其他客服
查看客服统计,查看客服统计
chart,chart
会话管理,"세션 관리"
加载会话失败：%{1},"세션 로드 실패: %{1}"
会话不存在,"세션이 존재하지 않습니다"
会话详情,"세션 상세"
加载会话详情失败：%{1},"세션 상세 로드 실패: %{1}"
会话已关闭,"세션이 닫혔습니다"
关闭会话失败：%{1},"세션 닫기 실패: %{1}"
message,message
查看会话,查看会话
查看会话详情,查看会话详情
eye,eye
关闭会话,"세션 닫기"
close,close
客服配置,"서비스 설정"
settings,settings
客服配置管理,客服配置管理
查看客服配置,查看客服配置
您不是客服人员，无法使用工作台,"서비스 담당자가 아니므로 콘솔을 사용할 수 없습니다"
