扩展管理,"Extension management"
请指定模块名,"Please specify the module name"
模块扩展详情,"Module extension details"
未检测到循环依赖,"No circular dependencies detected"
检测到循环依赖，请查看详情,"Detected circular dependency, please view details."
循环依赖检测,"Circular dependency detection"
扩展注册表刷新成功,"Extension registry refresh succeeded"
扩展注册表刷新失败,"Extension registry refresh failed"
"刷新失败: %1","刷新失败: %1"
"Sticker 扩展统计","Sticker extension statistics"
"加载 Sticker 统计失败: %1","加载 Sticker 统计失败: %1"
"加载模块详情失败: %1","加载模块详情失败: %1"
扩展搜索,"Extension search"
"搜索失败: %1","搜索失败: %1"
提供扩展点,"Provides extension points"
"被 Sticker 扩展","Extended by Sticker"
被模块扩展,"Extended by Module"
被主题扩展,"Extended by Theme"
扩展点数,"Number of extension points"
"Sticker 扩展","Sticker extension"
模块扩展,"Module extension"
主题扩展,"Theme extensions"
扩展定义,"Extension definitions"
被扩展信息,"Extended Information"
无扩展定义,"No Extension Definition"
该模块没有定义任何扩展点,"This module does not define any extension points"
扩展类型,"Extension type"
文档,Document
扩展点列表,"Extension point list"
必需,Required
可选,Optional
多实例,"Multiple instances"
单实例,"Single Instance"
路径,Path
接口,Interface
没有被扩展,"Not extended"
该模块没有被其他模块扩展,"This module is not extended by other modules"
扩展概览,"Extension overview"
个,indivual
"无 Sticker 扩展","No Sticker Extension"
"该模块没有 Sticker 扩展","This module has no Sticker extension"
"个 Sticker",stickers
目标文件,"Target file"
"Sticker 类型","Sticker type"
源文件,"Source file"
模块级,"Module level"
主题级,"Theme Level"
无模块扩展,"No module extensions"
个扩展,extensions
扩展文件,"Extension files"
扩展点,"Extension points"
无主题扩展,"No Theme Extension"
该模块没有被主题扩展,"This module is not extended by a theme"
扩展管理页副标题,"Review declared extension points per module"
系统配置,"System Configuration"
扩展与注册表,"Extensions & registry"
扩展管理刷新说明,"After changing extends.php or Sticker rules"
刷新注册表,"Refresh Registry"
总模块数,"Total Modules"
有扩展定义的模块,"Modules with extension definitions"
被扩展的模块,"Extended Modules"
"Sticker 扩展数","Number of Sticker extensions"
模块扩展一览,"Module extension overview"
模块扩展一览说明,"Filter by module name or extension point name/description. Open details in the side panel for full definitions and extenders."
搜索筛选,"Search & filter"
请输入模块名或扩展点关键词回车搜索,"Please enter a module name or extension point keyword and press Enter to search"
清除搜索,"Clear search"
暂无扩展信息,"No extended information"
系统中还没有定义任何扩展点或扩展关系。,"No extension points or extension relationships are defined in the system."
扩展管理空状态提示,"If you already added extends.php in a module"
未找到匹配的扩展,"Matching extension not found"
搜索关键词,"Search keyword"
没有找到匹配的模块或扩展点,"No matching module or extension point found"
模块名,"Module name"
被扩展统计,"Extended Statistics"
操作,Operation
错误,Error
警告,Warning
个扩展点,"extension points"
总计,Total
模块,Module.
主题,Topic
有错误,"Has errors"
有警告,"Has warnings"
关闭,Close
详情,Details
"Sticker 扩展详情","Sticker extension details"
"Sticker 快捷入口",Sticker
文档路径,"Document path"
确定,Confirm
