"搜索并选择已发布商品；选中后回填产品 ID。留空则使用产品来源。","搜索并选择已发布商品；选中后回填产品 ID。留空则使用产品来源。"
选择商品,选择商品
关闭,关闭
完成,完成
搜索商品,搜索商品
"名称或 SKU","名称或 SKU"
搜索,搜索
打开后默认展示已发布商品，可输入关键词缩小范围。,打开后默认展示已发布商品，可输入关键词缩小范围。
移除,移除
添加,添加
正在加载已发布商品…,正在加载已发布商品…
暂无可选商品，请检查发布状态或更换关键词。,暂无可选商品，请检查发布状态或更换关键词。
已选商品,已选商品
名称,名称
"选品前请先选择 Website（0 为默认网站，可正常选品）。","选品前请先选择 Website（0 为默认网站，可正常选品）。"
网站,网站
图,图
价格,السعر
商品详情已浏览,商品详情已浏览
前台商品详情成功解析报价后派发，供最近浏览、联盟等监听。,前台商品详情成功解析报价后派发，供最近浏览、联盟等监听。
店面报价列表筛选,店面报价列表筛选
"分类/商品列表在价格与排序之后派发，供 Filters 等模块应用 af_* 属性面筛选并回写 offers。","分类/商品列表在价格与排序之后派发，供 Filters 等模块应用 af_* 属性面筛选并回写 offers。"
商品询价已提交,商品询价已提交
"前台询价单落库成功后派发（含 quote_request_id / status=new）。","前台询价单落库成功后派发（含 quote_request_id / status=new）。"
商品询价状态可否流转,商品询价状态可否流转
"状态机规则检查时可扩展/改写 can_transition 与 transitions。","状态机规则检查时可扩展/改写 can_transition 与 transitions。"
商品询价状态变更前,商品询价状态变更前
"写库前派发；观察者可将 can_change=false 阻止流转。","写库前派发；观察者可将 can_change=false 阻止流转。"
商品询价状态已变更,商品询价状态已变更
"写库成功后派发；含 old_status / new_status / quote_request_id。","写库成功后派发；含 old_status / new_status / quote_request_id。"
供应商名称与编码不能为空,供应商名称与编码不能为空
供应商编码已存在：%{1},供应商编码已存在：%{1}
供应商创建后无法回读：%{1},供应商创建后无法回读：%{1}
供应商不存在：%{1},供应商不存在：%{1}
供应商名称不能为空,供应商名称不能为空
供应商更新后无法回读：%{1},供应商更新后无法回读：%{1}
"供应商编码须为 1–64 位小写字母/数字/连字符","供应商编码须为 1–64 位小写字母/数字/连字符"
"global_supplier_uuid 格式非法","global_supplier_uuid 格式非法"
"StoreProduct 写入后无法回读","StoreProduct 写入后无法回读"
"Category 不存在：%{1}","Category 不存在：%{1}"
"Category 更新后无法回读：%{1}","Category 更新后无法回读：%{1}"
"Category 写入后无法回读：%{1}","Category 写入后无法回读：%{1}"
"global_category_uuid 格式非法","global_category_uuid 格式非法"
"website_id 不能为负数：%{1}","website_id 不能为负数：%{1}"
"store_id 不能为负数：%{1}","store_id 不能为负数：%{1}"
"Product 写入后无法回读：%{1}","Product 写入后无法回读：%{1}"
"Product SKU 不能为空","Product SKU 不能为空"
"Product 不存在：%{1}","Product 不存在：%{1}"
"Product 更新后无法回读：%{1}","Product 更新后无法回读：%{1}"
"publish_version 不能为负数：%{1}","publish_version 不能为负数：%{1}"
"Product publish_version 冲突：expected=%{1} actual=%{2}","Product publish_version 冲突：expected=%{1} actual=%{2}"
"Product publish CAS 失败：product_id=%{1}","Product publish CAS 失败：product_id=%{1}"
"非法商品状态转换：%{1} → %{2}","非法商品状态转换：%{1} → %{2}"
"Product 版本已变化，请刷新后重试","Product 版本已变化，请刷新后重试"
"Product 更新 CAS 失败","Product 更新 CAS 失败"
"Product CAS token factory 必须返回 32-64 位十六进制","Product CAS token factory 必须返回 32-64 位十六进制"
"Offer 写入后无法回读：%{1}","Offer 写入后无法回读：%{1}"
"Offer 不存在：%{1}","Offer 不存在：%{1}"
"Offer publish_version 冲突：expected=%{1} actual=%{2}","Offer publish_version 冲突：expected=%{1} actual=%{2}"
"Offer publish CAS 失败：offer_id=%{1}","Offer publish CAS 失败：offer_id=%{1}"
"Offer 版本已变化，请刷新后重试","Offer 版本已变化，请刷新后重试"
"Offer 更新 CAS 失败","Offer 更新 CAS 失败"
"Offer 缺少有效的父 Product：%{1}","Offer 缺少有效的父 Product：%{1}"
"Offer CAS token factory 必须返回 32-64 位十六进制","Offer CAS token factory 必须返回 32-64 位十六进制"
"supplier_id 必须为正整数","supplier_id 必须为正整数"
"brand_id 必须为正整数","brand_id 必须为正整数"
"channel_id 不能为负数","channel_id 不能为负数"
"展示选择需要 store_id 或 channel_id","展示选择需要 store_id 或 channel_id"
展示选择参数无效,展示选择参数无效
"Price 在 Scope 上已 cleared，当前币种不可售：%{1}","Price 在 Scope 上已 cleared，当前币种不可售：%{1}"
"Price 未配置：offer=%{1} currency=%{2}","Price 未配置：offer=%{1} currency=%{2}"
"Media remove 并发重试耗尽：media_id=%{1}","Media remove 并发重试耗尽：media_id=%{1}"
"Media path/blob_key 不能为空","Media path/blob_key 不能为空"
"Media blob_key 已存在；共享必须使用 shareCopy：%{1}","Media blob_key 已存在；共享必须使用 shareCopy：%{1}"
"源 Media 不存在：%{1}","源 Media 不存在：%{1}"
"Media shareCopy 后 blob 引用数不守恒：%{1}","Media shareCopy 后 blob 引用数不守恒：%{1}"
"Media shareCopy 并发重试耗尽：media_id=%{1}","Media shareCopy 并发重试耗尽：media_id=%{1}"
"Media 不存在：%{1}","Media 不存在：%{1}"
"共享 Media COW 必须使用新的 blob_key：%{1}","共享 Media COW 必须使用新的 blob_key：%{1}"
"Media COW 目标 blob_key 已存在：%{1}","Media COW 目标 blob_key 已存在：%{1}"
"Media 编辑后无法回读：%{1}","Media 编辑后无法回读：%{1}"
"Media COW 后无法回读：%{1}","Media COW 后无法回读：%{1}"
"Media cowEdit 并发重试耗尽：media_id=%{1}","Media cowEdit 并发重试耗尽：media_id=%{1}"
"Media 写入后无法回读：%{1}","Media 写入后无法回读：%{1}"
"Media blob owner 数量异常：blob=%{1} owners=%{2}","Media blob owner 数量异常：blob=%{1} owners=%{2}"
"Media blob 没有引用行：%{1}","Media blob 没有引用行：%{1}"
"Media blob owner ref_count 不守恒：%{1}","Media blob owner ref_count 不守恒：%{1}"
"Media owner 不能指向 cow_source：%{1}","Media owner 不能指向 cow_source：%{1}"
"Media copy owner/ref_count 不守恒：%{1}","Media copy owner/ref_count 不守恒：%{1}"
"共享 Media 缺少可提升 owner：%{1}","共享 Media 缺少可提升 owner：%{1}"
"Media blob 并发冲突：%{1}","Media blob 并发冲突：%{1}"
"Media CAS token factory 必须返回 32-64 位十六进制","Media CAS token factory 必须返回 32-64 位十六进制"
"Required 属性在 Scope/locale 上已 cleared，禁止发布：%{1}","Required 属性在 Scope/locale 上已 cleared，禁止发布：%{1}"
"StoreOffer 写入后无法回读","StoreOffer 写入后无法回读"
品牌名称与编码不能为空,品牌名称与编码不能为空
品牌编码已存在：%{1},品牌编码已存在：%{1}
品牌创建后无法回读：%{1},品牌创建后无法回读：%{1}
品牌不存在：%{1},品牌不存在：%{1}
品牌名称不能为空,品牌名称不能为空
品牌更新后无法回读：%{1},品牌更新后无法回读：%{1}
"品牌编码须为 1–64 位小写字母/数字/连字符","品牌编码须为 1–64 位小写字母/数字/连字符"
"global_brand_uuid 格式非法","global_brand_uuid 格式非法"
"Copy draft 写入后无法回读","Copy draft 写入后无法回读"
"request_hash 不能为空","request_hash 不能为空"
"draft 不存在","draft 不存在"
"Copy commit claim 并发重试耗尽","Copy commit claim 并发重试耗尽"
"失败结果不能写为 committed receipt","失败结果不能写为 committed receipt"
"Copy commit claim 已失效","Copy commit claim 已失效"
"仅 draft 可取消","仅 draft 可取消"
"Copy claim token 必须为 64 位十六进制","Copy claim token 必须为 64 位十六进制"
"Copy JSON 结构非法","Copy JSON 结构非法"
"product_id 与 supplier_id 必须为正整数","product_id 与 supplier_id 必须为正整数"
商品供应商关联创建后无法回读：%{1},商品供应商关联创建后无法回读：%{1}
商品供应商关联更新后无法回读,商品供应商关联更新后无法回读
说明,说明
产品更新通知,产品更新通知
产品信息/库存等更新相关邮件,产品信息/库存等更新相关邮件
询价回复通知,询价回复通知
产品询价回复邮件,产品询价回复邮件
"Global Scope 不支持商品加购","Global Scope 不支持商品加购"
该商品已不存在或已下架，请从购物车移除,该商品已不存在或已下架，请从购物车移除
"Offer 未发布","Offer 未发布"
"Offer 对应商品不存在","Offer 对应商品不存在"
商品未发布,商品未发布
"该 Offer 未在当前 Store 上架","该 Offer 未在当前 Store 上架"
"商品名称在当前 Scope 已清除","商品名称在当前 Scope 已清除"
商品,Products
"商品价格在当前 Scope 已清除","商品价格在当前 Scope 已清除"
商品价格未配置,商品价格未配置
仅询价，不可加入购物车,"طلب عرض سعر فقط — لا يمكن الإضافة إلى السلة"
下载商品需要登录后购买,下载商品需要登录后购买
下载资产当前不可用，请联系管理员,下载资产当前不可用，请联系管理员
商品库存不足,"Out of stock"
"Store 不存在","Store 不存在"
"Store 当前不可售","Store 当前不可售"
"该 Offer 在当前 Scope 不可售","该 Offer 在当前 Scope 不可售"
产品分类,产品分类
"无效的 Google Taxonomy ID：%{1}","无效的 Google Taxonomy ID：%{1}"
