结账数据验证前,结账数据验证前
在验证结账数据之前触发，允许其他模块修改验证数据或执行预处理操作。,在验证结账数据之前触发，允许其他模块修改验证数据或执行预处理操作。
结账数据验证后,结账数据验证后
在验证结账数据之后触发，允许其他模块根据验证结果执行后续操作。,在验证结账数据之后触发，允许其他模块根据验证结果执行后续操作。
计算订单总额前,计算订单总额前
在计算订单总额之前触发，允许其他模块修改计算参数（运费、税费、折扣等）。,在计算订单总额之前触发，允许其他模块修改计算参数（运费、税费、折扣等）。
计算订单总额后,计算订单总额后
在计算订单总额之后触发，允许其他模块修改计算结果或执行后续操作。,在计算订单总额之后触发，允许其他模块修改计算结果或执行后续操作。
运费报价覆盖,运费报价覆盖
"freezeAndQuote 在本站 Shipping 报价成功后触发；Observer 按货源 Provider 策略改写运费。失败策略由各供应商配置（回退本站 / 阻断结账）。","freezeAndQuote 在本站 Shipping 报价成功后触发；Observer 按货源 Provider 策略改写运费。失败策略由各供应商配置（回退本站 / 阻断结账）。"
配送方式列表富集,配送方式列表富集
"listQuoteOptions 结果映射为结账 methods 后触发；Observer 可改写 amount_minor。","listQuoteOptions 结果映射为结账 methods 后触发；Observer 可改写 amount_minor。"
冻结报价富集,冻结报价富集
"freezeAndQuote 生成基础 payload 后触发；Observer 可回写 b2b_credit 等扩展字段。支付模块不得注入额度。","freezeAndQuote 生成基础 payload 后触发；Observer 可回写 b2b_credit 等扩展字段。支付模块不得注入额度。"
会话资产折扣应用,会话资产折扣应用
"submit 前触发；Observer 钳制抵扣并写入 type_payload。支付仅 SPI 策略，不写结账金额。","submit 前触发；Observer 钳制抵扣并写入 type_payload。支付仅 SPI 策略，不写结账金额。"
创建订单前,创建订单前
在创建订单之前触发，允许其他模块修改订单数据、验证库存、应用优惠券等。,在创建订单之前触发，允许其他模块修改订单数据、验证库存、应用优惠券等。
创建订单后,创建订单后
在创建订单之后触发，允许其他模块执行后续操作，如扣减库存、发送通知、发起支付等。,在创建订单之后触发，允许其他模块执行后续操作，如扣减库存、发送通知、发起支付等。
旧结账订单写入前置门禁,旧结账订单写入前置门禁
"在旧 Checkout 订单写入路径验证与事务开始前同步触发，允许切换模块拒绝旧 writer。","在旧 Checkout 订单写入路径验证与事务开始前同步触发，允许切换模块拒绝旧 writer。"
结账身份解析前,结账身份解析前
在标准化账户结账/匿名结账选择之前触发，允许模块调整身份上下文。,在标准化账户结账/匿名结账选择之前触发，允许模块调整身份上下文。
