无权限访问重定向前,"리디렉션 전에 권한이 없어 접근할 수 없습니다."
在用户无权限访问时，执行重定向操作前触发。允许其他模块在重定向前执行自定义操作，如记录日志、发送通知等。,"사용자가 권한이 없을 때, 리디렉션 작업을 수행하기 전에 실행됩니다. 다른 모듈이 리디렉션 전에 사용자 정의 작업을 수행할 수 있도록 허용하며, 예를 들어 로그 기록, 알림 전송 등이 있습니다."
角色检查,"캐릭터 확인"
在检查用户角色权限时触发，允许其他模块自定义角色检查逻辑。,"사용자 역할 권한을 검사할 때 트리거되며, 다른 모듈이 역할 검사 로직을 사용자 정의할 수 있도록 합니다."
"角色 ACL 条目加载后","역할 ACL 항목 로드 후"
"角色有效 ACL 行从库加载后触发，观察者可写回 entries（如按站级授权包求交）。Acl 不感知 Website。","역할 기반 접근 제어(ACL) 규칙이 데이터베이스에서 로드되면 트리거되며, 옵저버는 이를 기반으로 엔트리를 수정할 수 있습니다 (예: 지역별 권한 패키지 교차). ACL은 웹사이트 정보를 인식하지 않습니다."
"超管 ACL 旁路检查","슈퍼 관리자 ACL 우회 검사"
"role_id=1 短路放行前触发；观察者可将 allow_bypass 置为 false 以关闭旁路。","role_id=1 인 경우, 쇼트 서킷(단락) 발생 시 우회 기능을 활성화하기 전에 트리거됩니다. 옵저버(관찰자)는 allow_bypass 설정을 false로 변경하여 우회 기능을 비활성화할 수 있습니다."
角色权限保存前,"역할 권한 저장 전"
"角色 ACL 分配保存前触发；观察者可拒绝越权 source_ids（allowed/message）。","역할 ACL 할당 전에 트리거되며, 관찰자는 권한 범위를 벗어나는 source_ids(허용/메시지)를 거부할 수 있습니다."
角色列表过滤,"캐릭터 목록 필터링"
"角色列表/创建前触发；观察者可按 website_id 约束可管理角色集合。","캐릭터 목록/생성 전에 트리거되며, 옵저버는 website_id를 기준으로 관리 가능한 캐릭터 목록을 확인할 수 있습니다."
"ACL 分配树行加载后","ACL 할당 트리가 로드된 후"
"权限分配树/标签行加载后触发；观察者可写回 rows 以裁剪可分配资源。","권한 분배 트리/태그 행이 로드된 후 트리거됩니다. 옵저버는 rows를 수정하여 할당 가능한 리소스를 제한할 수 있습니다."
所有标签,"모든 태그"
搜索标签,"검색 태그"
id属性不能为空,"id 속성은 필수입니다."
未找到匹配标签,"일치하는 태그를 찾을 수 없습니다."
移除,제거하다
acl标签缺少source属性,"acl 태그에 source 속성이 없습니다."
"该页面部分资源引用了权限设置，但是您当前没有权限:无法访问 %{1} 资源,如有需求请联系管理员！","이 페이지의 일부 리소스는 권한 설정이 적용되어 있으며, 현재 귀하에게 해당 권한이 없습니다. ""%{1}"" 리소스에 접근할 수 없습니다. 필요한 경우 관리자에게 문의하십시오!"
使用示例：,"사용 예시:"
"资源ID和父级资源ID不能相同，请检查! 资源ID: %{1}, 父级资源ID: %{2}","리소스 ID와 상위 리소스 ID는 동일할 수 없습니다. 확인해주세요! 리소스 ID: %{1}, 상위 리소스 ID: %{2}"
"框架约定错误：类级 ACL %{1} 未依附菜单 ACL。请确保 source_id 对应 menu.xml 节点，或 parent_source 指向 type=menus 的菜单节点。当前 parent_source=%{2}","프레임워크 설정 오류: 클래스 레벨의 접근 제어 목록(ACL) %{1}이 메뉴 ACL에 연결되지 않았습니다. source_id가 menu.xml 노드와 일치하는지 확인하거나, parent_source가 type=menus인 메뉴 노드를 가리키도록 설정하십시오. 현재 parent_source 값은 %{2}입니다."
