进店音乐,"매장 음악"
settings,설정
进店音乐与氛围播放配置,"매장 음악 및 분위기 재생 설정"
查看进店音乐配置,"매장 음악 설정 보기"
查看进店音乐曲目与播放配置,"매장 음악 트랙 및 재생 설정 보기"
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,"통합 설정 센터에서 열기"
作用范围,"적용 범위"
进店曲目,"입장 트랙"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","mp3 / wav / ogg / m4a / aac / flac / opus / wma 등 다중 선택, 파일당 최대 약 20MB. 핸들로 순서 조정, 아래 언어별 소개 작성. 변경 시 현재 범위에 자동 저장."
简介编辑语言,"소개 편집 언어"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"언어 전환 후 트랙별 소개 작성; 매장은 방문 언어로 표시."
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"아직 트랙이 없습니다. 위 미디어 라이브러리에서 입장 음악을 추가하세요."
拖拽排序,"드래그로 정렬"
曲名,곡명
简介,소개
选择进店音乐（可多选）,"입장 음악 선택(다중)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"설정은 현재 범위에 적용됩니다. 트랙을 다중 선택·드래그 정렬하고 언어별 소개를 작성하세요. 사용 설정과 트랙이 있으면 매장 왼쪽 아래에 음악 위젯이 표시됩니다."
选择作用范围,"범위 선택"
搜索作用范围,"범위 검색"
折叠,접기
展开,펼치기
未找到匹配作用范围,"일치하는 범위 없음"
播放控制,"재생 제어"
上一首,이전
播放,재생
停止,정지
停止播放,"재생 중지"
下一首,다음
"请先同意营销 Cookie 后再播放","재생 전에 마케팅 쿠키에 동의해 주세요"
点击开启音乐,"탭하여 음악 재생"
点击开启声音,"탭하여 음소거 해제"
波形不可用,"파형 사용 불가"
开启波形,"파형 켜기"
关闭波形,"파형 끄기"
播放中,"재생 중"
当前浏览器暂不支持此音频格式,"이 브라우저는 해당 오디오 형식을 지원하지 않습니다"
音频加载失败，请换一首曲目或格式,"오디오를 불러오지 못했습니다. 다른 트랙이나 형식을 시도하세요."
已关闭自动播放，点击播放可重新开启,"자동 재생이 꺼져 있습니다. 재생을 눌러 다시 시작하세요."
已在其他页面播放,"다른 페이지에서 재생 중"
播放列表,재생목록
"共 {n} 首",{n}곡
展开简介,"소개 펼치기"
收起简介,"소개 접기"
点开选曲,"트랙 선택 열기"
选择曲目聆听,"들을 트랙 선택"
音量,음량
进店氛围音乐,"매장 분위기 음악"
关闭选曲,"트랙 선택 닫기"
搜索歌曲…,"곡 검색…"
未找到匹配曲目,"일치하는 곡 없음"
搜索播放列表,"재생목록 검색"
