客服消息翻译,客服消息翻译
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。
客服邮箱绑定验证,客服邮箱绑定验证
客户绑定邮箱时的验证邮件,客户绑定邮箱时的验证邮件
验证链接,验证链接
待绑定邮箱,待绑定邮箱
"Unsupported customer service provider operation: %{1}","Unsupported customer service provider operation: %{1}"
"Missing URL","Missing URL"
"Unsupported customer service admin path","Unsupported customer service admin path"
"Controller missing: %{1}","Controller missing: %{1}"
"Session and message content are required.","Session and message content are required."
"Session ID is required.","Session ID is required."
上传成功,上传成功
上传失败：%{1},上传失败：%{1}
"Language code is required.","Language code is required."
"Language updated.","Language updated."
"Please enter a valid email address.","Please enter a valid email address."
"Session token is required.","Session token is required."
人机验证服务暂不可用，已切换为本地图码，请填写后重试,"Layanan captcha tidak tersedia, beralih ke kode lokal—isi lalu coba lagi"
人机验证未完成，请再试一次,人机验证未完成，请再试一次
人机验证失败或已过期，请重试,"Captcha gagal atau kedaluwarsa, coba lagi"
"Unable to send verification email. Please try again later.","Unable to send verification email. Please try again later."
"Verification email has been sent.","Verification email has been sent."
"Customer Service Query","Customer Service Query"
"Provides frontend customer-service chat operations through the worker API.","Provides frontend customer-service chat operations through the worker API."
在线客服,"Layanan pelanggan online"
默认已启用在线客服（当前范围无覆盖关闭）。,默认已启用在线客服（当前范围无覆盖关闭）。
已继承上级范围启用在线客服。,已继承上级范围启用在线客服。
已启用在线客服入口。,已启用在线客服入口。
"启用前台客服与默认语言；可选 AI 模型。","启用前台客服与默认语言；可选 AI 模型。"
服务,服务
在线客服入口,在线客服入口
客服聊天,客服聊天
获取会话失败：%{1},获取会话失败：%{1}
消息内容不能为空,消息内容不能为空
无效的会话ID,无效的会话ID
发送消息失败：%{1},发送消息失败：%{1}
获取消息失败：%{1},获取消息失败：%{1}
语言代码不能为空,语言代码不能为空
语言设置成功,语言设置成功
设置语言失败：%{1},设置语言失败：%{1}
人机验证加载失败，请稍后重试,"Captcha gagal dimuat, coba lagi nanti"
邮箱地址不能为空,邮箱地址不能为空
邮箱格式不正确,邮箱格式不正确
会话令牌不能为空,会话令牌不能为空
验证邮件已发送，请查收,验证邮件已发送，请查收
发送验证邮件失败，请稍后重试,发送验证邮件失败，请稍后重试
发送验证邮件失败：%{1},发送验证邮件失败：%{1}
验证令牌不能为空,验证令牌不能为空
验证令牌无效或已过期,验证令牌无效或已过期
邮箱绑定成功,邮箱绑定成功
邮箱绑定失败，请稍后重试,邮箱绑定失败，请稍后重试
验证失败：%{1},验证失败：%{1}
客服人员管理,客服人员管理
加载客服人员失败：%{1},加载客服人员失败：%{1}
客服名称不能为空,客服名称不能为空
请选择后台用户,请选择后台用户
客服人员不存在,客服人员不存在
保存成功,保存成功
保存失败：%{1},保存失败：%{1}
无效的客服ID,无效的客服ID
"该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除","该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除"
删除成功,删除成功
"删除成功，已转让 %{1} 个会话给 %{2}","删除成功，已转让 %{1} 个会话给 %{2}"
"删除成功，已将 %{1} 个会话释放回等待池","删除成功，已将 %{1} 个会话释放回等待池"
删除失败：%{1},删除失败：%{1}
请选择源客服与目标客服,请选择源客服与目标客服
没有可转让的未关闭会话,没有可转让的未关闭会话
"已转让 %{1} 个会话给 %{2}","已转让 %{1} 个会话给 %{2}"
转让失败：%{1},转让失败：%{1}
获取成功,获取成功
获取统计数据失败：%{1},获取统计数据失败：%{1}
客服人员,客服人员
user,user
查看客服人员,查看客服人员
保存客服人员,保存客服人员
save,save
删除客服人员,删除客服人员
trash,trash
转让客服会话,转让客服会话
share,share
将会话转让给其他客服,将会话转让给其他客服
查看客服统计,查看客服统计
chart,chart
会话管理,会话管理
加载会话失败：%{1},加载会话失败：%{1}
会话不存在,会话不存在
会话详情,会话详情
加载会话详情失败：%{1},加载会话详情失败：%{1}
会话已关闭,会话已关闭
关闭会话失败：%{1},关闭会话失败：%{1}
message,message
查看会话,查看会话
查看会话详情,查看会话详情
eye,eye
关闭会话,关闭会话
close,close
客服配置,客服配置
settings,settings
客服配置管理,客服配置管理
查看客服配置,查看客服配置
您不是客服人员，无法使用工作台,您不是客服人员，无法使用工作台
客服工作台,客服工作台
加载工作台失败：%{1},加载工作台失败：%{1}
您不是客服人员,您不是客服人员
获取会话列表失败：%{1},获取会话列表失败：%{1}
无权访问此会话,无权访问此会话
发送成功,"Berhasil dikirim"
会话已被分配,会话已被分配
已达到最大会话数限制,已达到最大会话数限制
分配成功,分配成功
分配会话失败：%{1},分配会话失败：%{1}
无权关闭此会话,无权关闭此会话
获取客服状态失败：%{1},获取客服状态失败：%{1}
获取话术失败：%{1},获取话术失败：%{1}
标题和内容不能为空,标题和内容不能为空
话术不存在,话术不存在
保存话术失败：%{1},保存话术失败：%{1}
无效的话术ID,无效的话术ID
删除话术失败：%{1},删除话术失败：%{1}
分类名不能为空,分类名不能为空
分类已创建,分类已创建
保存分类失败：%{1},保存分类失败：%{1}
该分类下还有话术，请先移出或删除,该分类下还有话术，请先移出或删除
分类已删除,分类已删除
删除分类失败：%{1},删除分类失败：%{1}
客服聊天工作台,客服聊天工作台
查看工作台,查看工作台
查看客服工作台,查看客服工作台
确认操作,确认操作
确定,确定
取消,Batal
等待中,等待中
暂无消息,暂无消息
接单,接单
当前没有等待中的会话,当前没有等待中的会话
当前没有转让进来的会话,当前没有转让进来的会话
你转出的会话只显示在接收方工作台的「转让分配」中。,你转出的会话只显示在接收方工作台的「转让分配」中。
暂无进行中的会话,暂无进行中的会话
有等待中的会话时，点击「接单」开始接待。,有等待中的会话时，点击「接单」开始接待。
"收到 %{1} 个会话的新消息","收到 %{1} 个会话的新消息"
新消息,新消息
"会话 #%{1} 有 %{2} 条新消息","会话 #%{1} 有 %{2} 条新消息"
"会话 #%{1} 有新消息","会话 #%{1} 有新消息"
转让会话,转让会话
转让,转让
来自客服「__AGENT__」,来自客服「__AGENT__」
来自其他客服,来自其他客服
加载会话失败,加载会话失败
加载会话失败，请稍后重试,加载会话失败，请稍后重试
加载更早消息失败,加载更早消息失败
加载更早消息失败，请稍后重试,加载更早消息失败，请稍后重试
正在加载最新消息…,正在加载最新消息…
在下方输入框发送第一条回复。,在下方输入框发送第一条回复。
输入消息...,"Ketik pesan..."
发送,Kirim
正在加载更早消息…,正在加载更早消息…
上滑加载更早消息,上滑加载更早消息
没有更早的消息了,没有更早的消息了
请选择一个会话开始聊天,请选择一个会话开始聊天
从右侧「我的会话」点选，或先接单等待中的会话。,从右侧「我的会话」点选，或先接单等待中的会话。
图片,Gambar
文件,File
聊天工具,"Alat obrolan"
表情,Emoji
话术库,话术库
话术,话术
未分类,未分类
全部,全部
新建分类,新建分类
没有匹配的话术,没有匹配的话术
暂无话术，点下方添加,暂无话术，点下方添加
删除,删除
删,删
加载话术失败,加载话术失败
加载话术…,加载话术…
搜索话术,搜索话术
搜索标题或内容…,搜索标题或内容…
话术分类,话术分类
添加话术,添加话术
话术标题,话术标题
话术内容,话术内容
所属分类,所属分类
保存话术,保存话术
新分类名称,新分类名称
保存分类失败,保存分类失败
删除失败,删除失败
保存失败,保存失败
请先选择会话,请先选择会话
正在上传…,Mengunggah…
上传失败,"Unggah gagal"
发送失败,"Gagal mengirim"
上传失败，请稍后重试,"Unggah gagal, coba lagi nanti"
发送失败，请稍后重试,"Gagal mengirim, coba lagi nanti"
确定要接单此会话吗？,确定要接单此会话吗？
确认接单,确认接单
分配失败,分配失败
分配失败，请稍后重试,分配失败，请稍后重试
确定要关闭此会话吗？,确定要关闭此会话吗？
确认关闭,确认关闭
关闭,关闭
关闭失败,关闭失败
关闭失败，请稍后重试,关闭失败，请稍后重试
刚刚,"Baru saja"
分钟前,"menit yang lalu"
小时前,"jam yang lalu"
已关闭,已关闭
进行中,进行中
最快,最快
最慢,最慢
最短,最短
分钟,分钟
最长,最长
秒,秒
打开验证链接,"Buka tautan verifikasi"
提示,Tip
请注意,"Harap diperhatikan"
操作失败,"Operasi gagal"
知道了,Mengerti
人机验证凭证异常，请刷新页面后重试,"Token captcha tidak normal, segarkan halaman lalu coba lagi"
请求参数过长，请刷新页面后重试,"Parameter permintaan terlalu panjang, segarkan halaman lalu coba lagi"
上传参数异常，请刷新页面后重试,"Parameter unggah tidak normal, segarkan halaman lalu coba lagi"
点击修改邮箱身份,"Klik untuk mengubah identitas email"
当前登录身份,"Identitas login saat ini"
邮箱已绑定：%{1}，可以继续聊天,"Email terikat: %{1}. Anda dapat melanjutkan obrolan."
邮箱已绑定，可以继续聊天,"Email terikat. Anda dapat melanjutkan obrolan."
绑定成功,"Pengikatan berhasil"
今天,"Hari ini"
昨天,Kemarin
请等待客服回复后再发送。验证邮箱后可跳过等待、连续发送消息。,"Tunggu balasan layanan pelanggan sebelum mengirim. Setelah verifikasi email, Anda bisa melewati tunggu dan mengirim beruntun."
等待客服回复…,"Menunggu balasan layanan pelanggan…"
客服服务,"Layanan pelanggan"
我的语言,"Bahasa saya"
显示模式,"Mode tampilan"
欢迎使用客服服务！,"Selamat datang di layanan pelanggan!"
请输入您的问题，我们的客服将尽快为您解答。,"Silakan tulis pertanyaan Anda, tim kami akan segera menjawab."
设置,Pengaturan
收起,Ciutkan
仅显示译文,"Hanya terjemahan"
原文+译文,"Asli + terjemahan"
仅显示原文,"Hanya asli"
截图,"Tangkapan layar"
客服会话初始化失败，请稍后重试,"Inisialisasi sesi layanan pelanggan gagal, coba lagi nanti"
已取消截图,"Tangkapan layar dibatalkan"
截图失败，请改用图片上传或粘贴,"Tangkapan layar gagal—unggah atau tempel gambar"
在页面上拖拽选择要截取的区域,"Seret di halaman untuk memilih area yang akan ditangkap"
重选,"Pilih ulang"
完成,Selesai
已选中区域，可点击「完成」发送,"Area dipilih—klik 「Selesai」 untuk mengirim"
请先拖拽选择截图区域,"Seret dulu untuk memilih area tangkapan layar"
生成中…,Membuat…
正在生成截图…,"Membuat tangkapan layar…"
请在弹出窗口选择「这个标签页」以截取,"Di dialog, pilih 「Tab ini」 untuk menangkap"
生成失败，请重选区域或改用图片上传,"Gagal membuat—pilih ulang area atau unggah gambar"
欢迎使用客服服务,"Selamat datang di layanan pelanggan"
会员,Anggota
访客,Pengunjung
客服,Agen
图片加载失败,"Gagal memuat gambar"
客服新消息,"Pesan baru layanan pelanggan"
您有一条新的客服回复,"Anda punya balasan baru dari layanan pelanggan"
"AI 智能客服","Layanan pelanggan AI"
离线,Offline
网站正在维护，请稍后再试,"Situs dalam pemeliharaan, coba lagi nanti"
请稍候,"Harap tunggu"
请填写下方图码后发送验证邮件,"Isi kode di bawah lalu kirim email verifikasi"
云端人机验证暂不可用，请填写下方本地图码后再次发送,"Captcha cloud tidak tersedia, isi kode lokal di bawah lalu kirim lagi"
云端人机验证暂不可用，已切换为本地图码，请填写后重试,"Captcha cloud tidak tersedia, beralih ke kode lokal—isi lalu coba lagi"
请填写本地图码,"Harap isi kode lokal"
人机验证尚未就绪，请稍后重试,"Captcha belum siap, coba lagi nanti"
请输入有效的邮箱地址,"Masukkan alamat email yang valid"
